dataset,video_id,path_id,query,score,reason,confidence,montage_path
OVT-B,40,ovtb_v40_p002411,bee,0.8190702497959137,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v40_p002411.jpg
OVT-B,40,ovtb_v40_p002405,bee,0.8176585833231608,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v40_p002405.jpg
OVT-B,40,ovtb_v40_p002432,bee,0.6873760521411896,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v40_p002432.jpg
OVT-B,37,ovtb_v37_p002226,bee,0.5050300173461437,insufficient_visual_evidence,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v37_p002226.jpg
OVT-B,241,ovtb_v241_p003843,person,0.5865825499807086,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v241_p003843.jpg
OVT-B,85,ovtb_v85_p002883,elephant,0.454678013920784,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002883.jpg
OVT-B,85,ovtb_v85_p002884,elephant,0.4294899553060531,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002884.jpg
OVT-B,85,ovtb_v85_p002887,elephant,0.3972973823547363,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v85_p002887.jpg
OVT-B,83,ovtb_v83_p002871,elephant,0.3338912725448608,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v83_p002871.jpg
OVT-B,34,ovtb_v34_p001973,balloon,0.6899479883057731,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v34_p001973.jpg
OVT-B,217,ovtb_v217_p003645,shoe,0.5075880438089371,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v217_p003645.jpg
OVT-B,176,ovtb_v176_p003397,painting,0.5920999646186829,ambiguous_category,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v176_p003397.jpg
OVT-B,39,ovtb_v39_p002379,ant,0.5810808539390564,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v39_p002379.jpg
OVT-B,39,ovtb_v39_p002369,ant,0.4994987845420837,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v39_p002369.jpg
OVT-B,39,ovtb_v39_p002350,ant,0.4825714766979218,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v39_p002350.jpg
OVT-B,38,ovtb_v38_p002291,ant,0.4357845336198807,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002291.jpg
OVT-B,38,ovtb_v38_p002295,ant,0.4231058657169342,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002295.jpg
OVT-B,38,ovtb_v38_p002294,ant,0.3883466025193532,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002294.jpg
OVT-B,38,ovtb_v38_p002306,ant,0.3877775222063064,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002306.jpg
OVT-B,38,ovtb_v38_p002269,ant,0.3855922669172287,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002269.jpg
OVT-B,39,ovtb_v39_p002363,ant,0.3774270117282867,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v39_p002363.jpg
OVT-B,38,ovtb_v38_p002271,ant,0.3741595957960401,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v38_p002271.jpg
OVT-B,55,ovtb_v55_p002702,dog,0.3993891775608063,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v55_p002702.jpg
OVT-B,42,ovtb_v42_p002546,parachutist,0.571531742811203,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v42_p002546.jpg
OVT-B,42,ovtb_v42_p002529,parachutist,0.4832437336444855,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v42_p002529.jpg
OVT-B,41,ovtb_v41_p002446,parachutist,0.3916164040565491,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v41_p002446.jpg
OVT-B,36,ovtb_v36_p002202,penguin,0.5535745918750763,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v36_p002202.jpg
OVT-B,36,ovtb_v36_p002166,penguin,0.3612692803144455,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v36_p002166.jpg
OVT-B,18,ovtb_v18_p000858,penguin,0.3473525792360306,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v18_p000858.jpg
OVT-B,25,ovtb_v25_p001128,pig,0.5321996013323466,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v25_p001128.jpg
OVT-B,25,ovtb_v25_p001113,pig,0.4195009171962738,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v25_p001113.jpg
OVT-B,26,ovtb_v26_p001184,pig,0.3861658573150635,too_small,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v26_p001184.jpg
OVT-B,25,ovtb_v25_p001131,pig,0.3540890018145243,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v25_p001131.jpg
OVT-B,1,ovtb_v1_p000032,chicken,0.5304907411336899,multi_object_merge,medium,/home/waas/paper_experiments/audit_viewer/montages/ovtb_v1_p000032.jpg
