local_milestone,coverage_status,cloud_or_ledger_location
ijcv_burst_cv60_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_burst_cv60_v1
ijcv_burst_owlv2_stress_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_burst_owlv2_stress_v1
burst,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
burst,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/burst
ijcv_cross_dataset_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v2,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v3,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v4,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_cross_dataset_v5,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
cross_dataset,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/cross_dataset
cross_generator,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/cross_generator
extra_cpu,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/extra_cpu
full_ovtb,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ovtrack_adapter,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ovtrack_adapter
phase4_sprint,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_sprint
stability,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
stability,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/stability
ijcv_tao_full_v1,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
ijcv_tao_full_v2_clean,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/ijcv_tao_full_v2_clean
lvvis_certification_v1,tracked_as_primary_milestone,outputs/milestones/lvvis_certification_v1
lvvis_mask_certification_v1,tracked_as_primary_milestone,outputs/milestones/lvvis_mask_certification_v1
generality_reliability,tracked_as_primary_milestone,outputs/milestones/generality_reliability
ovis_certification_v1,tracked_as_primary_milestone,outputs/milestones/ovis_certification_v1
owlv2_diagnostic_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/owlv2_diagnostic_v1
parc_certification_benchmark,tracked_under_outputs_benchmarks,outputs/benchmarks/parc_certification_benchmark
phase2h_first_real_nonempty,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty
phase4_prop5_three_generator_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_prop5_three_generator_v1
phase4_third_generator_and_owlv2_audit,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_third_generator_and_owlv2_audit
phase4_third_generator_matrix,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/phase4_third_generator_matrix
core_results,superseded_by_later_tracked_or_legacy_tables,superseded by cleaned v2/v6/final ledger tables
core_results,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/core_results
reliability_fortress_draft,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/reliability_fortress_draft
reliability_fortress,tracked_as_primary_milestone,outputs/milestones/reliability_fortress
trackeval_v1,included_in_legacy_core_results_v1,outputs/milestones/legacy_core_results_v1/trackeval_v1
