source_milestone,source_file,copied_to,bytes,sha256,path_sanitized,coverage_role
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/README.md,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/README.md,1493,49299b2a54af0addec3a398fbbce79ccfceddc5197f83b3d6f6ad96a479196af,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/audit_labels_after_uncertain_recheck.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/audit_labels_after_uncertain_recheck.csv,33432,f7a6bb9c43ef62362f28ecd8d3a591b4e6f464409bb2b467c2525ca9341b8d2e,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/audit_labels_before_uncertain_recheck.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/audit_labels_before_uncertain_recheck.csv,30743,9a09b906c022c2073b2016cd34be44e190b47d809c94b28350c3668925e9fc7f,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/audit_summary_after_uncertain_recheck.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/audit_summary_after_uncertain_recheck.csv,220,4230382eca46fa5b3982cbefedcf726f60c9a31657b8ca363764b44b4345d85c,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/candidate_evalues.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/candidate_evalues.csv,3691842,2127b143053903c9fd9e0db724c049e49625055a28d91afd9ab2873613b2bd6a,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/candidate_universe.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/candidate_universe.csv,2163525,fe0ba41f0620b421f31096b392e810a93946cf2163ca2b97cd9a7e5ce696c7ee,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/cell_effective_n.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/cell_effective_n.csv,1055,a507459ab2af9693d0f69cea696f1d3d0daf2c074c7bedc4cdaf8e6549e691c5,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/config.yaml,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/config.yaml,1533,e61ad7042499a1fdfa30a8e1cb0f97f134ab38e4b163f822b5ab2560a123db15,yes,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/coverage_projection_check.csv,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/coverage_projection_check.csv,1216,f08ef724688c07ab5b5852ac967485d11cb2f7a06aa73c29fe75e04779a6830f,no,first real non-empty OVT-B certification milestone
phase2h_first_real_nonempty,outputs/milestones/phase2h_first_real_nonempty/manifest.json,outputs/milestones/legacy_core_results_v1/phase2h_first_real_nonempty/manifest.json,11197,df190dbc472a47b6bf2fae0789dc52bfc5fa5bee34257c0bbe0b8a80809d1ba2,yes,first real non-empty OVT-B certification milestone
