claim_uid,source_family,paper_or_leaderboard_id,source_snapshot_date,original_rank_or_priority,original_claim_text,original_structure_hash,structure_hash_basis,reduced_formula,chemical_system,spacegroup_symbol,spacegroup_number,prototype_or_wyckoff_label,original_energy_or_margin,license_class,redistribution_allowed,ingest_status,current_reference_query_ready,query_readiness_note,source_url_or_path,evidence_scope
matbench_discovery_wbm::wbm-1-412,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,1,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,ce3f9e2344ea20af88259a84e3113a1bbbe49bb95876e5f39c9ad635487905cc,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Ag1 Pm1 Te2,Ag-Pm-Te,,,ABC2_cF16_225_a_b_c:Ag-Pm-Te,-0.66647,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-3483,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,2,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,7cfe5f554b26f13bbd9f8a71091d727a5d555a7626df050432ab17b15170065a,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,As2 Br10,As-Br,,,AB5_oP12_59_a_aef:As-Br,-0.065736,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6237,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,3,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,019ec0409005622aa003269187ca7e833c8b06b88de0f0c2b2721de25642db26,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br6 Er2,Br-Er,,,A3B_mC16_12_ij_g:Br-Er,-2.371134,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6238,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,4,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,da238fa89a204d57aaf5bbe7d3d9e6752a5a0ae6bd6c46f7f58d5f4c17f30b63,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br6 Er2,Br-Er,,,A3B_mP8_11_3e_e:Br-Er,-2.30994,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6239,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,5,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,4a89996fcd5d2608cc059c52805974b3398326ba1f600a43adaf4f8480152c67,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br6 Er2,Br-Er,,,A3B_hP8_194_h_c:Br-Er,-2.303959,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6267,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,6,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,b182a9a6db85b92ebeabcf5c6b640beed082c93404b967fea7d92c290b254136,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br6 I2,Br-I,,,A3B_aP8_2_3i_i:Br-I,-0.249214,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6280,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,7,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,40052413cb16ee4ed3b2657762d9276b331be695c215ca8949dc52518c4e807f,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br6 Pd2,Br-Pd,,,A3B_mC16_12_ij_g:Br-Pd,-0.136665,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6380,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,8,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,2091a3b9b98076b38f79d8692508225feb19436db7cdbcb53fa368c815d00d4f,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br6 Yb2,Br-Yb,,,A3B_mC16_12_ij_g:Br-Yb,-0.01169,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6397,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,9,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,0f386e2ddbb1007f5aa0e2587c9333c6e4b906a54f4937484281306f9baf67c9,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br8 Ce2,Br-Ce,,,A4B_tI20_141_h_a:Br-Ce,-0.18754,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
matbench_discovery_wbm::wbm-1-6398,matbench_discovery_wbm,Matbench_Discovery_WBM_public_safe_snapshot,2023-12-13_wbm_summary_via_existing_public_safe_snapshot,10,WBM stable_exact_t0 public DFT label; e_above_hull <= 0,d4dfbfd012c613f4ee827cc69c23b5c7dabfb6ba8371a120a0812a7dadf0811f,proxy_hash_material_id_formula_wyckoff_ehull;raw_structure_not_redistributed,Br8 Ce2,Br-Ce,,,A4B_tI20_88_f_a:Br-Ce,-0.188298,CC-BY-4.0_source_claim;local_public_safe_derived_snapshot,derived_registry_only,ingested_from_existing_public_safe_snapshot,formula_and_material_id_ready_structure_proxy_only,direct_figshare_download_blocked_in_current_environment; raw structure hash requires future structure-file ingest,outputs/milestones/materials_t0_t1_snapshot_acquisition/table_t0_wbm_snapshot.csv,b_line_minimal_claim_registry;two_primary_sources;claim_registry_frozen;current_reference_verdicts_pending;not_completed_positive_evidence;not_A_paper_main_evidence;not_prospective_discovery;not_new_DFT_evidence
