method,audit_policy,empty_block_policy,alpha1,score_source,n_cal_total,n_covered,n_excluded_empty,n_rank_denominator,n_rank,n_nonempty,n_empty_null_videos,n_inf_blockmax_videos,gamma,gamma_star_eff,p_min_theoretical,p_min_block,p_min_effective,emax_theoretical,emax_effective,required_emax,release_feasible,max_observed_e,mean_observed_e,candidate_budget_M,real_candidate_count,dummy_paths,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,audited_released,true_released,false_released,uncertain_released,utr,audited_ftr_on_labeled_released,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,recall_proxy,verified_positive_removed,null_superset_size,tau_k,self_consistency_margin,best_margin_k,best_margin_tau,best_margin,selected_e_min,selected_e_mean,selected_e_max,empty_reason,empty_diagnostic,seed,method_family,runtime_sec,baseline_note,best_M_on_test_grid,diagnostic_only
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001872004941105,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001558298245072,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,20.0,True,38.8326128927103,25.329694875676388,75,75.0,0.0,73,72,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.9733333333333334,0.0,2456.0,20.54794520547945,1.0403807010028032,73.0,20.54794520547945,1.0403807010028032,21.58832590648225,25.604118766288785,38.8326128927103,,,0,certified_or_core_baseline,,,75,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,982.0,683.0,299.0,683.0,683.0,683.0,299.0,0.0,0.1531872620226992,0.1531872620226992,0.0010172939979654,0.0014619883040935,0.0014619883040935,52.40287227141822,38.546439933685846,20.0,True,38.546439933685846,25.14539157548704,75,75.0,0.0,73,72,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0136986301369863,0.9733333333333334,67.0,2391.0,20.54794520547945,0.8843281054991223,73.0,20.54794520547945,0.8843281054991223,21.432273310978573,25.41776416832136,38.546439933685846,,,0,certified_or_core_baseline,,,75,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,73,72,1,,,,,,,,,0.0136986301369863,0.0,,0.9863013698630136,0.9733333333333334,,,20.54794520547945,0.8843281054991223,,,,,,,,,0,diagnostic_baseline,0.0004548607394099,block_evalue_post_filter,75,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,0,diagnostic_baseline,0.0003580600023269,tracklet_level_e_self_consistency,75,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001824805513024,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.5,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,15.676415406590976,13.133925536563696,20.0,True,13.133925536563696,10.11359203197165,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2456.0,,,73.0,20.54794520547945,-11.260857394976096,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,0,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,243,7,,,,,,,,,0.028,0.0,,0.992,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001672198995947,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,243,7,,,,,,,,,0.028,0.0,,0.992,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001509794965386,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.1536037354732135,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,52.394764935738735,37.97314507911579,20.0,True,37.97314507911579,23.73437487595457,150,150.0,0.0,148,144,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.027027027027027,0.0,0.0,0.0202702702702702,0.9866666666666668,0.0,2266.0,20.27027027027027,0.8493402428148826,148.0,20.27027027027027,0.8493402428148826,21.11961051308516,23.85261611838742,37.97314507911579,,,1,certified_or_core_baseline,,,150,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,982.0,655.0,327.0,655.0,655.0,655.0,327.0,0.0,0.1541744080264767,0.1541744080264767,0.0010172939979654,0.0015243902439024,0.0015243902439024,52.38303295760676,37.20674236442314,20.0,True,37.20674236442314,23.262240544677287,150,150.0,0.0,148,144,4,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.027027027027027,0.0,0.0,0.0202702702702702,0.9866666666666668,77.0,2191.0,20.27027027027027,0.4312753864303893,148.0,20.27027027027027,0.4312753864303893,20.70154565670066,23.37806404173674,37.20674236442314,,,1,certified_or_core_baseline,,,150,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,148,144,4,,,,,,,,,0.027027027027027,0.0,,0.9864864864864864,0.9866666666666668,,,20.27027027027027,0.4312753864303893,,,,,,,,,1,diagnostic_baseline,0.0004634400829672,block_evalue_post_filter,150,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,75,,,0,0,0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,baseline_selected_empty,1,diagnostic_baseline,0.0003450205549597,tracklet_level_e_self_consistency,75,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,243,7,,,,,,,,,0.028,0.0,,0.992,1.0,,,,,,,,,,,,,1,diagnostic_baseline,0.0001706210896372,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,671.0,311.0,671.0,671.0,671.0,311.0,0.0,0.5,0.1536037354732135,0.0010172939979654,0.0014880952380952,0.0014880952380952,15.676415406590976,12.96148139681572,20.0,True,12.96148139681572,10.379976992120971,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2266.0,,,75.0,20.0,-10.83484861008832,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,1,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,241,9,,,,,,,,,0.036,0.0,,0.976,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001718802377581,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,241,9,,,,,,,,,0.036,0.0,,0.976,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001535303890705,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.05,final_score_proxy,982.0,673.0,309.0,673.0,673.0,673.0,309.0,0.0,0.1535336511947572,0.1535336511947572,0.0010172939979654,0.0014836795252225,0.0014836795252225,52.396156165607664,38.068782942910914,20.0,True,38.068782942910914,34.2387940494485,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,0.0,2437.0,20.0,1.1717731188120375,116.0,25.86206896551724,12.206713977393676,21.17177311881204,34.2387940494485,38.068782942910914,,,2,certified_or_core_baseline,,,150,True
parc_track_gamma_tuned_uniform_scs,remove_official_gt_matches_and_verified_positive_for_calibration,coverage_conditional,0.05,final_score_proxy,982.0,660.0,322.0,660.0,660.0,660.0,322.0,0.0,0.1539941341575152,0.1539941341575152,0.0010172939979654,0.0015128593040847,0.0015128593040847,52.38681658022706,37.44649344759844,20.0,True,37.44649344759844,33.68061821796893,150,150.0,0.0,150,147,3,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.02,0.0,0.0,0.0066666666666666,1.0,67.0,2370.0,20.0,0.8323380227623502,116.0,25.86206896551724,11.584424482081204,20.83233802276235,33.68061821796893,37.44649344759844,,,2,certified_or_core_baseline,,,150,True
post_filter_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,150,,,150,147,3,,,,,,,,,0.02,0.0,,0.9866666666666668,1.0,,,20.0,0.8323380227623502,,,,,,,,,2,diagnostic_baseline,0.0001467010006308,block_evalue_post_filter,150,True
tracklet_e_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,125,,,116,113,3,,,,,,,,,0.0258620689655172,0.0,,0.9827586206896552,0.928,,,21.551724137931032,2.7947335099486708,,,,,,,,,2,diagnostic_baseline,0.0004775505512952,tracklet_level_e_self_consistency,125,True
tracklet_p_bh,,,0.05,,,,,,,,,,,,,,,,,,,,,250,,,250,241,9,,,,,,,,,0.036,0.0,,0.976,1.0,,,,,,,,,,,,,2,diagnostic_baseline,0.0001710699871182,tracklet_level_p_bh,250,True
unmatched_as_false_block,treat_unmatched_as_false_baseline,coverage_conditional,0.05,final_score_proxy,982.0,673.0,309.0,673.0,673.0,673.0,309.0,0.0,0.5,0.1535336511947572,0.0010172939979654,0.0014836795252225,0.0014836795252225,15.676415406590976,12.980754985747168,20.0,True,12.980754985747168,12.980754985747168,75,75.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2437.0,,,75.0,20.0,-7.019245014252832,,,,no_k_satisfies_uniform_self_consistency,resolution_below_required_emax,2,certified_or_core_baseline,,,75,True
confidence_threshold,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001717498525977,score_threshold_from_calibration_null_quantile,250,True
greedy_score_no_risk,,,0.1,,,,,,,,,,,,,,,,,,,,,250,,,250,244,6,,,,,,,,,0.024,0.0,,0.992,1.0,,,,,,,,,,,,,0,diagnostic_baseline,0.0001540398225188,top_m_by_score_no_risk_control,250,True
null_superset_no_audit,remove_official_gt_matches_only,coverage_conditional,0.1,final_score_proxy,982.0,689.0,293.0,689.0,689.0,689.0,293.0,0.0,0.1529825883736795,0.1529825883736795,0.0010172939979654,0.0014492753623188,0.0014492753623188,52.40671520749837,38.8326128927103,10.0,True,38.8326128927103,20.578297149800424,125,125.0,0.0,112,110,2,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0178571428571428,0.0,0.0,0.0089285714285714,0.896,0.0,2456.0,11.160714285714285,0.8409456780936413,73.0,17.123287671232877,4.465038235249377,12.001659963807926,21.813709120286635,38.8326128927103,,,0,certified_or_core_baseline,,,125,True
