method,alpha1,candidate_budget_M,released_mean,released_std,utr_mean,conservative_ftr_mean,margin_mean,nonempty_rate
confidence_threshold,0.05,75,75.0,0.0,0.008888888888888889,0.9911111111111112,,1.0
confidence_threshold,0.05,100,100.0,0.0,0.016666666666666666,0.9833333333333334,,1.0
confidence_threshold,0.05,125,125.0,0.0,0.021333333333333333,0.984,,1.0
confidence_threshold,0.05,150,150.0,0.0,0.02,0.9866666666666667,,1.0
confidence_threshold,0.05,175,175.0,0.0,0.022857142857142854,0.9828571428571428,,1.0
confidence_threshold,0.05,200,200.0,0.0,0.023333333333333334,0.985,,1.0
confidence_threshold,0.05,250,250.0,0.0,0.029333333333333333,0.9866666666666667,,1.0
confidence_threshold,0.1,75,75.0,0.0,0.008888888888888889,0.9911111111111112,,1.0
confidence_threshold,0.1,100,100.0,0.0,0.016666666666666666,0.9833333333333334,,1.0
confidence_threshold,0.1,125,125.0,0.0,0.021333333333333333,0.984,,1.0
confidence_threshold,0.1,150,150.0,0.0,0.02,0.9866666666666667,,1.0
confidence_threshold,0.1,175,175.0,0.0,0.022857142857142854,0.9828571428571428,,1.0
confidence_threshold,0.1,200,200.0,0.0,0.023333333333333334,0.985,,1.0
confidence_threshold,0.1,250,250.0,0.0,0.029333333333333333,0.9866666666666667,,1.0
confidence_threshold,0.2,75,75.0,0.0,0.008888888888888889,0.9911111111111112,,1.0
confidence_threshold,0.2,100,100.0,0.0,0.016666666666666666,0.9833333333333334,,1.0
confidence_threshold,0.2,125,125.0,0.0,0.021333333333333333,0.984,,1.0
confidence_threshold,0.2,150,150.0,0.0,0.02,0.9866666666666667,,1.0
confidence_threshold,0.2,175,175.0,0.0,0.022857142857142854,0.9828571428571428,,1.0
confidence_threshold,0.2,200,200.0,0.0,0.023333333333333334,0.985,,1.0
confidence_threshold,0.2,250,250.0,0.0,0.029333333333333333,0.9866666666666667,,1.0
greedy_score_no_risk,0.05,75,75.0,0.0,0.008888888888888889,0.9911111111111112,,1.0
greedy_score_no_risk,0.05,100,100.0,0.0,0.016666666666666666,0.9833333333333334,,1.0
greedy_score_no_risk,0.05,125,125.0,0.0,0.021333333333333333,0.984,,1.0
greedy_score_no_risk,0.05,150,150.0,0.0,0.02,0.9866666666666667,,1.0
greedy_score_no_risk,0.05,175,175.0,0.0,0.022857142857142854,0.9828571428571428,,1.0
greedy_score_no_risk,0.05,200,200.0,0.0,0.023333333333333334,0.985,,1.0
greedy_score_no_risk,0.05,250,250.0,0.0,0.029333333333333333,0.9866666666666667,,1.0
greedy_score_no_risk,0.1,75,75.0,0.0,0.008888888888888889,0.9911111111111112,,1.0
greedy_score_no_risk,0.1,100,100.0,0.0,0.016666666666666666,0.9833333333333334,,1.0
greedy_score_no_risk,0.1,125,125.0,0.0,0.021333333333333333,0.984,,1.0
greedy_score_no_risk,0.1,150,150.0,0.0,0.02,0.9866666666666667,,1.0
greedy_score_no_risk,0.1,175,175.0,0.0,0.022857142857142854,0.9828571428571428,,1.0
greedy_score_no_risk,0.1,200,200.0,0.0,0.023333333333333334,0.985,,1.0
greedy_score_no_risk,0.1,250,250.0,0.0,0.029333333333333333,0.9866666666666667,,1.0
greedy_score_no_risk,0.2,75,75.0,0.0,0.008888888888888889,0.9911111111111112,,1.0
greedy_score_no_risk,0.2,100,100.0,0.0,0.016666666666666666,0.9833333333333334,,1.0
greedy_score_no_risk,0.2,125,125.0,0.0,0.021333333333333333,0.984,,1.0
greedy_score_no_risk,0.2,150,150.0,0.0,0.02,0.9866666666666667,,1.0
greedy_score_no_risk,0.2,175,175.0,0.0,0.022857142857142854,0.9828571428571428,,1.0
greedy_score_no_risk,0.2,200,200.0,0.0,0.023333333333333334,0.985,,1.0
greedy_score_no_risk,0.2,250,250.0,0.0,0.029333333333333333,0.9866666666666667,,1.0
null_superset_no_audit,0.05,75,74.33333333333333,1.1547005383792526,0.009010654490106533,0.0045662100456621,6.742924718999624,1.0
null_superset_no_audit,0.05,100,66.66666666666667,57.735026918962575,0.01,0.005,9.594196727998034,0.6666666666666666
null_superset_no_audit,0.05,125,83.33333333333333,72.16878364870323,0.016,0.012,1.1456918159485951,0.6666666666666666
null_superset_no_audit,0.05,150,99.33333333333333,86.03100216394863,0.015675675675675668,0.0134684684684684,1.01055668081346,0.6666666666666666
null_superset_no_audit,0.05,175,38.666666666666664,66.9726312259966,0.0086206896551724,0.0086206896551724,7.896369149807469,0.3333333333333333
null_superset_no_audit,0.05,200,38.666666666666664,66.9726312259966,0.0086206896551724,0.0086206896551724,3.586024322221263,0.3333333333333333
null_superset_no_audit,0.05,250,0.0,0.0,0.0,,,0.0
null_superset_no_audit,0.1,75,75.0,0.0,0.008888888888888866,0.004444444444444433,14.833872108106673,1.0
null_superset_no_audit,0.1,100,100.0,0.0,0.016666666666666666,0.006666666666666667,14.833872108106673,1.0
null_superset_no_audit,0.1,125,120.66666666666667,7.505553499465134,0.021952380952380935,0.010976190476190468,7.71077643666361,1.0
null_superset_no_audit,0.1,150,135.0,25.98076211353316,0.021904761904761868,0.012063492063492033,5.727934879115334,1.0
null_superset_no_audit,0.1,175,116.66666666666667,101.0362971081845,0.019047619047618997,0.011428571428571399,3.379552081726347,0.6666666666666666
null_superset_no_audit,0.1,200,133.33333333333334,115.47005383792515,0.016666666666666666,0.01,3.379552081726347,0.6666666666666666
null_superset_no_audit,0.1,250,155.0,134.50278807519194,0.018610452479747033,0.0146802756372258,0.9932823993931111,0.6666666666666666
null_superset_no_audit,0.2,75,75.0,0.0,0.008888888888888866,0.004444444444444433,19.83387210810667,1.0
null_superset_no_audit,0.2,100,100.0,0.0,0.016666666666666666,0.006666666666666667,19.83387210810667,1.0
null_superset_no_audit,0.2,125,125.0,0.0,0.021333333333333333,0.010666666666666666,12.408710499169567,1.0
null_superset_no_audit,0.2,150,150.0,0.0,0.019999999999999966,0.011111111111111066,10.363681306782617,1.0
null_superset_no_audit,0.2,175,175.0,0.0,0.022857142857142798,0.009523809523809499,6.757409363442288,1.0
null_superset_no_audit,0.2,200,200.0,0.0,0.023333333333333334,0.011666666666666665,6.757409363442288,1.0
null_superset_no_audit,0.2,250,250.0,0.0,0.029333333333333333,0.018666666666666668,4.328560484802231,1.0
parc_track_gamma_tuned_uniform_scs,0.05,75,74.33333333333333,1.1547005383792526,0.009010654490106533,0.0045662100456621,6.344122403266074,1.0
parc_track_gamma_tuned_uniform_scs,0.05,100,66.66666666666667,57.735026918962575,0.01,0.005,9.07401955214955,0.6666666666666666
