alpha1,seed,candidate_budget_M,released,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,utr,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,empty_reason,empty_diagnostic,unsupported_labeled,unsupported_audit_coverage_rate
0.05,0,75,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,0,100,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,0,125,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,0,150,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,0,175,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,0,200,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,0,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,75,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,100,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,125,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,150,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,175,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,200,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,1,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,75,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,100,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,125,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,150,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,175,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,200,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.05,2,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,0,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,3.452046882355045,,,0.0,1.0
0.1,0,100,97,1,1.0,0.0,0.0,0.0,0.0103092783505154,0.0,0.2452138083078185,,,1.0,1.0
0.1,0,125,94,1,1.0,0.0,0.0,0.0,0.0106382978723404,0.0,0.1541745419295139,,,1.0,1.0
0.1,0,150,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,0,175,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,0,200,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,0,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,1,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,3.489320694998458,,,0.0,1.0
0.1,1,100,100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834836849301528,,,0.0,1.0
0.1,1,125,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,1,150,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,1,175,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,1,200,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,1,250,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,2,75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,3.377444756848483,,,0.0,1.0
0.1,2,100,100,1,1.0,0.0,0.0,0.0,0.01,0.0,0.4964655393578301,,,1.0,1.0
0.1,2,125,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,2,150,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
0.1,2,175,0,0,0.0,0.0,0.0,0.0,0.0,,,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs,0.0,1.0
