cv_id,dataset,video_id,path_id,query,category_id,query_segment,audit_source,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,frame_start,frame_end,audit200_montage_path,cv_montage_path,second_rater_label,second_rater_verified_positive_for_calibration,second_rater_reason,second_rater_confidence,second_rater,second_rater_notes
burst_cv60_001,BURST,2915,ovtb_v2915_p003406,book,126,head,high_score_unmatched,0.5190004222095013,0.5190004222095013,0.5190004222095013,8,0.875,,0.0,0.0,True,cat:126,0,30,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/067_ovtb_v2915_p003406.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_001_067_ovtb_v2915_p003406.jpg,,,,,,
burst_cv60_002,BURST,2952,ovtb_v2952_p003436,camera,191,head,high_score_unmatched,0.3521339148283005,0.3521339148283005,0.3521339148283005,4,0.75,,0.0,0.0,True,cat:191,0,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/197_ovtb_v2952_p003436.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_002_197_ovtb_v2952_p003436.jpg,,,,,,
burst_cv60_003,BURST,2738,ovtb_v2738_p003416,vacuum cleaner,1160,mid,high_score_unmatched,0.5319700390100479,0.5319700390100479,0.5319700390100479,8,0.875,2.0,0.6528144514068936,0.125,True,cat:1160,0,31,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/055_ovtb_v2738_p003416.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_003_055_ovtb_v2738_p003416.jpg,,,,,,
burst_cv60_004,BURST,2953,ovtb_v2953_p003731,vacuum cleaner,1160,mid,high_score_unmatched,0.4955558627843857,0.4955558627843857,0.4955558627843857,2,0.5,1.0,0.4750599536220917,0.0,True,cat:1160,0,5,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/083_ovtb_v2953_p003731.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_004_083_ovtb_v2953_p003731.jpg,,,,,,
burst_cv60_005,BURST,2335,ovtb_v2335_p002971,calf,188,mid,high_score_unmatched,0.4009360671043396,0.4009360671043396,0.4009360671043396,4,0.75,,0.0,0.0,True,cat:188,6,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/145_ovtb_v2335_p002971.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_005_145_ovtb_v2335_p002971.jpg,,,,,,
burst_cv60_006,BURST,1496,ovtb_v1496_p002020,telephone,1092,tail,high_score_unmatched,0.5436848700046539,0.5436848700046539,0.5436848700046539,2,0.5,1.0,0.0931921141992058,0.0,True,cat:1092,14,18,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/049_ovtb_v1496_p002020.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_006_049_ovtb_v1496_p002020.jpg,,,,,,
burst_cv60_007,BURST,2019,ovtb_v2019_p002754,bottle,133,head,high_score_unmatched,0.6777148991823196,0.6777148991823196,0.6777148991823196,8,0.875,2.0,0.2181018644735324,0.0,True,cat:133,0,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/018_ovtb_v2019_p002754.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_007_018_ovtb_v2019_p002754.jpg,,,,,,
burst_cv60_008,BURST,1873,ovtb_v1873_p002238,zebra,1229,head,high_score_unmatched,0.639043428003788,0.639043428003788,0.639043428003788,4,0.75,2.0,0.9864287493548752,0.25,True,cat:1229,0,22,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/027_ovtb_v1873_p002238.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_008_027_ovtb_v1873_p002238.jpg,,,,,,
burst_cv60_009,BURST,2331,ovtb_v2331_p002749,turtle,1152,head,high_score_unmatched,0.5204981416463852,0.5204981416463852,0.5204981416463852,2,0.5,1.0,0.039091308982519,0.0,True,cat:1152,22,33,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/064_ovtb_v2331_p002749.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_009_064_ovtb_v2331_p002749.jpg,,,,,,
burst_cv60_010,BURST,823,ovtb_v823_p001124,truck,1144,head,high_score_unmatched,0.4995153099298477,0.4995153099298477,0.4995153099298477,4,0.75,,0.0,0.0,True,cat:1144,22,39,<PARC_ROOT>/outputs/phase7_burst/audit200_viewer/montages/080_ovtb_v823_p001124.jpg,<PARC_ROOT>/outputs/phase7_burst_cv60/montages/burst_cv60_010_080_ovtb_v823_p001124.jpg,,,,,,
