audit_id,path_id,queue_membership,queue_calibration,queue_simulated_strict_release,queue_raw_topK_reference,simulated_release_hits,simulated_release_budgets,simulated_release_seeds,ctc_dataset,sequence_id,frame_start,frame_end,video_id,candidate_rank,score,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,human_label,human_verified_positive_for_calibration,human_reason,human_confidence,human_review_status,human_confirmation_note
CTC-AUDIT-01065,ctc_Fluo-N2DL-HeLa_02_f005_s687_to_f006_t687,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,5,6,220005,886,0.9999999999901824,Fluo-N2DL-HeLa/02/t005,5,766,390,5,5,Fluo-N2DL-HeLa/02/t006,6,766,390,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01066,ctc_Fluo-N2DL-HeLa_02_f019_s268_to_f020_t268,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,19,20,220019,916,0.9999999999898566,Fluo-N2DL-HeLa/02/t019,19,318,431,5,5,Fluo-N2DL-HeLa/02/t020,20,318,431,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01067,ctc_Fluo-N2DL-HeLa_02_f019_s571_to_f020_t571,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,19,20,220019,964,0.9999999999894296,Fluo-N2DL-HeLa/02/t019,19,673,186,5,5,Fluo-N2DL-HeLa/02/t020,20,673,186,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01068,ctc_Fluo-N2DL-HeLa_02_f043_s836_to_f044_t836,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,43,44,220043,965,0.9999999999894134,Fluo-N2DL-HeLa/02/t043,43,654,530,5,5,Fluo-N2DL-HeLa/02/t044,44,654,530,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01069,ctc_Fluo-N2DL-HeLa_02_f047_s704_to_f048_t704,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,47,48,220047,994,0.9999999999891962,Fluo-N2DL-HeLa/02/t047,47,875,465,5,5,Fluo-N2DL-HeLa/02/t048,48,875,465,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01070,ctc_Fluo-N2DL-HeLa_02_f043_s675_to_f044_t675,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,43,44,220043,997,0.9999999999891688,Fluo-N2DL-HeLa/02/t043,43,689,415,5,5,Fluo-N2DL-HeLa/02/t044,44,689,415,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01071,ctc_Fluo-N2DL-HeLa_02_f037_s721_to_f038_t721,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,37,38,220037,999,0.9999999999891558,Fluo-N2DL-HeLa/02/t037,37,912,284,5,5,Fluo-N2DL-HeLa/02/t038,38,912,284,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01072,ctc_Fluo-N2DL-HeLa_02_f037_s674_to_f038_t674,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,37,38,220037,1012,0.9999999999890016,Fluo-N2DL-HeLa/02/t037,37,716,379,5,5,Fluo-N2DL-HeLa/02/t038,38,716,379,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01073,ctc_Fluo-N2DL-HeLa_02_f050_s791_to_f051_t791,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,50,51,220050,1044,0.999999999988718,Fluo-N2DL-HeLa/02/t050,50,436,635,5,5,Fluo-N2DL-HeLa/02/t051,51,436,635,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01074,ctc_Fluo-N2DL-HeLa_02_f036_s654_to_f037_t654,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,36,37,220036,1045,0.999999999988715,Fluo-N2DL-HeLa/02/t036,36,721,328,5,5,Fluo-N2DL-HeLa/02/t037,37,721,328,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
CTC-AUDIT-01075,ctc_Fluo-N2DL-HeLa_02_f043_s704_to_f044_t704,calibration,True,False,False,0,,,Fluo-N2DL-HeLa,2,43,44,220043,1049,0.9999999999886596,Fluo-N2DL-HeLa/02/t043,43,874,466,5,5,Fluo-N2DL-HeLa/02/t044,44,874,466,5,5,same_cell_link,yes,source and target align to the same CTC lineage identity in held-out GT; confirmed by human review.,high,human_confirmed,reviewed_and_confirmed_for_release
