candidate_id,formula,composition_key,structure_matcher_status,matched_public_source,matched_public_id,pool_duplicate_status,keep_for_followup,evidence_status
pgcgm-791105bef5ad28ef,K(VGe)2,AB2C2::Ge-K-V,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-ead12bdab1426784,Mg4Re4Bi,AB4C4::Bi-Mg-Re,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-af972c2ee3528097,V4Cu4Cl,AB4C4::Cl-Cu-V,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-66c6d41b43114189,V2SeBr2,AB2C2::Br-Se-V,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-bb8d47fbd06434fd,,::,external_public_label_index_checked,,,unique_candidate_id,False,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-5ddd09fa44684af0,YSiMo,ABC::Mo-Si-Y,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-e3e36a9df7d55d0f,MgGeAs,ABC::As-Ge-Mg,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-6b6c6fe7b05164a2,Cr2Cd2Bi,AB2C2::Bi-Cd-Cr,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-c4acffc212356cdc,,::,external_public_label_index_checked,,,unique_candidate_id,False,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-4d2d76825467ec67,,::,external_public_label_index_checked,,,unique_candidate_id,False,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-e09bbff886f04f70,Tl2BOs2,AB2C2::B-Os-Tl,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-82d299abb3f79cba,AlSbPb,ABC::Al-Pb-Sb,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-9abafc384c63f894,TlNiPt,ABC::Ni-Pt-Tl,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-9f970316dbb5ecc2,BeVHg,ABC::Be-Hg-V,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
pgcgm-02d998e7eaa3c668,NaNbTe,ABC::Na-Nb-Te,external_public_label_index_checked,,,unique_candidate_id,True,candidate_pool_public_label_excluded_pending_alignnff_scores
