material_id,formula,n_sites,e_form_per_atom_mp2020_corrected,e_above_hull_mp2020_corrected_ppd_mp,wyckoff_spglib,unique_prototype,chemical_system,n_elements,first_two_elements,composition_family_pair,composition_family_anchor,wyckoff_family,stable_DFT,candidate_id,block_id,structure_ref,structure_sha256
wbm-1-1,Ac6 U2,8.0,0.544327,0.54431,A3B_hP8_194_h_c:Ac-U,True,Ac-U,2,Ac-U,2|Ac-U,2|Ac,A3B_hP8_194_h,False,wbm-1-1,2|Ac-U,step_1.json.bz2::entry_0,
wbm-1-2,Ac1 Th3,4.0,0.12619,0.126152,AB3_tI8_139_a_bd:Ac-Th,True,Ac-Th,2,Ac-Th,2|Ac-Th,2|Ac,AB3_tI8_139_a,False,wbm-1-2,2|Ac-Th,step_1.json.bz2::entry_1,
wbm-1-4,Ag2 Au1 Hg1,4.0,0.032195,0.062869,A2BC_cF16_225_c_a_b:Ag-Au-Hg,True,Ag-Au-Hg,3,Ag-Au,3|Ag-Au,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-4,3|Ag-Au,step_1.json.bz2::entry_3,
wbm-1-5,Ag2 Ba1 La1,4.0,-0.175452,0.092193,A2BC_cF16_225_c_a_b:Ag-Ba-La,True,Ag-Ba-La,3,Ag-Ba,3|Ag-Ba,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-5,3|Ag-Ba,step_1.json.bz2::entry_4,
wbm-1-9,Ac1 Ag2 Bi1,4.0,-0.323544,-0.159192,AB2C_cF16_225_a_c_b:Ac-Ag-Bi,True,Ac-Ag-Bi,3,Ac-Ag,3|Ac-Ag,3|Ac,AB2C_cF16_225_a_c,True,wbm-1-9,3|Ac-Ag,step_1.json.bz2::entry_8,
wbm-1-10,Ag4 Bi2,6.0,0.022759,0.022726,A2B_cF24_227_c_b:Ag-Bi,True,Ag-Bi,2,Ag-Bi,2|Ag-Bi,2|Ag,A2B_cF24_227_c,False,wbm-1-10,2|Ag-Bi,step_1.json.bz2::entry_9,
wbm-1-11,Ag2 Cd1 Hf1,4.0,-0.015905,0.073409,A2BC_cF16_225_c_a_b:Ag-Cd-Hf,True,Ag-Cd-Hf,3,Ag-Cd,3|Ag-Cd,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-11,3|Ag-Cd,step_1.json.bz2::entry_10,
wbm-1-18,Ag2 Ce1 Hg1,4.0,-0.160794,0.050615,A2BC_cF16_225_c_a_b:Ag-Ce-Hg,True,Ag-Ce-Hg,3,Ag-Ce,3|Ag-Ce,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-18,3|Ag-Ce,step_1.json.bz2::entry_17,
wbm-1-19,Ag2 Ce1,3.0,-0.095115,0.08988,A2B_tI6_139_e_a:Ag-Ce,True,Ag-Ce,2,Ag-Ce,2|Ag-Ce,2|Ag,A2B_tI6_139_e,False,wbm-1-19,2|Ag-Ce,step_1.json.bz2::entry_18,
wbm-1-22,Ag2 Cs1 La1,4.0,0.232153,0.457696,A2BC_cF16_225_c_a_b:Ag-Cs-La,True,Ag-Cs-La,3,Ag-Cs,3|Ag-Cs,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-22,3|Ag-Cs,step_1.json.bz2::entry_21,
wbm-1-23,Ag8 Cs4,12.0,0.140995,0.140967,A2B_hP12_194_ah_f:Ag-Cs,True,Ag-Cs,2,Ag-Cs,2|Ag-Cs,2|Ag,A2B_hP12_194_ah,False,wbm-1-23,2|Ag-Cs,step_1.json.bz2::entry_22,
wbm-1-24,Ag2 Dy1 Tl1,4.0,-0.23526,0.021604,A2BC_cF16_225_c_a_b:Ag-Dy-Tl,True,Ag-Dy-Tl,3,Ag-Dy,3|Ag-Dy,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-24,3|Ag-Dy,step_1.json.bz2::entry_23,
wbm-1-25,Ag4 Dy2,6.0,-0.275061,0.054,A2B_oI12_74_h_e:Ag-Dy,True,Ag-Dy,2,Ag-Dy,2|Ag-Dy,2|Ag,A2B_oI12_74_h,False,wbm-1-25,2|Ag-Dy,step_1.json.bz2::entry_24,
wbm-1-26,Ag2 Er1 Tl1,4.0,-0.219513,0.03011,A2BC_cF16_225_c_a_b:Ag-Er-Tl,True,Ag-Er-Tl,3,Ag-Er,3|Ag-Er,3|Ag,A2BC_cF16_225_c_a,False,wbm-1-26,3|Ag-Er,step_1.json.bz2::entry_25,
