material_id,formula,n_sites,e_form_per_atom_mp2020_corrected,e_above_hull_mp2020_corrected_ppd_mp,wyckoff_spglib,unique_prototype,parent_e_above_hull,chemical_system,n_elements,first_two_elements,composition_family_pair,composition_family_anchor,wyckoff_family
wbm-1-6237,Br6 Er2,8.0,-2.37116,-2.371134,A3B_mC16_12_ij_g:Br-Er,True,-2.371134,Br-Er,2,Br-Er,2|Br-Er,2|Br,A3B_mC16_12_ij
wbm-1-6238,Br6 Er2,8.0,-2.309965,-2.30994,A3B_mP8_11_3e_e:Br-Er,True,-2.30994,Br-Er,2,Br-Er,2|Br-Er,2|Br,A3B_mP8_11_3e
wbm-1-6239,Br6 Er2,8.0,-2.303985,-2.303959,A3B_hP8_194_h_c:Br-Er,True,-2.303959,Br-Er,2,Br-Er,2|Br-Er,2|Br,A3B_hP8_194_h
wbm-1-6406,Br8 Er2,10.0,-1.908774,-1.908747,A4B_aP10_2_4i_i:Br-Er,True,-1.908747,Br-Er,2,Br-Er,2|Br-Er,2|Br,A4B_aP10_2_4i
wbm-1-6407,Br8 Er2,10.0,-1.839041,-1.839014,A4B_tI20_88_f_a:Br-Er,True,-1.839014,Br-Er,2,Br-Er,2|Br-Er,2|Br,A4B_tI20_88_f
wbm-1-21795,Gd2 I6,8.0,-1.767793,-1.699482,AB3_hR24_148_c_f:Gd-I,True,-1.699482,Gd-I,2,Gd-I,2|Gd-I,2|Gd,AB3_hR24_148_c
wbm-1-21796,Gd2 I6,8.0,-1.734224,-1.665914,AB3_hP8_193_b_g:Gd-I,True,-1.665914,Gd-I,2,Gd-I,2|Gd-I,2|Gd,AB3_hP8_193_b
wbm-1-21798,Gd2 I6,8.0,-1.719123,-1.650813,AB3_oC16_63_c_cf:Gd-I,True,-1.650813,Gd-I,2,Gd-I,2|Gd-I,2|Gd,AB3_oC16_63_c
wbm-1-21797,Gd2 I6,8.0,-1.716723,-1.648413,AB3_oC16_63_c_cg:Gd-I,True,-1.648413,Gd-I,2,Gd-I,2|Gd-I,2|Gd,AB3_oC16_63_c
wbm-1-21717,Gd1 I2,3.0,-1.521278,-1.430186,AB2_tI6_139_a_e:Gd-I,True,-1.430186,Gd-I,2,Gd-I,2|Gd-I,2|Gd,AB2_tI6_139_a
