candidate_id,formula,reduced_formula,chemical_system,anonymous_formula,n_sites,source_parent_material_id,source_parent_rank,parent_formula,parent_e_above_hull,parent_block_id,wyckoff_spglib,substitution_rule,generation_rule,structure_ref,structure_sha256,public_label_status,public_label_index_scope,keep_for_followup,evidence_status,n_elements,first_two_elements,composition_family_pair,composition_family_anchor,wyckoff_family,block_id
nh-e5f924ee94eb2e99,ErCl3,ErCl3,Cl-Er,AB3,8,wbm-1-6237,1,Br6Er2,-2.371134,2|Br-Er,A3B_mC16_12_ij_g:Br-Er,Br->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-6237::Br->Cl,1c8d3aa2d574a32783f367b515e2ab683fae5c9eed8687899b77e8e9638967c0,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Cl-Er,2|Cl-Er,2|Cl,A3B_mC16_12_ij,2|Cl-Er
nh-5e7619fdffcc16d1,ErF4,ErF4,Er-F,AB4,10,wbm-1-6406,4,Br8Er2,-1.908747,2|Br-Er,A4B_aP10_2_4i_i:Br-Er,Br->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-6406::Br->F,3c5e626e9a29d768bd22e65387fe8bed26d02fa5e3508e4da11599657ac147ae,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Er-F,2|Er-F,2|Er,A4B_aP10_2_4i,2|Er-F
nh-1b9532eff9b0e52c,ErCl4,ErCl4,Cl-Er,AB4,10,wbm-1-6406,4,Br8Er2,-1.908747,2|Br-Er,A4B_aP10_2_4i_i:Br-Er,Br->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-6406::Br->Cl,d6a4e68add970c5e1e3a619a78f786dc6c581843731aacb58bcfde5f092ef135,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Cl-Er,2|Cl-Er,2|Cl,A4B_aP10_2_4i,2|Cl-Er
nh-603c282216514050,GdF3,GdF3,F-Gd,AB3,8,wbm-1-21795,6,Gd2I6,-1.699482,2|Gd-I,AB3_hR24_148_c_f:Gd-I,I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21795::I->F,b9870d1988223422978e47ae690b3273d42303a2112c0570e9b5023899f40c0e,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,F-Gd,2|F-Gd,2|F,AB3_hR24_148_c,2|F-Gd
nh-78dc9188998180e7,GdCl3,GdCl3,Cl-Gd,AB3,8,wbm-1-21795,6,Gd2I6,-1.699482,2|Gd-I,AB3_hR24_148_c_f:Gd-I,I->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21795::I->Cl,6b707cf7e068551f10619bea19875818138527dbfc9d7110cac42890937556a3,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Cl-Gd,2|Cl-Gd,2|Cl,AB3_hR24_148_c,2|Cl-Gd
nh-7de05c1afcd775ce,GdBr3,GdBr3,Br-Gd,AB3,8,wbm-1-21795,6,Gd2I6,-1.699482,2|Gd-I,AB3_hR24_148_c_f:Gd-I,I->Br,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21795::I->Br,f984c56711da5525a6dff5dca3986006e798dbb3720026090b2054baa63a863a,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Br-Gd,2|Br-Gd,2|Br,AB3_hR24_148_c,2|Br-Gd
nh-ccaae3fc9b986887,GdF2,GdF2,F-Gd,AB2,3,wbm-1-21717,10,Gd1I2,-1.430186,2|Gd-I,AB2_tI6_139_a_e:Gd-I,I->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21717::I->F,61d364242fc964f2250b35c3374460e2d23318b7a5848078651b4d8db24b86e1,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,F-Gd,2|F-Gd,2|F,AB2_tI6_139_a,2|F-Gd
nh-b1e10db93dd033ae,GdCl2,GdCl2,Cl-Gd,AB2,3,wbm-1-21717,10,Gd1I2,-1.430186,2|Gd-I,AB2_tI6_139_a_e:Gd-I,I->Cl,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21717::I->Cl,9be36b66a925646252d3c2f3400307864cbf08c3f21f6c8dd4342a450a307df4,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Cl-Gd,2|Cl-Gd,2|Cl,AB2_tI6_139_a,2|Cl-Gd
nh-248109d946ba67fd,GdBr2,GdBr2,Br-Gd,AB2,3,wbm-1-21717,10,Gd1I2,-1.430186,2|Gd-I,AB2_tI6_139_a_e:Gd-I,I->Br,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-21717::I->Br,774afe28afa7b87634c6b54f32b6caac1908d10eb8c419ad204b9a3258209ac8,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,2,Br-Gd,2|Br-Gd,2|Br,AB2_tI6_139_a,2|Br-Gd
nh-6c18dcd7f7b9a47a,Er2PF2,Er2PF2,Er-F-P,AB2C2,5,wbm-1-45469,12,Br2Er2P1,-1.191717,3|Br-Er,A2B2C_hP5_164_d_d_a:Br-Er-P,Br->F,near_hull_parent_isovalent_or_chemically_similar_substitution,wbm_step1::wbm-1-45469::Br->F,8529e667027ffb9d89278ebc7017114b7b65b407b499a1ab2d86f65a9ba018e7,no_known_public_stability_label_in_available_indexes,WBM_Matbench_formula_exclusion; other public indexes unavailable locally,True,generated_before_DFT_outcomes,3,Er-F,3|Er-F,3|Er,A2B2C_hP5_164_d_d,3|Er-F
