parent_material_id,candidate_id,status,reason
wbm-1-6237,,rejected_public_wbm_formula_match,ErF3
wbm-1-6237,,rejected_public_wbm_formula_match,ErI3
wbm-1-6238,,rejected_public_wbm_formula_match,ErF3
wbm-1-6238,,rejected_internal_duplicate,ErCl3
wbm-1-6238,,rejected_public_wbm_formula_match,ErI3
wbm-1-6239,,rejected_public_wbm_formula_match,ErF3
wbm-1-6239,,rejected_internal_duplicate,ErCl3
wbm-1-6239,,rejected_public_wbm_formula_match,ErI3
wbm-1-6406,,rejected_public_wbm_formula_match,ErI4
wbm-1-6407,,rejected_internal_duplicate,ErF4
wbm-1-6407,,rejected_internal_duplicate,ErCl4
wbm-1-6407,,rejected_public_wbm_formula_match,ErI4
wbm-1-21796,,rejected_internal_duplicate,GdF3
wbm-1-21796,,rejected_internal_duplicate,GdCl3
wbm-1-21796,,rejected_internal_duplicate,GdBr3
wbm-1-21798,,rejected_internal_duplicate,GdF3
wbm-1-21798,,rejected_internal_duplicate,GdCl3
wbm-1-21798,,rejected_internal_duplicate,GdBr3
wbm-1-21797,,rejected_internal_duplicate,GdF3
wbm-1-21797,,rejected_internal_duplicate,GdCl3
wbm-1-21797,,rejected_internal_duplicate,GdBr3
wbm-1-21716,,rejected_internal_duplicate,GdF2
wbm-1-21716,,rejected_internal_duplicate,GdCl2
wbm-1-21716,,rejected_internal_duplicate,GdBr2
wbm-1-21905,,rejected_public_wbm_formula_match,Ca(GdI4)2
wbm-1-16338,,rejected_internal_duplicate,SeCl6
wbm-1-16338,,rejected_internal_duplicate,SeBr6
wbm-1-16338,,rejected_internal_duplicate,SeI6
wbm-1-16338,,rejected_internal_duplicate,OF6
wbm-1-16338,,rejected_internal_duplicate,SF6
wbm-1-16338,,rejected_internal_duplicate,TeF6
wbm-1-16338,,rejected_internal_duplicate,Cl6O
wbm-1-16338,,rejected_internal_duplicate,SCl6
wbm-1-5975,,rejected_public_wbm_formula_match,MgPt
wbm-1-5975,,rejected_public_wbm_formula_match,CaPt
wbm-1-5975,,rejected_public_wbm_formula_match,BaPt
wbm-1-5975,,rejected_public_wbm_formula_match,MgNi
wbm-1-5975,,rejected_public_wbm_formula_match,MgPd
wbm-1-5975,,rejected_public_wbm_formula_match,CaNi
wbm-1-48434,,rejected_public_wbm_formula_match,FeI3
wbm-1-45828,,rejected_internal_duplicate,Yb2PF
wbm-1-45828,,rejected_internal_duplicate,Yb2PCl
wbm-1-45828,,rejected_internal_duplicate,Yb2PBr
wbm-1-45828,,rejected_internal_duplicate,Yb2IN
wbm-1-45828,,rejected_internal_duplicate,Yb2AsI
wbm-1-45828,,rejected_internal_duplicate,Yb2SbI
wbm-1-45828,,rejected_internal_duplicate,Yb2BiI
wbm-1-45828,,rejected_internal_duplicate,Yb2NF
wbm-1-50670,,rejected_internal_duplicate,SF
wbm-1-50670,,rejected_internal_duplicate,SCl
wbm-1-50670,,rejected_internal_duplicate,SBr
wbm-1-50670,,rejected_internal_duplicate,IO
wbm-1-50670,,rejected_internal_duplicate,SeI
wbm-1-50670,,rejected_internal_duplicate,TeI
wbm-1-50670,,rejected_internal_duplicate,OF
wbm-1-50670,,rejected_internal_duplicate,SeF
wbm-1-5972,,rejected_public_wbm_formula_match,BaPt2
wbm-1-5972,,rejected_public_wbm_formula_match,BeNi2
wbm-1-38114,,rejected_internal_duplicate,RbNO3
wbm-1-38114,,rejected_internal_duplicate,RbPO3
wbm-1-38114,,rejected_internal_duplicate,RbSbO3
wbm-1-38114,,rejected_internal_duplicate,RbBiO3
wbm-1-38114,,rejected_internal_duplicate,RbAsS3
wbm-1-38114,,rejected_internal_duplicate,RbAsSe3
wbm-1-38114,,rejected_internal_duplicate,RbTe3As
