dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path,method,candidate_budget_M,selected_rank,e_value,p_any,p_block,tau_k,self_consistency_margin,release_source
OVT-B,40,ovtb_v40_p002441,bee,73,0.8958413004875183,0.8958413004875183,0.8958413004875183,1,0.0,,0.0,0.0,True,cat:73,unknown,bee,unknown,global,246,246,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v40_p002441.jpg,parc_track_gamma_tuned_uniform_scs,150,1,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,651,ovtb_v651_p006756,cone,242,0.8749365210533142,0.8749365210533142,0.8749365210533142,1,0.0,5415.0,0.4947775139982936,0.0,True,cat:242,unknown,cone,unknown,global,21,21,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v651_p006756.jpg,parc_track_gamma_tuned_uniform_scs,150,2,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002410,bee,73,0.8722729682922363,0.8722729682922363,0.8722729682922363,1,0.0,1562.0,0.3060661255472798,0.0,True,cat:73,unknown,bee,unknown,global,35,35,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v40_p002410.jpg,parc_track_gamma_tuned_uniform_scs,150,3,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,62,ovtb_v62_p002745,zebra,1052,0.8648843765258789,0.8648843765258789,0.8648843765258789,1,0.0,,0.0,0.0,True,cat:1052,unknown,zebra,unknown,global,186,186,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v62_p002745.jpg,parc_track_gamma_tuned_uniform_scs,150,4,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002422,bee,73,0.853613018989563,0.853613018989563,0.853613018989563,1,0.0,1602.0,0.277985141317781,0.0,True,cat:73,unknown,bee,unknown,global,105,105,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v40_p002422.jpg,parc_track_gamma_tuned_uniform_scs,150,5,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,913,ovtb_v913_p008705,sphygmomanometer,864,0.8533087149262428,0.8533087149262428,0.8533087149262428,8,0.875,7043.0,0.2311442506711983,0.0,True,cat:864,unknown,sphygmomanometer,unknown,global,0,44,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v913_p008705.jpg,parc_track_gamma_tuned_uniform_scs,150,6,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002403,bee,73,0.8520978093147278,0.8520978093147278,0.8520978093147278,1,0.0,1547.0,0.3694711698808537,0.0,True,cat:73,unknown,bee,unknown,global,0,0,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v40_p002403.jpg,parc_track_gamma_tuned_uniform_scs,150,7,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002428,bee,73,0.8510804176330566,0.8510804176330566,0.8510804176330566,1,0.0,1626.0,0.4075605200138457,0.0,True,cat:73,unknown,bee,unknown,global,141,141,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v40_p002428.jpg,parc_track_gamma_tuned_uniform_scs,150,8,21.14416661026871,0.0029940119760479,0.0029940119760479,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,40,ovtb_v40_p002423,bee,73,0.8313068747520447,0.8313068747520447,0.8313068747520447,1,0.0,1593.0,0.3066379888416499,0.0,True,cat:73,unknown,bee,unknown,global,105,105,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v40_p002423.jpg,parc_track_gamma_tuned_uniform_scs,150,9,11.911399618224015,0.0059880239520958,0.0059880239520958,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
OVT-B,682,ovtb_v682_p007019,golf club,419,0.828989565372467,0.828989565372467,0.828989565372467,2,0.5,5597.0,0.4590449743358057,0.0,True,cat:419,unknown,golf club,unknown,global,2,3,,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_unsupported_viewer/montages/ovtb_v682_p007019.jpg,parc_track_gamma_tuned_uniform_scs,150,10,11.911399618224015,0.0059880239520958,0.0059880239520958,11.904761904761903,0.00663771346211206,<PARC_ROOT>/outputs/phase2_1000/candidate_evalues_1000_small.csv
