domain,dataset,proposal_source,source_scope,metric_family,alpha,K,seed,PARC_released,non_empty,raw_selected_links,raw_false_persistence_links,raw_false_link_fraction,raw_source_split_conflicts,raw_target_merge_conflicts,raw_false_persistence_chains,raw_map_edit_burden_proxy,raw_persistence_map_quality_proxy,PARC_false_persistence_links,PARC_false_link_fraction,PARC_false_persistence_chains,PARC_map_edit_burden_proxy,PARC_persistence_map_quality_proxy,prevented_false_persistence_links,prevented_false_persistence_chains,prevented_map_edit_burden_proxy,best_mass_ratio,max_observed_e,required_e,block_coverage,observed_positives,evidence_status
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,100,0,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,1.2122673753815527,6.061336876907764,5.0,1.0,99736,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,300,0,0,0,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0.7135494838372328,6.061336876907764,5.0,1.0,99736,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,500,0,0,0,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0.7135494838372328,6.061336876907764,5.0,1.0,99736,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,1000,0,0,0,1000,1,0.001,0,0,1,2,0.998003992015968,0,0.0,0,0,1.0,1,1,2,0.7135494838372328,6.061336876907764,5.0,1.0,99736,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,5000,0,0,0,5000,7,0.0014,0,0,7,14,0.9972078181092939,0,0.0,0,0,1.0,7,7,14,0.2563069745943341,6.061336876907764,5.0,1.0,99736,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,100,1,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,1.2122673753815527,6.061336876907764,5.0,1.0,109623,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,300,1,0,0,300,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0.7135494838372328,6.061336876907764,5.0,1.0,109623,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,500,1,0,0,500,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,0.7135494838372328,6.061336876907764,5.0,1.0,109623,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,1000,1,0,0,1000,1,0.001,0,0,1,2,0.998003992015968,0,0.0,0,0,1.0,1,1,2,0.7135494838372328,6.061336876907764,5.0,1.0,109623,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,5000,1,0,0,5000,10,0.002,0,0,10,20,0.9960159362549801,0,0.0,0,0,1.0,10,10,20,0.3103505813460917,6.061336876907764,5.0,1.0,109623,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,100,2,100,1,100,0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,0,0,1.2122673753815527,6.061336876907764,5.0,1.0,96732,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,300,2,300,1,300,2,0.006666666666666667,0,0,2,4,0.9868421052631579,2,0.006666666666666667,2,4,0.9868421052631579,0,0,0,1.212267375381553,6.061336876907764,5.0,1.0,96732,completed_official_GT_downstream_consequence
earth_observation,SpaceNet 7 official building identities,spacenet_geometry_linker,structured geometry building-link source,official_GT_building_persistence_map_metrics,0.2,500,2,500,1,500,2,0.004,0,0,2,4,0.9920634920634921,2,0.004,2,4,0.9920634920634921,0,0,0,1.2122673753815527,6.061336876907764,5.0,1.0,96732,completed_official_GT_downstream_consequence
