dataset,video_id,path_id,label,reason,auditor,confidence,review_status,verified_positive_for_calibration
BURST,2306,ovtb_v2306_p002927,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2306,ovtb_v2306_p002926,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002335,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,394,ovtb_v394_p000678,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002338,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2421,ovtb_v2421_p003133,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002335,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,394,ovtb_v394_p000678,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002338,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2421,ovtb_v2421_p003133,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2008,ovtb_v2008_p002593,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,884,ovtb_v884_p001363,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2306,ovtb_v2306_p002927,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2306,ovtb_v2306_p002926,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002335,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,394,ovtb_v394_p000678,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002338,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2421,ovtb_v2421_p003133,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002335,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,394,ovtb_v394_p000678,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1785,ovtb_v1785_p002338,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2421,ovtb_v2421_p003133,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2008,ovtb_v2008_p002593,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,884,ovtb_v884_p001363,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2306,ovtb_v2306_p002927,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2306,ovtb_v2306_p002926,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2008,ovtb_v2008_p002593,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,884,ovtb_v884_p001363,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,2907,ovtb_v2907_p003681,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,1505,ovtb_v1505_p002037,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
BURST,344,ovtb_v344_p000623,actually_true,real_unlabeled_object,codex_visual_audit_v1,high,model_assisted_visual_audit,yes
