dataset,video_id,path_id,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,matched_gt_id,matched_iou,temporal_overlap,is_unmatched,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,frame_start,frame_end,clip_path,montage_path,method,candidate_budget_M,selected_rank,e_value,p_any,p_block,tau_k,self_consistency_margin,release_source,alpha1,seed,audit_label,needs_audit,verified_positive_for_calibration
BURST,2306,ovtb_v2306_p002927,giraffe,502,0.9596033692359924,0.9596033692359924,0.9596033692359924,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,22,22,,,parc_track_gamma_tuned_uniform_scs,150,1,24.917887765177458,0.0024570024570024,0.0024570024570024,10.0,3.982322291305641,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed0.csv,0.1,0,,True,no
BURST,2306,ovtb_v2306_p002926,giraffe,502,0.9124360084533693,0.9124360084533693,0.9124360084533693,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,17,17,,,parc_track_gamma_tuned_uniform_scs,150,2,24.917887765177458,0.0024570024570024,0.0024570024570024,10.0,3.982322291305641,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed0.csv,0.1,0,,True,no
BURST,1785,ovtb_v1785_p002335,surfboard,1057,0.9110865592956544,0.9110865592956544,0.9110865592956544,1,0.0,2.0,0.4214323295698757,0.0,True,cat:1057,unknown,surfboard,unknown,global,11,11,,,parc_track_gamma_tuned_uniform_scs,150,3,24.917887765177458,0.0024570024570024,0.0024570024570024,10.0,3.982322291305641,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed0.csv,0.1,0,,True,no
BURST,394,ovtb_v394_p000678,person,805,0.8893255591392517,0.8893255591392517,0.8893255591392517,1,0.0,,0.0,0.0,True,cat:805,unknown,person,unknown,global,0,0,,,parc_track_gamma_tuned_uniform_scs,150,4,24.917887765177458,0.0024570024570024,0.0024570024570024,10.0,3.982322291305641,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed0.csv,0.1,0,,True,no
BURST,1785,ovtb_v1785_p002338,surfboard,1057,0.8855812549591064,0.8855812549591064,0.8855812549591064,1,0.0,2.0,0.3840050474110013,0.0,True,cat:1057,unknown,surfboard,unknown,global,33,33,,,parc_track_gamma_tuned_uniform_scs,150,5,24.917887765177458,0.0024570024570024,0.0024570024570024,10.0,3.982322291305641,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed0.csv,0.1,0,,True,no
BURST,2421,ovtb_v2421_p003133,giraffe,502,0.8814222812652588,0.8814222812652588,0.8814222812652588,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,39,39,,,parc_track_gamma_tuned_uniform_scs,150,6,24.917887765177458,0.0024570024570024,0.0024570024570024,10.0,3.982322291305641,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed0.csv,0.1,0,,True,no
BURST,1785,ovtb_v1785_p002335,surfboard,1057,0.9110865592956544,0.9110865592956544,0.9110865592956544,1,0.0,2.0,0.4214323295698757,0.0,True,cat:1057,unknown,surfboard,unknown,global,11,11,,,parc_track_gamma_tuned_uniform_scs,150,1,13.89834456929123,0.0049504950495049,0.0049504950495049,10.0,3.898344569291231,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed1.csv,0.1,1,,True,no
BURST,394,ovtb_v394_p000678,person,805,0.8893255591392517,0.8893255591392517,0.8893255591392517,1,0.0,,0.0,0.0,True,cat:805,unknown,person,unknown,global,0,0,,,parc_track_gamma_tuned_uniform_scs,150,2,13.89834456929123,0.0049504950495049,0.0049504950495049,10.0,3.898344569291231,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed1.csv,0.1,1,,True,no
BURST,1785,ovtb_v1785_p002338,surfboard,1057,0.8855812549591064,0.8855812549591064,0.8855812549591064,1,0.0,2.0,0.3840050474110013,0.0,True,cat:1057,unknown,surfboard,unknown,global,33,33,,,parc_track_gamma_tuned_uniform_scs,150,3,13.89834456929123,0.0049504950495049,0.0049504950495049,10.0,3.898344569291231,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed1.csv,0.1,1,,True,no
BURST,2421,ovtb_v2421_p003133,giraffe,502,0.8814222812652588,0.8814222812652588,0.8814222812652588,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,39,39,,,parc_track_gamma_tuned_uniform_scs,150,4,13.89834456929123,0.0049504950495049,0.0049504950495049,10.0,3.898344569291231,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed1.csv,0.1,1,,True,no
BURST,2008,ovtb_v2008_p002593,football helmet,473,0.8808256387710571,0.8808256387710571,0.8808256387710571,1,0.0,1.0,0.45544185040932,0.0,True,cat:473,unknown,football helmet,unknown,global,17,17,,,parc_track_gamma_tuned_uniform_scs,150,5,13.89834456929123,0.0049504950495049,0.0049504950495049,10.0,3.898344569291231,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed1.csv,0.1,1,,True,no
BURST,884,ovtb_v884_p001363,person,805,0.8659107089042664,0.8659107089042664,0.8659107089042664,1,0.0,,0.0,0.0,True,cat:805,unknown,person,unknown,global,11,11,,,parc_track_gamma_tuned_uniform_scs,150,6,13.89834456929123,0.0049504950495049,0.0049504950495049,10.0,3.898344569291231,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p1_seed1.csv,0.1,1,,True,no
BURST,2306,ovtb_v2306_p002927,giraffe,502,0.9596033692359924,0.9596033692359924,0.9596033692359924,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,22,22,,,parc_track_gamma_tuned_uniform_scs,150,1,24.917887765177458,0.0024570024570024,0.0024570024570024,5.0,8.98232229130564,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed0.csv,0.2,0,,True,no
BURST,2306,ovtb_v2306_p002926,giraffe,502,0.9124360084533693,0.9124360084533693,0.9124360084533693,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,17,17,,,parc_track_gamma_tuned_uniform_scs,150,2,24.917887765177458,0.0024570024570024,0.0024570024570024,5.0,8.98232229130564,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed0.csv,0.2,0,,True,no
BURST,1785,ovtb_v1785_p002335,surfboard,1057,0.9110865592956544,0.9110865592956544,0.9110865592956544,1,0.0,2.0,0.4214323295698757,0.0,True,cat:1057,unknown,surfboard,unknown,global,11,11,,,parc_track_gamma_tuned_uniform_scs,150,3,24.917887765177458,0.0024570024570024,0.0024570024570024,5.0,8.98232229130564,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed0.csv,0.2,0,,True,no
BURST,394,ovtb_v394_p000678,person,805,0.8893255591392517,0.8893255591392517,0.8893255591392517,1,0.0,,0.0,0.0,True,cat:805,unknown,person,unknown,global,0,0,,,parc_track_gamma_tuned_uniform_scs,150,4,24.917887765177458,0.0024570024570024,0.0024570024570024,5.0,8.98232229130564,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed0.csv,0.2,0,,True,no
BURST,1785,ovtb_v1785_p002338,surfboard,1057,0.8855812549591064,0.8855812549591064,0.8855812549591064,1,0.0,2.0,0.3840050474110013,0.0,True,cat:1057,unknown,surfboard,unknown,global,33,33,,,parc_track_gamma_tuned_uniform_scs,150,5,24.917887765177458,0.0024570024570024,0.0024570024570024,5.0,8.98232229130564,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed0.csv,0.2,0,,True,no
BURST,2421,ovtb_v2421_p003133,giraffe,502,0.8814222812652588,0.8814222812652588,0.8814222812652588,1,0.0,,0.0,0.0,True,cat:502,unknown,giraffe,unknown,global,39,39,,,parc_track_gamma_tuned_uniform_scs,150,6,24.917887765177458,0.0024570024570024,0.0024570024570024,5.0,8.98232229130564,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed0.csv,0.2,0,,True,no
BURST,1785,ovtb_v1785_p002335,surfboard,1057,0.9110865592956544,0.9110865592956544,0.9110865592956544,1,0.0,2.0,0.4214323295698757,0.0,True,cat:1057,unknown,surfboard,unknown,global,11,11,,,parc_track_gamma_tuned_uniform_scs,150,1,13.89834456929123,0.0049504950495049,0.0049504950495049,5.0,8.89834456929123,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed1.csv,0.2,1,,True,no
BURST,394,ovtb_v394_p000678,person,805,0.8893255591392517,0.8893255591392517,0.8893255591392517,1,0.0,,0.0,0.0,True,cat:805,unknown,person,unknown,global,0,0,,,parc_track_gamma_tuned_uniform_scs,150,2,13.89834456929123,0.0049504950495049,0.0049504950495049,5.0,8.89834456929123,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed1.csv,0.2,1,,True,no
BURST,1785,ovtb_v1785_p002338,surfboard,1057,0.8855812549591064,0.8855812549591064,0.8855812549591064,1,0.0,2.0,0.3840050474110013,0.0,True,cat:1057,unknown,surfboard,unknown,global,33,33,,,parc_track_gamma_tuned_uniform_scs,150,3,13.89834456929123,0.0049504950495049,0.0049504950495049,5.0,8.89834456929123,<PARC_ROOT>/outputs/phase7_burst/candidate_evalues_alpha0p2_seed1.csv,0.2,1,,True,no
