dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source
OVT-B,69,ovtb_v69_p004525,test,giant panda,405,0.8433939576148987,0.8433939576148987,0.8433939576148987,5,0.8,128,449,5,80,False,1851.0,0.2947396229230009,0.0,0,False,True,,no,cat:405,unknown,giant panda,unknown,global,0,final_score_proxy
OVT-B,1583,ovtb_v1583_p034019,cal,bird,93,0.8708337664604187,0.8708337664604187,0.8708337664604187,5,0.8,0,29,5,45,False,11146.0,0.2191849548315586,0.0,0,False,True,,no,cat:93,unknown,bird,unknown,global,0,final_score_proxy
OVT-B,99,ovtb_v99_p005059,cal,bear,70,0.8145921031634012,0.8145921031634012,0.8145921031634012,3,0.6666666666666666,0,471,3,134,False,1931.0,0.4988830788835125,0.0,0,False,True,,no,cat:70,unknown,bear,unknown,global,0,final_score_proxy
OVT-B,571,ovtb_v571_p014254,cal,magpie,559,0.907786786556244,0.907786786556244,0.907786786556244,1,0.0,0,0,1,14,False,,0.0,0.0,0,False,True,,no,cat:559,unknown,magpie,unknown,global,0,final_score_proxy
OVT-B,136,ovtb_v136_p005715,test,snow leopard,847,0.9019665718078612,0.9019665718078612,0.9019665718078612,8,0.875,0,29,8,20,False,2122.0,0.1733957153496534,0.0,0,False,True,,no,cat:847,unknown,snow leopard,unknown,global,0,final_score_proxy
OVT-B,717,ovtb_v717_p017044,cal,protractor,725,0.9237845912575722,0.9237845912575722,0.9237845912575722,8,0.875,0,8,8,7,False,5828.0,0.7206962995929082,1.0,8,True,False,,no,cat:725,unknown,protractor,unknown,global,0,final_score_proxy
OVT-B,725,ovtb_v725_p017124,cal,bird,93,0.868431881070137,0.868431881070137,0.868431881070137,8,0.875,0,28,8,49,False,5867.0,0.5234171967304807,0.5,4,True,False,,no,cat:93,unknown,bird,unknown,global,0,final_score_proxy
OVT-B,550,ovtb_v550_p013803,cal,raccoon,740,0.8211341947317123,0.8211341947317123,0.8211341947317123,8,0.875,0,24,8,123,False,4725.0,0.570721598632455,0.75,6,True,False,,no,cat:740,unknown,raccoon,unknown,global,0,final_score_proxy
OVT-B,1530,ovtb_v1530_p032916,tune,cone,242,0.8257564306259155,0.8257564306259155,0.8257564306259155,1,0.0,17,17,1,116,False,,0.0,0.0,0,False,True,,no,cat:242,unknown,cone,unknown,global,0,final_score_proxy
OVT-B,1682,ovtb_v1682_p035843,cal,megaphone,583,0.8646046072244644,0.8646046072244644,0.8646046072244644,8,0.875,0,19,8,56,False,11717.0,0.6746323087041735,1.0,8,True,False,,no,cat:583,unknown,megaphone,unknown,global,0,final_score_proxy
OVT-B,888,ovtb_v888_p020674,cal,pocket watch,698,0.8153744265437126,0.8153744265437126,0.8153744265437126,8,0.875,0,29,8,132,False,6876.0,0.5639779126617094,1.0,8,True,False,,no,cat:698,unknown,pocket watch,unknown,global,0,final_score_proxy
OVT-B,647,ovtb_v647_p015735,cal,magpie,559,0.9033904820680618,0.9033904820680618,0.9033904820680618,8,0.875,0,32,8,17,False,5394.0,0.5461168623292708,0.125,1,False,True,,no,cat:559,unknown,magpie,unknown,global,0,final_score_proxy
OVT-B,1045,ovtb_v1045_p023902,cal,earring,327,0.846505880355835,0.846505880355835,0.846505880355835,3,0.6666666666666666,10,14,3,74,False,,0.0,0.0,0,False,True,,no,cat:327,unknown,earring,unknown,global,0,final_score_proxy
OVT-B,1530,ovtb_v1530_p032918,tune,cone,242,0.8220324516296387,0.8220324516296387,0.8220324516296387,1,0.0,21,21,1,122,False,,0.0,0.0,0,False,True,,no,cat:242,unknown,cone,unknown,global,0,final_score_proxy
OVT-B,108,ovtb_v108_p005208,cal,elephant,341,0.8245053440332413,0.8245053440332413,0.8245053440332413,8,0.875,0,334,8,119,False,1953.0,0.4167642868939629,0.0,0,False,True,,no,cat:341,unknown,elephant,unknown,global,0,final_score_proxy
OVT-B,800,ovtb_v800_p018651,test,woodpecker,1043,0.8161261677742004,0.8161261677742004,0.8161261677742004,8,0.875,0,13,8,130,False,6329.0,0.5415051471918688,0.125,1,False,True,,no,cat:1043,unknown,woodpecker,unknown,global,0,final_score_proxy
OVT-B,993,ovtb_v993_p022692,test,seal,804,0.8710915595293045,0.8710915595293045,0.8710915595293045,8,0.875,0,23,8,44,False,7591.0,0.432284023527368,0.0,0,False,True,,no,cat:804,unknown,seal,unknown,global,0,final_score_proxy
OVT-B,659,ovtb_v659_p015929,test,baseball glove,55,0.8395067602396011,0.8395067602396011,0.8395067602396011,4,0.75,0,3,4,87,False,5454.0,0.3434936444323189,0.0,0,False,True,,no,cat:55,unknown,baseball glove,unknown,global,0,final_score_proxy
