public_source,public_member,public_id,reduced_formula,num_sites,energy_above_hull
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003286957>,Cu2Pd3,20,0.0792448130000016
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1027823,LiMg14Cu,16,0.0584265453411991
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-7038,TlPd2Se3,12,0.0
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm005217662>,Fe3H2,10,0.0306655200000012
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003198565>,Pt5W,6,0.0657363770833319
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003198566>,Pt5W,6,0.0411869687499972
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003196360>,BrCl2,6,0.0487810450000005
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1039435,Ce5Mg,6,0.0827569161111103
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1094871,Ce5Mg,6,0.0928526094444439
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1094810,Ce5Mg,6,0.0969512761111097
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003514389>,Tl2CuF8,11,0.0224955913636346
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm005400266>,Li(HPd)3,14,0.0661356528571426
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003542987>,Li(HPd)3,14,0.0227083592857137
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003193437>,Fe3Co2,5,0.0515606392500007
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003284864>,Fe3Co2,5,0.0502213612500002
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm005417347>,Fe3Co2,5,0.0455104532500003
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003193436>,Fe3Co2,5,0.0500231372500001
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm005409128>,Fe3Co2,5,0.0216101372500006
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003194989>,Fe3Co2,5,0.0119267712500006
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003271986>,Li3C2,10,0.0697923352222229
alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003631762>,LiSmSb2,8,0.0
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1024983,ErInNi4,6,0.0
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1022725,Sn,1,0.0542568349999998
alex-mp v20 local public snapshot,alex_mp_20/train.csv,mp-1056763,Sn,1,0.0699976049999997
