candidate_id,reduced_formula,public_source,public_member,public_id,match_confidence,structure_match_public,public_energy_above_hull,match_error
mattergen_pilot_5k_3gpu_00948,Ag2Au,alex-mp v20 local public snapshot,alex_mp_20/val.csv,alex<agm003203279>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0065791750000001,
mattergen_pilot_5k_3gpu_01706,Ag3Te,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm001828251>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0544891395833335,
mattergen_pilot_5k_3gpu_02932,Al2NiRu,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003186215>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0,
mattergen_pilot_5k_3gpu_04051,Al2TlAgCl8,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm004883523>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.016551820833333,
mattergen_pilot_5k_3gpu_01754,AlGa(CuSe2)2,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm004872641>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0139623474999996,
mattergen_pilot_5k_3gpu_00391,AlPbAu2,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm003168287>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0549077024999999,
mattergen_pilot_5k_3gpu_02279,AlZn2CuTe4,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm004872905>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.000197768125,
mattergen_pilot_5k_3gpu_02127,Ba(CeTe2)2,alex-mp v20 local public snapshot,alex_mp_20/val.csv,alex<agm003454336>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0370199524999961,
mattergen_pilot_5k_3gpu_02925,Ba(NaAs)2,alex-mp v20 local public snapshot,alex_mp_20/val.csv,alex<agm002935345>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0147303740833328,
mattergen_pilot_5k_3gpu_03816,Ba(TlRh)2,alex-mp v20 local public snapshot,alex_mp_20/train.csv,alex<agm002941483>,StructureMatcher_ltol0.2_stol0.3_angle5,True,0.0938669900000004,
