candidate_id,generator,generator_mode,formula,reduced_formula,chemical_system,anonymous_formula,n_sites,space_group,structure_ref,structure_sha256,generation_rank,generation_status,public_label_status,public_label_sources_checked,structure_match_status,eligible_for_A3_v4
mattergen_smoke_100_00000,MatterGen,mattergen_base_unconditional_smoke,Ce1 Sm2 Hg8,Ce(SmHg4)2,Ce-Hg-Sm,AB2C8,11,C2/m,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_0.cif,c532599b0c4dc4fe72529e70b46dc627dff043af2b20ef8ca9d4501594c5f62a,0,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00001,MatterGen,mattergen_base_unconditional_smoke,Tm1 Mg1 Zn1 Pd1,TmMgZnPd,Mg-Pd-Tm-Zn,ABCD,4,F-43m,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_1.cif,4f8921f2b7e12fd7f6a0462f24c9b6d2a4407677826fcdc49c93c1f8f3e3961d,1,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00002,MatterGen,mattergen_base_unconditional_smoke,Sm1 Er6 Tl1,SmEr6Tl,Er-Sm-Tl,ABC6,8,P4/mmm,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_10.cif,f436c8a615c01bf906bc350c34b2332554dea4bd402439963cf07366c2e02e2b,2,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00003,MatterGen,mattergen_base_unconditional_smoke,Li1 Cr2 Ge1 N1,LiCr2GeN,Cr-Ge-Li-N,ABCD2,5,P4/mmm,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_11.cif,0e522619441b3eee4e4eb97fa13c493dcc23bbe33a12ebfc3bbf1499839e3027,3,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00004,MatterGen,mattergen_base_unconditional_smoke,Sr3 La2 Zn3 Pd1 O9,Sr3La2Zn3PdO9,La-O-Pd-Sr-Zn,AB2C3D3E9,18,Cm,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_12.cif,28305557898f54afc5672af140b385865f12edb54fa8a22ee5b1757c46ba87a2,4,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00005,MatterGen,mattergen_base_unconditional_smoke,K2 Tl3 In1 Hg4,K2Tl3InHg4,Hg-In-K-Tl,AB2C3D4,10,Pmm2,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_13.cif,78311f5ffd5949aff921cc180782614e66ef5d94cd40d69d2ae925b4c80e623c,5,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00008,MatterGen,mattergen_base_unconditional_smoke,Sr2 Li2 Mn3 Se9,Sr2Li2(MnSe3)3,Li-Mn-Se-Sr,A2B2C3D9,16,P1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_16.cif,a23ddb7290a59a88d7cb1650cec582b1924aefee0a41615483d3bc2e64a94c68,8,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00009,MatterGen,mattergen_base_unconditional_smoke,Cs3 Ce2 Dy1 Se6,Cs3Ce2DySe6,Ce-Cs-Dy-Se,AB2C3D6,12,C2/m,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_17.cif,1e47623039c076f22fc5676e4e3fa6a953d0dce45dbee62401ffd94ef176f2a8,9,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00010,MatterGen,mattergen_base_unconditional_smoke,Na7 Tl1,Na7Tl,Na-Tl,AB7,8,P-6m2,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_18.cif,1b5bc307f79e208cc4f730999584017a11c98d652be42756687f9309c18b8004,10,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00011,MatterGen,mattergen_base_unconditional_smoke,Na1 In1 Ag2,NaInAg2,Ag-In-Na,ABC2,4,Fm-3m,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_19.cif,da2a076e10a25fd5ecf34f84ae06fb0eb3933fd67a994e5d7328dace083a738a,11,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
mattergen_smoke_100_00012,MatterGen,mattergen_base_unconditional_smoke,Ho6 S10,Ho3S5,Ho-S,A3B5,16,P2/m,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_2.cif,ab9a5dbcca20ddf05a492e8916f866c940cdcbe09846c92cfcfdc66374555976,12,pymatgen_readable_smoke_candidate,no_wbm_matbench_formula_match,WBM_Matbench_formula_level;MP_OQMD_Alexandria_GNoME_unavailable_in_smoke,not_run_smoke_formula_level_only,True
