dft_job_id,candidate_id,arm,endpoint_id,structure_ref,structure_sha256,dft_engine,input_status,failure_policy,selected_before_DFT_outcome,outcome_available,outcome_file,evidence_status
a3v4-parc-release-0001,mattergen_pilot_5k_3gpu_00181,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1160.cif,4bc0b3e52c6ef1ca4fa415080bb3ee7afdfd47c32d549c2f34b4e6116d87414a,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0002,mattergen_pilot_5k_3gpu_02201,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1467.cif,5ad310a463dbd805a42f75b300ebcbf56d466749599439507f43d7177a744f42,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0003,mattergen_pilot_5k_3gpu_04274,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_345.cif,fb8d15fc259d82451c03a63c2f26e8a00f32123012b083bb10d4471a84d9fe19,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0004,mattergen_pilot_5k_3gpu_03869,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1474.cif,34a6cd719f349e419ee3f49c5b81b67b53929f3c1061183be18ed05602aefa14,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0005,mattergen_pilot_5k_3gpu_03064,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_750.cif,de01280be7c63a85607f9874b22bcb75d7a04dc9587ac2a4cfdd92de9245d407,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0006,mattergen_pilot_5k_3gpu_00766,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_176.cif,0d857d7df694d8c4655e5baa8e28e4fcd07643a5e2bc63d4cb842918bd7fd1f5,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0007,mattergen_pilot_5k_3gpu_04856,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_87.cif,12bff6cd5de7fa38321f0b27dd0124c169b5782f586eba734dc485432d07a2d3,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0008,mattergen_pilot_5k_3gpu_03662,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1288.cif,efd2e827dbdb3790cc93dee0ae029e5b144f3a0ccc161e1b9b5cc64ecdbae4eb,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0009,mattergen_pilot_5k_3gpu_04782,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_802.cif,41206a24a2835eb398110eb8a2c4ea5c4b02b74696e219cef94386806a9cfdec,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
a3v4-parc-release-0010,mattergen_pilot_5k_3gpu_01741,PARC-release,v4a_strict_exact_K100,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1052.cif,95eae171d99e20e47a3f858487814de471abe65b7fcb6463796bec884e9879d9,VASP-or-equivalent-MP-compatible-engine,ready_for_private_DFT_input_export_release_only,conservative_failed_DFT_counted_not_certified_stable,True,False,,DFT_job_manifest_frozen_before_outcomes_release_only_pilot
