candidate_id,generator,generator_mode,formula,reduced_formula,chemical_system,anonymous_formula,n_sites,space_group,structure_ref,structure_sha256,generation_rank,generation_status
mattergen_pilot_5k_3gpu_00000,MatterGen,mattergen_base_unconditional_smoke,K2 Al2 Cl8,KAlCl4,Al-Cl-K,ABC4,12,Cm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_0.cif,32dbb773a80a6e3067d9c982594fc4f251f4ff9c355404a48ddc241df65e76a3,0,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00001,MatterGen,mattergen_base_unconditional_smoke,Ti1 Cd2 Rh1,TiCd2Rh,Cd-Rh-Ti,ABC2,4,P4mm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1.cif,79cac84d499a75dc152719f0445caa6cdea5e2262fd72d01f3c3e9e28bb006ab,1,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00002,MatterGen,mattergen_base_unconditional_smoke,Rb1 Ag1 Sb2 Au1,RbAgSb2Au,Ag-Au-Rb-Sb,ABCD2,5,I-4m2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_10.cif,4af9f7cb27094a3a39519d32493ab1642dfe7e2132fb9610b11fed66f892601d,2,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00003,MatterGen,mattergen_base_unconditional_smoke,La6 Cd1 N1,La6CdN,Cd-La-N,ABC6,8,P-1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_100.cif,9df14f003e316fd7ae01dcd1e5a66e41fe88bb9c577c6eeee1f8d91f5834b492,3,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00004,MatterGen,mattergen_base_unconditional_smoke,Na2 Cu2 S2,NaCuS,Cu-Na-S,ABC,6,P4/mmm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1000.cif,ffa7cefd95d55eff57953b8ea365063da590a08b878bdad3bdd6852b2c78f5c5,4,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00005,MatterGen,mattergen_base_unconditional_smoke,Na1 Dy1 In2,NaDyIn2,Dy-In-Na,ABC2,4,Fm-3m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1001.cif,e99f58c5c84c21602fd295f116f546a23e2a3bac94b261c05e68c89ef46cb1e0,5,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00006,MatterGen,mattergen_base_unconditional_smoke,Li1 Ag3 F6,LiAg3F6,Ag-F-Li,AB3C6,10,P1,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1002.cif,34cc8c81feeec77d3d5ba410133df26cbcb8260975d37cf749fa32424ce401fd,6,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00007,MatterGen,mattergen_base_unconditional_smoke,Cr1 Pd2,CrPd2,Cr-Pd,AB2,3,Immm,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1003.cif,56eeb7a9401547394d5bc04b988addb9bb5359863bf7b6dc13ebdb04e96e660f,7,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00008,MatterGen,mattergen_base_unconditional_smoke,Rb1 Ba1 La2 Te4,RbBa(LaTe2)2,Ba-La-Rb-Te,ABC2D4,8,P2/m,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1004.cif,a8d25c3b1ca3d8670c2418e53e223c71d32ef5dcdc3839557bd75c9e94419ca4,8,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00009,MatterGen,mattergen_base_unconditional_smoke,Li1 In1 Pb1,LiInPb,In-Li-Pb,ABC,3,Imm2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1005.cif,0aa0d69ae4c55ce717d62b745c48839b34ee04af189cbaffeb315923ef54e1cf,9,pymatgen_readable_smoke_candidate
mattergen_pilot_5k_3gpu_00010,MatterGen,mattergen_base_unconditional_smoke,La1 Tb2 Tm1 Bi4,LaTb2TmBi4,Bi-La-Tb-Tm,ABC2D4,8,I-4m2,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1006.cif,53a708cdc102dfaa500352167303bf1d90e3eace415da8d695da1669d2bf0170,10,pymatgen_readable_smoke_candidate
