candidate_id,formula,structure_ref,structure_sha256,chgnet_score,mace_score,consensus_score,consensus_rule,score_status,raw_rank
mattergen_smoke_100_00023,Ta7 Ni1 N8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_3.cif,ab200b74c51526cc413f2191ed0cb96a30b4bf00897ae508485f8c567dc86085,6.179367177828665,6.053844562026451,6.053844562026451,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,1
mattergen_smoke_100_00088,Ba3 Y4 Sc1 O10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_89.cif,9c206f1ea35ce33f9a6f9f85f28c215783dc9e6079b32aeccdde828c22e33311,4.944600230693286,4.966112086389526,4.944600230693286,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,2
mattergen_smoke_100_00003,Li1 Cr2 Ge1 N1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_11.cif,0e522619441b3eee4e4eb97fa13c493dcc23bbe33a12ebfc3bbf1499839e3027,4.295652315114373,4.23965937663338,4.23965937663338,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,3
mattergen_smoke_100_00012,Ho6 S10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_2.cif,ab9a5dbcca20ddf05a492e8916f866c940cdcbe09846c92cfcfdc66374555976,3.964844526672013,3.8398861451837147,3.8398861451837147,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,4
mattergen_smoke_100_00047,K5 Rb1 Ca2 F10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_51.cif,49629d8c647b0bf0d33a82515c3c3175bdab3fe85c96c5dfe08d0536f8cf3439,3.3022388672907628,3.291372769156799,3.291372769156799,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,5
mattergen_smoke_100_00068,Ba3 Y2 Ho2 Te8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_70.cif,4224d208b25985151826a1de6662857ecfd715e20cd2c30bd185600e5c23bea0,3.250631068930753,3.222815037447793,3.222815037447793,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,6
mattergen_smoke_100_00028,Li2 Ca2 Co2 F12,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_34.cif,a9178b64cd8d9b76f4996679c3eb6ffa532f6cec98ed5cd4b5c85723a160e994,2.9888436465630672,2.7593627779446437,2.7593627779446437,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,7
mattergen_smoke_100_00073,Ba4 Ti1 Cr3 N8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_75.cif,fb535cc754f71aecc8f9459a74847865a8f85d74db3a6641320fabd32d744476,2.7869596624180666,2.7251651517936555,2.7251651517936555,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,8
mattergen_smoke_100_00084,Na2 Mn1 Cr2 Se6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_85.cif,b7d5bb198e97861046867080582195a52372d7857d5d120fba74a2dc91039179,2.7117855483450777,2.740739567844368,2.7117855483450777,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,9
mattergen_smoke_100_00004,Sr3 La2 Zn3 Pd1 O9,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_12.cif,28305557898f54afc5672af140b385865f12edb54fa8a22ee5b1757c46ba87a2,2.579502367783684,2.582254531039285,2.579502367783684,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,10
mattergen_smoke_100_00056,K2 Li2 F6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_6.cif,970b67d02b966a0af995a467a2984329e0c1fe46ce9d538a631f9ed8733408ce,2.50324909544175,2.5245358006075724,2.50324909544175,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,11
mattergen_smoke_100_00036,K2 Li2 Y2 I10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_41.cif,7855eb432044d19ce8f724d152bca2a913e33edc976d5c8e7367b8f0bfe88148,2.4898769375894534,2.42740157293537,2.42740157293537,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,12
mattergen_smoke_100_00048,Ho2 Zr2 C2 N1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_52.cif,374f0b1682f378662ce5902e8c66feaa013af3b65ac08459bbc4156dd3e18dd7,2.367783779537847,2.3128526273477323,2.3128526273477323,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,13
mattergen_smoke_100_00061,Ba1 Cu2 Ag1 F6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_64.cif,f2df461617f492dfdc302943e248fa3a117e1bb2346074f31a19f1ffa9289abf,2.2960607837190103,2.2790227304831174,2.2790227304831174,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,14
mattergen_smoke_100_00093,Li1 Y1 In1 Au1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_93.cif,acf0426cad3157007b88f37cebca3f2e912c6fffce18f677940bae7417d63e9e,2.3183406217231193,2.2260540892289136,2.2260540892289136,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,15
mattergen_smoke_100_00021,Ba4 Te2 S1 Cl1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_28.cif,1993239acb4d0e35d2718257efcfe969ef0a2d4e6f2039bc5338da4aad41b861,2.217341446322257,2.289136296300482,2.217341446322257,"-max(CHGNet_formation_proxy,MACE_formation_proxy)",scored,16
