candidate_id,formula,composition_key,structure_matcher_status,matched_public_source,matched_public_id,pool_duplicate_status,keep_for_followup,evidence_status
mattergen_pilot_5k_3gpu_00000,K2 Al2 Cl8,Al-Cl-K,not_run_smoke_formula_level_only,WBM_Matbench_formula_index,,hash_unique_in_smoke_batch,False,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00001,Ti1 Cd2 Rh1,Cd-Rh-Ti,not_run_smoke_formula_level_only,WBM_Matbench_formula_index,,hash_unique_in_smoke_batch,False,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00002,Rb1 Ag1 Sb2 Au1,Ag-Au-Rb-Sb,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00003,La6 Cd1 N1,Cd-La-N,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00004,Na2 Cu2 S2,Cu-Na-S,not_run_smoke_formula_level_only,WBM_Matbench_formula_index,,hash_unique_in_smoke_batch,False,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00005,Na1 Dy1 In2,Dy-In-Na,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00006,Li1 Ag3 F6,Ag-F-Li,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00007,Cr1 Pd2,Cr-Pd,not_run_smoke_formula_level_only,WBM_Matbench_formula_index,,hash_unique_in_smoke_batch,False,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00008,Rb1 Ba1 La2 Te4,Ba-La-Rb-Te,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00009,Li1 In1 Pb1,In-Li-Pb,not_run_smoke_formula_level_only,WBM_Matbench_formula_index,,hash_unique_in_smoke_batch,False,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00010,La1 Tb2 Tm1 Bi4,Bi-La-Tb-Tm,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00011,Tb2 Ho1,Ho-Tb,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00012,Pr1 Y3,Pr-Y,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00013,Ce1 Pr3 Br10,Br-Ce-Pr,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00014,K1 In1 Ga2 Au1,Au-Ga-In-K,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00015,La1 Ta2 Re1 O10,La-O-Re-Ta,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00016,Y1 Er1 Ga1 Hg1,Er-Ga-Hg-Y,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00017,K4 Mn4 Cl12,Cl-K-Mn,not_run_smoke_formula_level_only,WBM_Matbench_formula_index,,hash_unique_in_smoke_batch,False,smoke_formula_level_public_label_exclusion_only
mattergen_pilot_5k_3gpu_00018,As6 Au2,As-Au,not_run_smoke_formula_level_only,,,hash_unique_in_smoke_batch,True,smoke_formula_level_public_label_exclusion_only
