arm,candidate_id,selected_for_dft,dft_job_id,selection_rank,endpoint_id,selection_rule,score_rank,parc_release_flag,raw_topK_member,reserve_order,evidence_status,primary_or_reserve,frozen_model_score,structure_ref,structure_sha256,formula,score_chgnet,score_mace,score_consensus,e_value,required_e,mass_ratio,block_id,public_label_exclusion_status,structure_match_public,selected_for_release,selection_freeze_timestamp
PARC-release,mattergen_pilot_5k_3gpu_00181,True,a3v4-parc-release-0001,1,v4a_strict_exact_K100,top_from_formal_PARC_release,2,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,7.643260214617967,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_1160.cif,4bc0b3e52c6ef1ca4fa415080bb3ee7afdfd47c32d549c2f34b4e6116d87414a,Ta10 W6,,,7.643260214617967,14.838543096304196,10.0,,Ta-W,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_02201,True,a3v4-parc-release-0002,2,v4a_strict_exact_K100,top_from_formal_PARC_release,3,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,6.93100216984348,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1467.cif,5ad310a463dbd805a42f75b300ebcbf56d466749599439507f43d7177a744f42,Y2 Cr3 Si1,,,6.93100216984348,14.838543096304196,10.0,,Cr-Si-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_04274,True,a3v4-parc-release-0003,3,v4a_strict_exact_K100,top_from_formal_PARC_release,6,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,5.404573917294205,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_345.cif,fb8d15fc259d82451c03a63c2f26e8a00f32123012b083bb10d4471a84d9fe19,Ta4 Si2 B4,,,5.404573917294205,14.838543096304196,10.0,,B-Si-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03869,True,a3v4-parc-release-0004,4,v4a_strict_exact_K100,top_from_formal_PARC_release,7,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,5.2985153987928495,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1474.cif,34a6cd719f349e419ee3f49c5b81b67b53929f3c1061183be18ed05602aefa14,Pr1 Ta2 Ge2,,,5.2985153987928495,14.838543096304196,10.0,,Ge-Pr-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03064,True,a3v4-parc-release-0005,5,v4a_strict_exact_K100,top_from_formal_PARC_release,8,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,5.278845177287984,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_750.cif,de01280be7c63a85607f9874b22bcb75d7a04dc9587ac2a4cfdd92de9245d407,Y4 C1 S1,,,5.278845177287984,14.838543096304196,10.0,,C-S-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_00766,True,a3v4-parc-release-0006,6,v4a_strict_exact_K100,top_from_formal_PARC_release,9,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,5.166278198944482,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard0_gen_176.cif,0d857d7df694d8c4655e5baa8e28e4fcd07643a5e2bc63d4cb842918bd7fd1f5,Ta4 Pt2 O12,,,5.166278198944482,14.838543096304196,10.0,,O-Pt-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_04856,True,a3v4-parc-release-0007,7,v4a_strict_exact_K100,top_from_formal_PARC_release,13,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.90909042805232,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_87.cif,12bff6cd5de7fa38321f0b27dd0124c169b5782f586eba734dc485432d07a2d3,Y8 In2 Co1,,,4.90909042805232,14.838543096304196,10.0,,Co-In-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_03662,True,a3v4-parc-release-0008,8,v4a_strict_exact_K100,top_from_formal_PARC_release,14,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.84450799135614,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_1288.cif,efd2e827dbdb3790cc93dee0ae029e5b144f3a0ccc161e1b9b5cc64ecdbae4eb,Ta1 Nb1 O5,,,4.84450799135614,14.838543096304196,10.0,,Nb-O-Ta,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_04782,True,a3v4-parc-release-0009,9,v4a_strict_exact_K100,top_from_formal_PARC_release,15,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.84073048901211,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard2_gen_802.cif,41206a24a2835eb398110eb8a2c4ea5c4b02b74696e219cef94386806a9cfdec,Y6 Mn1 Si2 O3,,,4.84073048901211,14.838543096304196,10.0,,Mn-O-Si-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
PARC-release,mattergen_pilot_5k_3gpu_01741,True,a3v4-parc-release-0010,10,v4a_strict_exact_K100,top_from_formal_PARC_release,16,True,True,,formal_selection_frozen_before_DFT_outcomes,primary,4.807792602640434,private_mattergen_pilot_5k_3gpu::generated_crystals_cif.zip::shard1_gen_1052.cif,95eae171d99e20e47a3f858487814de471abe65b7fcb6463796bec884e9879d9,Y6 Se8,,,4.807792602640434,14.838543096304196,10.0,,Se-Y,available_source_strict_public_label_free,False,True,2026-05-18T16:23:55.827317+00:00
