candidate_id,formula,structure_ref,structure_sha256,score_model,score_model_version,score_status,energy_per_atom,formation_energy_proxy,predicted_e_above_hull_proxy,score,raw_rank
mattergen_smoke_100_00023,Ta7 Ni1 N8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_3.cif,ab200b74c51526cc413f2191ed0cb96a30b4bf00897ae508485f8c567dc86085,MACE-MP-small,mace_mp_small_smoke,scored,-10.486892700195312,-6.053844562026451,-6.053844562026451,6.053844562026451,1
mattergen_smoke_100_00088,Ba3 Y4 Sc1 O10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_89.cif,9c206f1ea35ce33f9a6f9f85f28c215783dc9e6079b32aeccdde828c22e33311,MACE-MP-small,mace_mp_small_smoke,scored,-8.002856784396702,-4.966112086389526,-4.966112086389526,4.966112086389526,2
mattergen_smoke_100_00003,Li1 Cr2 Ge1 N1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_11.cif,0e522619441b3eee4e4eb97fa13c493dcc23bbe33a12ebfc3bbf1499839e3027,MACE-MP-small,mace_mp_small_smoke,scored,-7.114315032958984,-4.23965937663338,-4.23965937663338,4.23965937663338,3
mattergen_smoke_100_00012,Ho6 S10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_2.cif,ab9a5dbcca20ddf05a492e8916f866c940cdcbe09846c92cfcfdc66374555976,MACE-MP-small,mace_mp_small_smoke,scored,-6.147974967956543,-3.8398861451837147,-3.8398861451837147,3.8398861451837147,4
mattergen_smoke_100_00047,K5 Rb1 Ca2 F10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_51.cif,49629d8c647b0bf0d33a82515c3c3175bdab3fe85c96c5dfe08d0536f8cf3439,MACE-MP-small,mace_mp_small_smoke,scored,-4.687701755099827,-3.291372769156799,-3.291372769156799,3.291372769156799,5
mattergen_smoke_100_00068,Ba3 Y2 Ho2 Te8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_70.cif,4224d208b25985151826a1de6662857ecfd715e20cd2c30bd185600e5c23bea0,MACE-MP-small,mace_mp_small_smoke,scored,-5.026574198404948,-3.222815037447793,-3.222815037447793,3.222815037447793,6
mattergen_smoke_100_00028,Li2 Ca2 Co2 F12,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_34.cif,a9178b64cd8d9b76f4996679c3eb6ffa532f6cec98ed5cd4b5c85723a160e994,MACE-MP-small,mace_mp_small_smoke,scored,-4.9520852830674915,-2.7593627779446437,-2.7593627779446437,2.7593627779446437,7
mattergen_smoke_100_00084,Na2 Mn1 Cr2 Se6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_85.cif,b7d5bb198e97861046867080582195a52372d7857d5d120fba74a2dc91039179,MACE-MP-small,mace_mp_small_smoke,scored,-5.406437613747337,-2.740739567844368,-2.740739567844368,2.740739567844368,8
mattergen_smoke_100_00073,Ba4 Ti1 Cr3 N8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_75.cif,fb535cc754f71aecc8f9459a74847865a8f85d74db3a6641320fabd32d744476,MACE-MP-small,mace_mp_small_smoke,scored,-7.729152679443359,-2.7251651517936555,-2.7251651517936555,2.7251651517936555,9
mattergen_smoke_100_00004,Sr3 La2 Zn3 Pd1 O9,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_12.cif,28305557898f54afc5672af140b385865f12edb54fa8a22ee5b1757c46ba87a2,MACE-MP-small,mace_mp_small_smoke,scored,-5.992332034640842,-2.582254531039285,-2.582254531039285,2.582254531039285,10
mattergen_smoke_100_00056,K2 Li2 F6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_6.cif,970b67d02b966a0af995a467a2984329e0c1fe46ce9d538a631f9ed8733408ce,MACE-MP-small,mace_mp_small_smoke,scored,-4.0331787109375,-2.5245358006075724,-2.5245358006075724,2.5245358006075724,11
mattergen_smoke_100_00036,K2 Li2 Y2 I10,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_41.cif,7855eb432044d19ce8f724d152bca2a913e33edc976d5c8e7367b8f0bfe88148,MACE-MP-small,mace_mp_small_smoke,scored,-3.49948787689209,-2.42740157293537,-2.42740157293537,2.42740157293537,12
mattergen_smoke_100_00048,Ho2 Zr2 C2 N1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_52.cif,374f0b1682f378662ce5902e8c66feaa013af3b65ac08459bbc4156dd3e18dd7,MACE-MP-small,mace_mp_small_smoke,scored,-8.478122166224889,-2.3128526273477323,-2.3128526273477323,2.3128526273477323,13
mattergen_smoke_100_00021,Ba4 Te2 S1 Cl1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_28.cif,1993239acb4d0e35d2718257efcfe969ef0a2d4e6f2039bc5338da4aad41b861,MACE-MP-small,mace_mp_small_smoke,scored,-4.4640350341796875,-2.289136296300482,-2.289136296300482,2.289136296300482,14
mattergen_smoke_100_00061,Ba1 Cu2 Ag1 F6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_64.cif,f2df461617f492dfdc302943e248fa3a117e1bb2346074f31a19f1ffa9289abf,MACE-MP-small,mace_mp_small_smoke,scored,-4.422959518432617,-2.2790227304831174,-2.2790227304831174,2.2790227304831174,15
mattergen_smoke_100_00093,Li1 Y1 In1 Au1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_93.cif,acf0426cad3157007b88f37cebca3f2e912c6fffce18f677940bae7417d63e9e,MACE-MP-small,mace_mp_small_smoke,scored,-4.234959602355957,-2.2260540892289136,-2.2260540892289136,2.2260540892289136,16
mattergen_smoke_100_00067,Nd3 Sb1 S3 O3,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_7.cif,db71fb41e08fa42c33231a16b54b5e15ece35dba1dff2a7a1670cee29fa4331f,MACE-MP-small,mace_mp_small_smoke,scored,-6.778956604003906,-2.185092495352734,-2.185092495352734,2.185092495352734,17
mattergen_smoke_100_00064,Cs3 La2 Dy1 Se6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_67.cif,a09ab9c00a008d8aa221abd8907817163e6bf160f89a44f25d662ef494b3bf2f,MACE-MP-small,mace_mp_small_smoke,scored,-4.949138323465983,-2.0275925085810047,-2.0275925085810047,2.0275925085810047,18
mattergen_smoke_100_00009,Cs3 Ce2 Dy1 Se6,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_17.cif,1e47623039c076f22fc5676e4e3fa6a953d0dce45dbee62401ffd94ef176f2a8,MACE-MP-small,mace_mp_small_smoke,scored,-5.022666613260905,-1.955701888878715,-1.955701888878715,1.955701888878715,19
mattergen_smoke_100_00049,Rb4 Er2 Sc2 Se8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_53.cif,b12d0cabfc1c51a1b5852cd0c9dee245cc522002f83ec2ede2454f1a6d136bf7,MACE-MP-small,mace_mp_small_smoke,scored,-4.93754768371582,-1.8131398548457076,-1.8131398548457076,1.8131398548457076,20
mattergen_smoke_100_00029,Li1 Ho1 Hg1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_35.cif,f2472b7371517d44d788f524a463df0713d5e8fb5fc81c731aed88fb5b38894a,MACE-MP-small,mace_mp_small_smoke,scored,-2.546492576599121,-1.7186375225633004,-1.7186375225633004,1.7186375225633004,21
mattergen_smoke_100_00016,K3 La3 Tm1 Te8,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_23.cif,1b1eba3c391842df415b488c286992cc3269319a40545ba78bebba56ed68bd9c,MACE-MP-small,mace_mp_small_smoke,scored,-4.608863830566406,-1.6765991695455433,-1.6765991695455433,1.6765991695455433,22
mattergen_smoke_100_00035,La1 Er1 Te1 As1,private_mattergen_smoke_100::generated_crystals_cif.zip::gen_40.cif,e29e1d1bf20e67151daf6a20f02acf1b884b025c15161c3574a7fa9c772aaa87,MACE-MP-small,mace_mp_small_smoke,scored,-5.863852500915527,-1.6428538449579237,-1.6428538449579237,1.6428538449579237,23
