K,gate,value,threshold,status,interpretation,evidence_scope
300,parc_v_consensus_nonempty,247,25,PASS,support-gated subset is nonempty,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
300,parc_v_consensus_t1_FTR_le_0p15,0.3076923076923077,0.15,FAIL,primary empirical headline threshold for version-aware support gate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
300,parc_v_consensus_t1_FTR_le_alpha,0.3076923076923077,0.1,FAIL,strict alpha-scale empirical threshold; not a theorem claim,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
300,parc_v_consensus_improves_original_PARC_by_0p05,0.0080971659919028,0.05,FAIL,support gate should materially improve over original PARC,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
300,best_support_tier_t1_FTR_le_0p15,0.31275720164609055,0.15,FAIL,best frozen score tier is PARC-V top-80pct support tier,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
300,full_theorem_grade_PARC_V_claim_allowed,0,1,FAIL,this phase did not rerun a theorem-grade SCS rule after a validated support gate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
500,parc_v_consensus_nonempty,183,25,PASS,support-gated subset is nonempty,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
500,parc_v_consensus_t1_FTR_le_0p15,0.30601092896174864,0.15,FAIL,primary empirical headline threshold for version-aware support gate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
500,parc_v_consensus_t1_FTR_le_alpha,0.30601092896174864,0.1,FAIL,strict alpha-scale empirical threshold; not a theorem claim,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
500,parc_v_consensus_improves_original_PARC_by_0p05,0.004174256223436534,0.05,FAIL,support gate should materially improve over original PARC,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
500,best_support_tier_t1_FTR_le_0p15,0.22727272727272727,0.15,FAIL,best frozen score tier is PARC-V top-10pct support tier,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
500,full_theorem_grade_PARC_V_claim_allowed,0,1,FAIL,this phase did not rerun a theorem-grade SCS rule after a validated support gate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
