method,K,alpha,release_size,t0_FTR,t1_FTR,t1_raw_topK_minus_method,t1_original_PARC_minus_method,stable_to_current_not_stable_rate,CHGNet_MACE_consensus_supported_fraction,MLIP_unsupported_fraction,CHGNet_MACE_disagreement_rate,mean_support_rank_pct,construction_rule,certificate_status,evidence_scope
raw top-K,300,0.1,701,0.28815977175463625,0.4222539229671897,0.0,-0.10646444928297921,0.2296718972895863,0.6576319543509273,0.34236804564907275,0.012838801711840228,0.5007132667617689,requested_budget_ranked_prefix,no_release_certificate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
matched raw top-R,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.0,0.19736842105263158,0.8125,0.1875,0.009868421052631578,0.40690695622794504,same_size_raw_prefix_diagnostic,no_release_certificate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.0,0.19736842105263158,0.8125,0.1875,0.009868421052631578,0.40690695622794504,original_t0_public_label_PARC_release,original_t0_PARC_certificate_only,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V consensus gate,300,0.1,247,0.15384615384615385,0.3076923076923077,0.11456161527488201,0.0080971659919028,0.20647773279352227,1.0,0.0,0.0,0.3142387682142919,original_PARC_release_intersect_frozen_CHGNet_MACE_consensus_support,support_gate_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
raw-only extra-tail,300,0.1,541,0.36229205175600737,0.46950092421441775,-0.047247001247228027,-0.15371145053020724,0.22920517560073936,0.589648798521257,0.41035120147874304,0.014787430683918669,0.5522108632769136,raw_requested_budget_minus_PARC_release_tail,no_release_certificate,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-100pct support tier,300,0.1,304,0.18092105263157895,0.3157894736842105,0.10646444928297921,0.0,0.19736842105263158,0.8125,0.1875,0.009868421052631578,0.40690695622794504,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-80pct support tier,300,0.1,243,0.14814814814814814,0.31275720164609055,0.10949672132109917,0.003032272038119954,0.20987654320987653,1.0,0.0,0.0,0.3086155580211691,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-60pct support tier,300,0.1,182,0.11538461538461539,0.3241758241758242,0.09807809879136553,-0.008386350491613681,0.24725274725274726,1.0,0.0,0.0,0.22239030584251693,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-50pct support tier,300,0.1,152,0.07894736842105263,0.3223684210526316,0.09988550191455814,-0.006578947368421073,0.28289473684210525,1.0,0.0,0.0,0.17575925369772505,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-40pct support tier,300,0.1,122,0.05737704918032787,0.32786885245901637,0.09438507050817335,-0.01207937877480586,0.30327868852459017,1.0,0.0,0.0,0.1322466733705947,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-30pct support tier,300,0.1,91,0.02197802197802198,0.3626373626373626,0.059616560329827095,-0.04684788895315212,0.3516483516483517,1.0,0.0,0.0,0.09847784170180746,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-20pct support tier,300,0.1,61,0.03278688524590164,0.39344262295081966,0.028811300016370056,-0.07765314926660916,0.3770491803278688,1.0,0.0,0.0,0.06980659947148103,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
PARC-V top-10pct support tier,300,0.1,30,0.06666666666666667,0.3333333333333333,0.0889205896338564,-0.017543859649122806,0.3,1.0,0.0,0.0,0.038207322872087494,original_PARC_release_ranked_by_frozen_CHGNet_MACE_support_score,support_tier_feasibility_not_full_SCS_rerun,PARC_V_support_gate_feasibility_audit;uses_frozen_CHGNet_MACE_score_proxies;not_full_SCS_rerun;not_new_theorem_certificate;not_DFT_evidence;not_prospective_discovery
