video_scope,alpha1,checkpoint,released_mean,released_std,utr_mean,conservative_ftr_mean,margin_mean,eligible_candidates_mean
all_test,0.1,10,0.0,0.0,0.0,,,16.0
all_test,0.1,160,129.66666666666666,23.28805129961143,0.0149453131432118,0.01266220812038075,5.058688869644104,144.66666666666666
all_test,0.1,20,57.666666666666664,50.143128475727686,0.007728044313410167,0.01159206647011525,3.3788421345586297,86.33333333333333
all_test,0.1,40,127.0,23.643180835073778,0.012829143011624763,0.010514328196809948,4.787286648639513,142.0
all_test,0.1,80,128.0,22.715633383201094,0.012728521360234916,0.0104137065454201,4.911772495025036,143.0
all_test,0.1,final,135.0,25.98076211353316,0.02190476190476191,0.012063492063492063,5.480572478786656,150.0
all_test,0.2,10,0.0,0.0,0.0,,,16.0
all_test,0.2,160,144.66666666666666,4.163331998932267,0.013961319440771496,0.011678214417940445,9.942242279155158,144.66666666666666
all_test,0.2,20,86.33333333333333,4.163331998932267,0.007679067920031775,0.007679067920031775,6.428997110569853,86.33333333333333
all_test,0.2,40,142.0,4.358898943540674,0.011794660253004075,0.009479845438189258,9.844407960788152,142.0
all_test,0.2,80,143.0,4.58257569495584,0.01172812120017089,0.009413306385356075,9.881088935063415,143.0
all_test,0.2,final,150.0,0.0,0.02,0.011111111111111112,10.12947452118192,150.0
long50_test,0.1,10,0.0,0.0,0.0,,,11.666666666666666
long50_test,0.1,160,0.0,0.0,0.0,,,50.0
long50_test,0.1,20,0.0,0.0,0.0,,,12.333333333333334
long50_test,0.1,40,0.0,0.0,0.0,,,15.0
long50_test,0.1,80,0.0,0.0,0.0,,,27.0
long50_test,0.1,final,0.0,0.0,0.0,,,150.0
long50_test,0.2,10,0.0,0.0,0.0,,,11.666666666666666
long50_test,0.2,160,0.0,0.0,0.0,,,50.0
long50_test,0.2,20,0.0,0.0,0.0,,,12.333333333333334
long50_test,0.2,40,0.0,0.0,0.0,,,15.0
long50_test,0.2,80,0.0,0.0,0.0,,,27.0
long50_test,0.2,final,0.0,0.0,0.0,,,150.0
