dataset,generator,method,alpha1,metric_scope,HOTA_mean,HOTA_std,IDF1_mean,IDF1_std,MOTA_mean,MOTA_std,DetA_mean,DetA_std,AssA_mean,AssA_std
OVT-B,GroundingDINO,PARC,0.1,release_size,0.10126433219806986,0.014733907319099848,0.050825901122567435,0.013985737861125672,0.025821621042289102,0.007121340093413298,0.0259437866875119,0.007564679332236019,0.402023440193537,0.006118049323422486
OVT-B,GroundingDINO,PARC,0.1,standard,0.03732519492922057,0.003936838587389683,0.007021233513011299,0.001463350899339794,0.003481060899516933,0.0007100850555740762,0.003492428125277933,0.0007326548792319483,0.4019554132187944,0.006129285719058021
OVT-B,GroundingDINO,PARC,0.1,supported,0.0985180965942478,0.01933345528342921,0.0486666127903527,0.0175513776564079,0.024707187637689004,0.00895566428739399,0.0248493965643436,0.009357589169884075,0.402023440193537,0.006118049323422486
OVT-B,GroundingDINO,PARC,0.2,release_size,0.10282275024829496,0.012177573461473344,0.0526777033361835,0.01102030706525292,0.026792808593345402,0.0055758626650721345,0.026877125997991334,0.006084965891739557,0.39686061147977075,0.007438528303279986
OVT-B,GroundingDINO,PARC,0.2,standard,0.03923596401360397,0.002774767538334832,0.007833557943327933,0.001075458275380931,0.0038914778804515666,0.0005500938795545392,0.003891755968904767,0.000505047335137476,0.39680526886782097,0.007483363482294295
OVT-B,GroundingDINO,PARC,0.2,supported,0.10282275024829496,0.012177573461473344,0.0526777033361835,0.01102030706525292,0.026792808593345402,0.0055758626650721345,0.026877125997991334,0.006084965891739557,0.39686061147977075,0.007438528303279986
OVT-B,GroundingDINO,confidence_top_k_matched,0.1,release_size,0.10126433219806986,0.014733907319099848,0.050825901122567435,0.013985737861125672,0.025821621042289102,0.007121340093413298,0.0259437866875119,0.007564679332236019,0.402023440193537,0.006118049323422486
OVT-B,GroundingDINO,confidence_top_k_matched,0.2,release_size,0.10282275024829496,0.012177573461473344,0.0526777033361835,0.01102030706525292,0.026792808593345402,0.0055758626650721345,0.026877125997991334,0.006084965891739557,0.39686061147977075,0.007438528303279986
OVT-B,GroundingDINO,confidence_top_m,0.1,standard,0.03923596401360397,0.002774767538334832,0.007833557943327933,0.001075458275380931,0.0038914778804515666,0.0005500938795545392,0.003891755968904767,0.000505047335137476,0.39680526886782097,0.007483363482294295
OVT-B,GroundingDINO,confidence_top_m,0.1,supported,0.10282275024829496,0.012177573461473344,0.0526777033361835,0.01102030706525292,0.026792808593345402,0.0055758626650721345,0.026877125997991334,0.006084965891739557,0.39686061147977075,0.007438528303279986
OVT-B,GroundingDINO,confidence_top_m,0.2,standard,0.03923596401360397,0.002774767538334832,0.007833557943327933,0.001075458275380931,0.0038914778804515666,0.0005500938795545392,0.003891755968904767,0.000505047335137476,0.39680526886782097,0.007483363482294295
OVT-B,GroundingDINO,confidence_top_m,0.2,supported,0.10282275024829496,0.012177573461473344,0.0526777033361835,0.01102030706525292,0.026792808593345402,0.0055758626650721345,0.026877125997991334,0.006084965891739557,0.39686061147977075,0.007438528303279986
TAO,GroundingDINO,PARC,0.1,release_size,,,,,,,,,,
TAO,GroundingDINO,PARC,0.1,standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAO,GroundingDINO,PARC,0.1,supported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAO,GroundingDINO,PARC,0.2,release_size,,,,,,,,,,
TAO,GroundingDINO,PARC,0.2,standard,0.03631374087376993,0.0019112614436065899,0.015787980706310933,0.0016532307153350671,0.0078182694262985,0.0008583045612900412,0.009450764946441334,0.0006081293090783966,0.13971525939900328,0.005636170738297679
TAO,GroundingDINO,PARC,0.2,supported,0.03631374087376993,0.0019112614436065899,0.015787980706310933,0.0016532307153350671,0.0078182694262985,0.0008583045612900412,0.009450764946441334,0.0006081293090783966,0.13971525939900328,0.005636170738297679
TAO,GroundingDINO,confidence_top_m,0.1,standard,0.03645596202825013,0.0020901623130134316,0.015847965739043134,0.0017162598378131753,0.0078415458100795,0.0008854398324139123,0.0095245327296101,0.0007038376685888966,0.1397378136869406,0.005663278409175619
TAO,GroundingDINO,confidence_top_m,0.1,supported,0.03645596202825013,0.0020901623130134316,0.015847965739043134,0.0017162598378131753,0.0078415458100795,0.0008854398324139123,0.0095245327296101,0.0007038376685888966,0.1397378136869406,0.005663278409175619
TAO,GroundingDINO,confidence_top_m,0.2,standard,0.03645596202825013,0.0020901623130134316,0.015847965739043134,0.0017162598378131753,0.0078415458100795,0.0008854398324139123,0.0095245327296101,0.0007038376685888966,0.1397378136869406,0.005663278409175619
TAO,GroundingDINO,confidence_top_m,0.2,supported,0.03645596202825013,0.0020901623130134316,0.015847965739043134,0.0017162598378131753,0.0078415458100795,0.0008854398324139123,0.0095245327296101,0.0007038376685888966,0.1397378136869406,0.005663278409175619
