case_type,dataset,video_id,path_id,query,score,label,verified_positive_for_calibration,rationale,visual_asset_ref,visual_asset_status,paper_use
official_matched_positive,OVT-B,800,ovtb_v800_p007871,woodpecker,0.9352359622716904,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v800_p007871.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,342,ovtb_v342_p004580,sunglasses,0.9201071858406068,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004580.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,179,ovtb_v179_p003418,person,0.9143435582518578,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v179_p003418.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,342,ovtb_v342_p004579,sunglasses,0.9125274845532008,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v342_p004579.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,678,ovtb_v678_p006989,person,0.9092995268957956,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v678_p006989.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,827,ovtb_v827_p008082,coffee maker,0.9070333689451218,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v827_p008082.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,541,ovtb_v541_p005916,person,0.9061993435025216,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v541_p005916.jpg,public_manifest_reference,qualitative_candidate_pool
official_matched_positive,OVT-B,682,ovtb_v682_p007020,person,0.9047021120786668,official_matched,,normal officially supported reference,<PARC_ROOT>/outputs/phase2_1000/release_audit_parc_track_gamma_tuned_uniform_scs_M150_viewer/montages/ovtb_v682_p007020.jpg,public_manifest_reference,qualitative_candidate_pool
real_official_unmatched,OVT-B,40,ovtb_v40_p002441,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,651,ovtb_v651_p006756,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,40,ovtb_v40_p002410,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,62,ovtb_v62_p002745,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,40,ovtb_v40_p002422,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,913,ovtb_v913_p008705,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,40,ovtb_v40_p002403,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
real_official_unmatched,OVT-B,40,ovtb_v40_p002428,,,actually_true,no,real object that official matching would treat as unsupported,,missing_visual_asset,qualitative_candidate_pool
uncertain,OVT-B,682,ovtb_v682_p007019,,,uncertain,no,kept conservative and never used as verified positive,,missing_visual_asset,qualitative_candidate_pool
