dataset,task,paper_scope,alpha1,seed,candidate_budget_M,mask_iou_threshold,mask_rows,mask_paths,candidate_graph_paths,conflict_edges,conflicted_paths,tau_k,self_consistency_margin,best_unconstrained_k,best_mass_ratio,empty_reason,status,released,official_supported,unsupported,utr,conservative_ftr,recall_proxy
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,0,150,0.3,53828,12462,600,16,32,10.0,24.747716395606354,150,3.474771639560635,,completed,150,147,3,0.02,0.02,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,0,150,0.5,53828,12462,600,9,18,10.0,24.747716395606354,150,3.474771639560635,,completed,150,147,3,0.02,0.02,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,0,150,0.7,53828,12462,600,6,12,10.0,24.747716395606354,150,3.474771639560635,,completed,150,147,3,0.02,0.02,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,1,150,0.3,53828,12462,600,17,32,10.0,3.5638142074248833,150,1.3563814207424882,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,1,150,0.5,53828,12462,600,6,12,10.0,3.5638142074248833,150,1.3563814207424882,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,1,150,0.7,53828,12462,600,2,4,10.0,3.5638142074248833,150,1.3563814207424882,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,2,150,0.3,53828,12462,600,21,41,10.0,3.6754203382642086,150,1.3675420338264208,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,2,150,0.5,53828,12462,600,11,22,10.0,3.6754203382642086,150,1.3675420338264208,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.1,2,150,0.7,53828,12462,600,4,8,10.0,3.6754203382642086,150,1.3675420338264208,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,0,150,0.3,53828,12462,600,16,32,5.0,29.747716395606354,150,6.94954327912127,,completed,150,147,3,0.02,0.02,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,0,150,0.5,53828,12462,600,9,18,5.0,29.747716395606354,150,6.94954327912127,,completed,150,147,3,0.02,0.02,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,0,150,0.7,53828,12462,600,6,12,5.0,29.747716395606354,150,6.94954327912127,,completed,150,147,3,0.02,0.02,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,1,150,0.3,53828,12462,600,17,32,5.0,8.563814207424883,150,2.7127628414849765,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,1,150,0.5,53828,12462,600,6,12,5.0,8.563814207424883,150,2.7127628414849765,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,1,150,0.7,53828,12462,600,2,4,5.0,8.563814207424883,150,2.7127628414849765,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,2,150,0.3,53828,12462,600,21,41,5.0,8.675420338264209,150,2.7350840676528416,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,2,150,0.5,53828,12462,600,11,22,5.0,8.675420338264209,150,2.7350840676528416,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
LVVIS,LVVIS_SAM_mask_path_certification,SAM_box_prompt_mask_benchmark_without_official_mask_gt,0.2,2,150,0.7,53828,12462,600,4,8,5.0,8.675420338264209,150,2.7350840676528416,,completed,150,149,1,0.006666666666666667,0.006666666666666667,1.0
