dataset,task,mask_type,alpha1,seed,M,released,UTR,conservative_FTR,mass_ratio,emax,conflict_count_top150_mask_iou_ge_0p5,empty_reason,result_status,paper_scope,mask_iou_threshold,conflict_count_top150_mask_iou_ge_threshold
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.1,0,150,150.0,0.04,0.04,1.398232229130564,24.917887765177458,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.5,246
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.1,1,150,150.0,0.04,0.04,1.3898344569291232,24.76470919866719,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.5,246
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.1,2,150,0.0,0.0,0.0,0.0167819013445068,25.172852016760327,246,no_k_satisfies_uniform_self_consistency,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.5,246
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.2,0,150,150.0,0.04,0.04,2.796464458261128,24.917887765177458,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.5,246
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.2,1,150,150.0,0.04,0.04,2.7796689138582464,24.76470919866719,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.5,246
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.2,2,150,150.0,0.0466666666666666,0.0466666666666666,1.5845114960100246,25.172852016760327,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.5,246
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.1,0,150,150.0,0.04,0.04,1.398232229130564,24.917887765177458,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.3,668
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.1,1,150,150.0,0.04,0.04,1.3898344569291232,24.76470919866719,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.3,668
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.1,2,150,0.0,0.0,0.0,0.0167819013445068,25.172852016760327,246,no_k_satisfies_uniform_self_consistency,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.3,668
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.2,0,150,150.0,0.04,0.04,2.796464458261128,24.917887765177458,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.3,668
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.2,1,150,150.0,0.04,0.04,2.7796689138582464,24.76470919866719,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.3,668
BURST,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,0.2,2,150,150.0,0.0466666666666666,0.0466666666666666,1.5845114960100246,25.172852016760327,246,,box_to_mask_proof_of_principle_existing_certificate,box_to_mask_proof_of_principle_not_full_mask_benchmark,0.3,668
