dataset,task,detector,alpha1,seed,stratification_dimension,stratum,candidate_count,official_supported_count,official_support_rate,official_unmatched_rate,human_valid_count,human_valid_rate,certification_scope_count,released_proxy_count,refused_proxy_count,PARC_certified_release_rate,PARC_release_rate_within_scope,PARC_refusal_rate,audited_count,attribute_available,release_assignment,result_status
OVT-B,tracking,,0.1,0,object_size,large,3115,2506,0.8044943820224719,0.19550561797752808,154,0.9005847953216374,91,78,13,0.02504012841091493,0.8571428571428571,0.14285714285714285,171,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,object_size,medium,3115,2362,0.7582664526484751,0.24173354735152489,191,0.9455445544554455,40,32,8,0.010272873194221509,0.8,0.2,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,object_size,small,3116,1977,0.6344672657252889,0.36553273427471117,310,0.9480122324159022,19,16,3,0.005134788189987163,0.8421052631578947,0.15789473684210525,327,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,occlusion_level,attribute_unavailable,9346,6845,0.7323988872244811,0.26760111277551896,655,0.9357142857142857,150,126,24,0.013481703402525145,0.84,0.16,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
OVT-B,tracking,,0.1,0,motion_speed,fast,3115,2698,0.866131621187801,0.13386837881219904,114,0.9421487603305785,85,71,14,0.022792937399678973,0.8352941176470589,0.16470588235294117,121,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,motion_speed,medium,3115,2246,0.7210272873194221,0.27897271268057783,184,0.9108910891089109,46,41,5,0.013162118780096307,0.8913043478260869,0.10869565217391304,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,motion_speed,slow,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,14,5,0.004492939666238768,0.7368421052631579,0.2631578947368421,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,track_length,long,3115,2592,0.8321027287319422,0.16789727126805779,165,0.9269662921348315,109,100,9,0.03210272873194221,0.9174311926605505,0.08256880733944955,178,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,track_length,medium,3115,2352,0.755056179775281,0.2449438202247191,133,0.9172413793103448,22,12,10,0.0038523274478330658,0.5454545454545454,0.45454545454545453,145,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,track_length,short,3116,1901,0.6100770218228498,0.3899229781771502,357,0.946949602122016,19,14,5,0.004492939666238768,0.7368421052631579,0.2631578947368421,377,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,category_frequency,head,3115,2338,0.750561797752809,0.24943820224719102,221,0.9608695652173913,96,82,14,0.026324237560192615,0.8541666666666666,0.14583333333333334,230,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,category_frequency,mid,3115,2308,0.7409309791332264,0.2590690208667737,219,0.9399141630901288,21,17,4,0.005457463884430177,0.8095238095238095,0.19047619047619047,233,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,0,category_frequency,tail,3116,2199,0.7057124518613607,0.2942875481386393,215,0.9071729957805907,33,27,6,0.008664955070603338,0.8181818181818182,0.18181818181818182,237,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,object_size,large,3115,2506,0.8044943820224719,0.19550561797752808,154,0.9005847953216374,91,0,91,0.0,0.0,1.0,171,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,object_size,medium,3115,2362,0.7582664526484751,0.24173354735152489,191,0.9455445544554455,40,0,40,0.0,0.0,1.0,202,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,object_size,small,3116,1977,0.6344672657252889,0.36553273427471117,310,0.9480122324159022,19,0,19,0.0,0.0,1.0,327,True,rank_proxy_from_certified_release_count,computed
OVT-B,tracking,,0.1,1,occlusion_level,attribute_unavailable,9346,6845,0.7323988872244811,0.26760111277551896,655,0.9357142857142857,150,0,150,0.0,0.0,1.0,700,False,rank_proxy_from_certified_release_count,attribute_unavailable
OVT-B,tracking,,0.1,1,motion_speed,fast,3115,2698,0.866131621187801,0.13386837881219904,114,0.9421487603305785,85,0,85,0.0,0.0,1.0,121,True,rank_proxy_from_certified_release_count,computed
