dataset,task,detector,alpha1,seed,stratification_dimension,stratum,candidate_count,official_supported_count,official_support_rate,official_unmatched_rate,human_valid_count,human_valid_rate,certification_scope_count,released_proxy_count,refused_proxy_count,PARC_certified_release_rate,PARC_release_rate_within_scope,PARC_refusal_rate,audited_count,attribute_available,release_assignment,result_status
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,large,29289,23483,0.8017685820615248,0.1982314179384752,0,,144,144,0,0.0049165215609955955,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,medium,34968,27705,0.7922958133150309,0.20770418668496912,0,,6,6,0,0.00017158544955387783,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,0,object_area,small,26510,19983,0.7537910222557526,0.24620897774424746,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,common,2865,2075,0.7242582897033158,0.2757417102966841,0,,2,2,0,0.0006980802792321117,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,frequent,87706,68960,0.7862631975007411,0.2137368024992589,0,,148,148,0,0.0016874558183020546,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,0,category_frequency,rare,196,136,0.6938775510204082,0.30612244897959184,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,large,29289,23483,0.8017685820615248,0.1982314179384752,0,,144,144,0,0.0049165215609955955,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,medium,34968,27705,0.7922958133150309,0.20770418668496912,0,,6,6,0,0.00017158544955387783,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,1,object_area,small,26510,19983,0.7537910222557526,0.24620897774424746,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,common,2865,2075,0.7242582897033158,0.2757417102966841,0,,2,2,0,0.0006980802792321117,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,frequent,87706,68960,0.7862631975007411,0.2137368024992589,0,,148,148,0,0.0016874558183020546,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,1,category_frequency,rare,196,136,0.6938775510204082,0.30612244897959184,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,large,29289,23483,0.8017685820615248,0.1982314179384752,0,,144,144,0,0.0049165215609955955,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,medium,34968,27705,0.7922958133150309,0.20770418668496912,0,,6,6,0,0.00017158544955387783,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,2,object_area,small,26510,19983,0.7537910222557526,0.24620897774424746,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,common,2865,2075,0.7242582897033158,0.2757417102966841,0,,2,2,0,0.0006980802792321117,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,frequent,87706,68960,0.7862631975007411,0.2137368024992589,0,,148,148,0,0.0016874558183020546,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.1,2,category_frequency,rare,196,136,0.6938775510204082,0.30612244897959184,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,large,29289,23483,0.8017685820615248,0.1982314179384752,0,,144,144,0,0.0049165215609955955,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,medium,34968,27705,0.7922958133150309,0.20770418668496912,0,,6,6,0,0.00017158544955387783,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.2,0,object_area,small,26510,19983,0.7537910222557526,0.24620897774424746,0,,0,0,0,0.0,,,0,True,rank_proxy_from_certified_release_count,computed
LVIS,single_frame_detection,GroundingDINO,0.2,0,category_frequency,common,2865,2075,0.7242582897033158,0.2757417102966841,0,,2,2,0,0.0006980802792321117,1.0,0.0,0,True,rank_proxy_from_certified_release_count,computed
