observed_positive_strategy,alpha,rho,M,seeds,nonempty_seeds,released_mean,released_std,actual_FTR_mean,actual_FTR_max,raw_topM_actual_FTR,partial_UTR_mean,best_mass_ratio_mean
top_score,0.2,0.1,100,20,0,0.0,0.0,0.0,0.0,0.6575,0.0,0.07272717964559149
top_score,0.2,0.1,300,20,0,0.0,0.0,0.0,0.0,0.6809999999999999,0.0,0.055048051040823574
top_score,0.2,0.1,500,20,0,0.0,0.0,0.0,0.0,0.678,0.0,0.052430108982327805
top_score,0.2,0.1,5000,20,0,0.0,0.0,0.0,0.0,0.67567,0.0,0.04943115652771658
top_score,0.2,0.25,100,20,0,0.0,0.0,0.0,0.0,0.6575,0.0,0.07272717964559149
top_score,0.2,0.25,300,20,0,0.0,0.0,0.0,0.0,0.6809999999999999,0.0,0.055048051040823574
top_score,0.2,0.25,500,20,0,0.0,0.0,0.0,0.0,0.678,0.0,0.052430108982327805
top_score,0.2,0.25,5000,20,0,0.0,0.0,0.0,0.0,0.67567,0.0,0.04943115652771658
top_score,0.2,0.5,100,20,0,0.0,0.0,0.0,0.0,0.6575,0.0,0.07272717964559149
top_score,0.2,0.5,300,20,0,0.0,0.0,0.0,0.0,0.6809999999999999,0.0,0.055048051040823574
top_score,0.2,0.5,500,20,0,0.0,0.0,0.0,0.0,0.678,0.0,0.052430108982327805
top_score,0.2,0.5,5000,20,0,0.0,0.0,0.0,0.0,0.67567,0.0,0.04943115652771658
top_score,0.2,1.0,100,20,0,0.0,0.0,0.0,0.0,0.6575,0.0,0.07272717964559149
top_score,0.2,1.0,300,20,0,0.0,0.0,0.0,0.0,0.6809999999999999,0.0,0.055048051040823574
top_score,0.2,1.0,500,20,0,0.0,0.0,0.0,0.0,0.678,0.0,0.052430108982327805
top_score,0.2,1.0,5000,20,0,0.0,0.0,0.0,0.0,0.67567,0.0,0.04943115652771658
