aoi,months,candidate_links,gt_supported_links,support_rate
L15-0331E-1257N_1327_3160_13,25,145065,48293,0.3329059387171268
L15-0357E-1223N_1429_3296_13,25,345552,115145,0.3332204704357087
L15-0358E-1220N_1433_3310_13,24,303079,100666,0.3321444243910004
L15-0361E-1300N_1446_2989_13,24,290566,96162,0.3309471858372969
L15-0368E-1245N_1474_3210_13,24,683688,227883,0.3333143188120897
L15-0387E-1276N_1549_3087_13,22,106182,35016,0.3297734079222467
L15-0434E-1218N_1736_3318_13,25,2799,868,0.3101107538406574
L15-0457E-1135N_1831_3648_13,24,657235,217504,0.3309379445708156
L15-0487E-1246N_1950_3207_13,25,53015,17469,0.32951051589172875
L15-0506E-1204N_2027_3374_13,24,163644,54029,0.3301618146708709
L15-0544E-1228N_2176_3279_13,24,733196,243803,0.33252090846103904
L15-0566E-1185N_2265_3451_13,21,13551,4449,0.32831525348682755
L15-0571E-1075N_2287_3888_13,20,754276,196891,0.2610330966383658
L15-0577E-1243N_2309_3217_13,21,275955,91967,0.3332681053070247
L15-0586E-1127N_2345_3680_13,25,506476,168346,0.33238692455318714
L15-0595E-1278N_2383_3079_13,25,181836,60605,0.33329483710596364
L15-0614E-0946N_2459_4406_13,21,941998,310462,0.3295781944335338
L15-0632E-0892N_2528_4620_13,25,183675,61211,0.333257111746291
