observed_positive_strategy,alpha,rho,M,seeds,nonempty_seeds,released_mean,released_std,actual_FTR_mean,actual_FTR_max,raw_topM_actual_FTR,partial_UTR_mean,best_mass_ratio_mean
top_score,0.2,0.1,100,20,17,81.75,34.767621431441064,0.003,0.01,0.003,0.003,1.1231657232910086
top_score,0.2,0.1,300,20,11,165.0,149.248115565993,0.0023333333333333335,0.006666666666666667,0.0023333333333333335,0.0023333333333333335,0.9878443241866088
top_score,0.2,0.1,500,20,10,240.35,241.1019027299453,0.0013640808117467375,0.004761904761904762,0.0018000000000000002,0.0013640808117467375,0.9416508032074378
top_score,0.2,0.1,5000,20,0,0.0,0.0,0.0,0.0,0.00184,0.0,0.2625093280620891
top_score,0.2,0.25,100,20,17,81.75,34.767621431441064,0.003,0.01,0.003,0.003,1.1231657232910086
top_score,0.2,0.25,300,20,11,165.0,149.248115565993,0.0023333333333333335,0.006666666666666667,0.0023333333333333335,0.0023333333333333335,0.9878443241866088
top_score,0.2,0.25,500,20,10,240.35,241.1019027299453,0.0013640808117467375,0.004761904761904762,0.0018000000000000002,0.0013640808117467375,0.9416508032074378
top_score,0.2,0.25,5000,20,0,0.0,0.0,0.0,0.0,0.00184,0.0,0.2625093280620891
top_score,0.2,0.5,100,20,17,81.75,34.767621431441064,0.003,0.01,0.003,0.003,1.1231657232910086
top_score,0.2,0.5,300,20,11,165.0,149.248115565993,0.0023333333333333335,0.006666666666666667,0.0023333333333333335,0.0023333333333333335,0.9878443241866088
top_score,0.2,0.5,500,20,10,240.35,241.1019027299453,0.0013640808117467375,0.004761904761904762,0.0018000000000000002,0.0013640808117467375,0.9416508032074378
top_score,0.2,0.5,5000,20,0,0.0,0.0,0.0,0.0,0.00184,0.0,0.2625093280620891
top_score,0.2,1.0,100,20,17,81.75,34.767621431441064,0.003,0.01,0.003,0.003,1.1231657232910086
top_score,0.2,1.0,300,20,11,165.0,149.248115565993,0.0023333333333333335,0.006666666666666667,0.0023333333333333335,0.0023333333333333335,0.9878443241866088
top_score,0.2,1.0,500,20,10,240.35,241.1019027299453,0.0013640808117467375,0.004761904761904762,0.0018000000000000002,0.0013640808117467375,0.9416508032074378
top_score,0.2,1.0,5000,20,0,0.0,0.0,0.0,0.0,0.00184,0.0,0.2625093280620891
