domain,dataset,unit,target_row,proposal_source,block_definition,rho,alpha,K,seed,contamination_mode,epsilon_false_verified_positive,observed_true_positives_in_calibration,false_candidates_injected_as_verified_positive,realized_verified_positive_contamination_rate,removed_from_calibration_null,released,actual_FTR,violates_alpha,raw_topK_actual_FTR,best_mass_ratio,self_consistency_margin,tau_k,max_observed_e,required_e,emax_effective,block_coverage,n_cal_blocks,n_nonempty_null_cal_blocks,empty_reason,evidence_status
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,random,0.0,1367,0,0.0,1367,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,formal_assumption_intact_reference
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,adversarial,0.0,1367,0,0.0,1367,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,formal_assumption_intact_reference
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,random,0.005,1367,7,0.005094614264919942,1374,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,adversarial,0.005,1367,7,0.005094614264919942,1374,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,random,0.01,1367,14,0.010137581462708182,1381,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,adversarial,0.01,1367,14,0.010137581462708182,1381,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,random,0.02,1367,27,0.019368723098995694,1394,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,adversarial,0.02,1367,27,0.019368723098995694,1394,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,random,0.05,1367,68,0.047386759581881537,1435,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,0,adversarial,0.05,1367,68,0.047386759581881537,1435,100,0.0,False,0.0,1.3321283238137231,3.321283238137232,10.0,13.321283238137232,10.0,13.321283238137232,1.0,189,189,,assumption_violation_sensitivity_not_formal_guarantee
