domain,dataset,unit,target_row,proposal_source,block_definition,rho,alpha,K,contamination_mode,epsilon_false_verified_positive,seeds,non_empty_seeds,release_rate,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,violation_rate,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,observed_true_positives_in_calibration_mean,false_candidates_injected_as_verified_positive_mean,realized_verified_positive_contamination_rate_mean,dominant_empty_reason,evidence_status,paper_role
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,adversarial,0.0,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,0.0,0.0,,formal_assumption_intact_reference,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,adversarial,0.005,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,7.4,0.005036993354989668,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,adversarial,0.01,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,14.7,0.009941131786529084,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,adversarial,0.02,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,29.15,0.01952857141876922,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,adversarial,0.05,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,73.15,0.04760875591709236,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,adversarial,0.1,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,146.4,0.0909427456161056,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,random,0.0,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,0.0,0.0,,formal_assumption_intact_reference,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,random,0.005,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,7.4,0.005036993354989668,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,random,0.01,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,14.7,0.009941131786529084,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
biomedical_cell_tracking,Cell Tracking Challenge learned-hybrid held-out sequence,cell_link,ctc_learned_strict_alpha010_K100,ctc_learned_hybrid_appearance_sequence_disjoint,video_id,0.1,0.1,100,random,0.02,20,20,1.0,100.0,100,100,0.0,0.0,0.0,0.0,1.3321283238137231,13.321283238137232,10.0,1.0,1463.4,29.15,0.01952857141876922,,assumption_violation_sensitivity_not_formal_guarantee,verification_assumption_boundary_diagnostic
