audit_item_id,ctc_dataset,sequence_id,frame_start,frame_end,source_image_path,source_frame_index,source_bbox_x,source_bbox_y,source_bbox_w,source_bbox_h,target_image_path,target_frame_index,target_bbox_x,target_bbox_y,target_bbox_w,target_bbox_h,ai_label,ai_confidence,ai_support_score,ai_reason,human_label,human_confidence,human_notes,human_accepts_ai_label
CTC-PHASE81-0001,PhC-C2DH-U373,2,53,54,PhC-C2DH-U373/02/t053,53,633,284,5,5,PhC-C2DH-U373/02/t054,54,633,284,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0002,Fluo-N2DL-HeLa,2,61,62,Fluo-N2DL-HeLa/02/t061,61,775,72,5,5,Fluo-N2DL-HeLa/02/t062,62,775,72,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0003,PhC-C2DH-U373,2,109,110,PhC-C2DH-U373/02/t109,109,401,426,3,3,PhC-C2DH-U373/02/t110,110,398,426,3,3,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0004,Fluo-N2DL-HeLa,2,24,25,Fluo-N2DL-HeLa/02/t024,24,699,644,5,5,Fluo-N2DL-HeLa/02/t025,25,699,644,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0005,Fluo-N2DL-HeLa,2,15,16,Fluo-N2DL-HeLa/02/t015,15,759,380,5,5,Fluo-N2DL-HeLa/02/t016,16,759,380,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0006,Fluo-N2DL-HeLa,2,67,68,Fluo-N2DL-HeLa/02/t067,67,702,517,5,5,Fluo-N2DL-HeLa/02/t068,68,702,517,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0007,Fluo-N2DL-HeLa,2,9,10,Fluo-N2DL-HeLa/02/t009,9,580,386,5,5,Fluo-N2DL-HeLa/02/t010,10,580,386,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0008,Fluo-N2DL-HeLa,2,44,45,Fluo-N2DL-HeLa/02/t044,44,929,659,5,5,Fluo-N2DL-HeLa/02/t045,45,929,659,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0009,Fluo-N2DL-HeLa,2,34,35,Fluo-N2DL-HeLa/02/t034,34,620,173,5,5,Fluo-N2DL-HeLa/02/t035,35,620,173,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0010,PhC-C2DH-U373,2,16,17,PhC-C2DH-U373/02/t016,16,548,97,9,9,PhC-C2DH-U373/02/t017,17,548,97,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0011,DIC-C2DH-HeLa,2,69,70,DIC-C2DH-HeLa/02/t069,69,91,275,19,19,DIC-C2DH-HeLa/02/t070,70,91,275,19,19,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0012,PhC-C2DH-U373,2,24,25,PhC-C2DH-U373/02/t024,24,78,244,9,9,PhC-C2DH-U373/02/t025,25,83,244,9,9,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0013,PhC-C2DH-U373,2,54,55,PhC-C2DH-U373/02/t054,54,56,434,5,5,PhC-C2DH-U373/02/t055,55,56,437,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0014,Fluo-N2DL-HeLa,2,26,27,Fluo-N2DL-HeLa/02/t026,26,404,388,5,5,Fluo-N2DL-HeLa/02/t027,27,404,388,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0015,Fluo-N2DL-HeLa,2,43,44,Fluo-N2DL-HeLa/02/t043,43,772,77,5,5,Fluo-N2DL-HeLa/02/t044,44,772,77,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0016,PhC-C2DH-U373,2,75,76,PhC-C2DH-U373/02/t075,75,482,453,3,3,PhC-C2DH-U373/02/t076,76,482,453,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0017,Fluo-N2DL-HeLa,2,48,49,Fluo-N2DL-HeLa/02/t048,48,803,653,5,5,Fluo-N2DL-HeLa/02/t049,49,803,653,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0018,Fluo-N2DL-HeLa,2,19,20,Fluo-N2DL-HeLa/02/t019,19,761,59,5,5,Fluo-N2DL-HeLa/02/t020,20,761,59,5,5,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0019,PhC-C2DH-U373,2,93,94,PhC-C2DH-U373/02/t093,93,456,422,3,3,PhC-C2DH-U373/02/t094,94,455,422,3,3,same_cell_supported,high,0.95,near-zero adjacent-frame displacement with similar bbox size,,,,
CTC-PHASE81-0020,PhC-C2DH-U373,2,87,88,PhC-C2DH-U373/02/t087,87,586,180,9,9,PhC-C2DH-U373/02/t088,88,582,172,9,9,same_cell_supported,medium,0.78,adjacent-frame displacement is within about one cell diameter,,,,
CTC-PHASE81-0021,PhC-C2DH-U373,2,80,81,PhC-C2DH-U373/02/t080,80,579,191,9,9,PhC-C2DH-U373/02/t081,81,638,264,3,3,unsupported,medium,0.2,large normalized displacement or substantial bbox-size change,,,,
