proposal_source,block_definition,rho,alpha,K,gamma,seeds,non_empty_seeds,mean_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,block_coverage_mean,conclusion
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.05,20,20,91.65,0.06381259237838185,0.14,0.043387233709273186,0.08355442612942612,0.08549999999999999,8.767579564455918,121.85748065186117,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.1,20,20,100.0,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,11.631960615699871,161.66843335894995,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.15,20,20,100.0,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,11.57410436565082,160.8642462581529,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.2,20,20,100.0,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,10.236920797456932,142.27916405920988,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.25,20,20,100.0,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,8.488336132345164,117.97618769161151,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.3,20,20,100.0,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,6.75689279161715,93.91147135271113,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.4,20,20,93.8,0.06879822954822955,0.21,0.04481162240537241,0.0936799603174603,0.08549999999999999,3.9643518472759625,55.098967918653344,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,0.5,20,20,85.5,0.04510440686689186,0.14,0.02625382003395586,0.0644705478413776,0.08549999999999999,2.180562978748909,30.30676357443848,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,0.05,20,20,93.05,0.0501533952610899,0.12222222222222222,0.033837025685075905,0.06710630499092585,0.25316666666666665,2.9286178201012603,121.85748065186117,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,0.1,20,20,106.2,0.07326292053176939,0.12222222222222222,0.05552295581872768,0.08964563303170886,0.25316666666666665,3.8854016468513066,161.66843335894995,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,0.15,20,20,126.75,0.09776554483516706,0.17889908256880735,0.07384398486495683,0.11981159062348759,0.25316666666666665,3.8660761401662924,160.8642462581529,0.9964731416169288,release_low_FTR
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,0.2,20,20,133.95,0.10543600216319522,0.224,0.07944756718635966,0.13084708397308478,0.25316666666666665,3.4194193418104897,142.27916405920988,0.9964731416169288,refusal_or_low_power
alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,0.25,20,20,120.9,0.08682690138372325,0.17535545023696683,0.062254439187652076,0.10983099577544868,0.25316666666666665,2.8353429828222696,117.97618769161151,0.9964731416169288,release_low_FTR
