proposal_source,K,raw_topK_actual_FTR,raw_topK_stable_count
cgcnn_ensemble_learned_materials_model,50,0.0,50
cgcnn_ensemble_learned_materials_model,100,0.0,100
cgcnn_ensemble_learned_materials_model,300,0.10666666666666667,268
cgcnn_ensemble_learned_materials_model,500,0.234,383
cgcnn_ensemble_learned_materials_model,1000,0.346,654
cgcnn_ensemble_learned_materials_model,5000,0.414,2930
megnet_weak_learned_materials_model,50,0.0,50
megnet_weak_learned_materials_model,100,0.0,100
megnet_weak_learned_materials_model,300,0.08666666666666667,274
megnet_weak_learned_materials_model,500,0.18,410
megnet_weak_learned_materials_model,1000,0.23,770
megnet_weak_learned_materials_model,5000,0.4654,2673
random_score_control_same_candidates,50,0.86,7
random_score_control_same_candidates,100,0.89,11
random_score_control_same_candidates,300,0.8833333333333333,35
random_score_control_same_candidates,500,0.856,72
random_score_control_same_candidates,1000,0.849,151
random_score_control_same_candidates,5000,0.8424,788
