proposal_source,block_definition,rho,observed_positive_strategy,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,dominant_empty_reason,paper_status
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,8.143927725853949,164.68978404622916,20.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,100,20,20,99.3,88,100,0.028490723562152133,0.08163265306122448,0.015579591836734696,0.04198144712430427,0.03,6.7273470651642215,164.68978404622916,20.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,300,20,20,111.7,40,174,0.026313853825642657,0.0873015873015873,0.015480316576454906,0.03768762658726421,0.23499999999999996,2.3755677881720554,164.68978404622916,20.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,500,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.32589999999999997,1.4253406729032332,164.68978404622916,20.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,1000,20,2,12.75,0,131,0.0023547155872937703,0.024193548387096774,0.0,0.005919108593942379,0.4096,0.7126703364516166,164.68978404622916,20.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.1425340672903233,164.68978404622916,20.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,16.287855451707898,164.68978404622916,10.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,100,20,20,100.0,100,100,0.03,0.1,0.016000000000000004,0.044500000000000005,0.03,13.454694130328443,164.68978404622916,10.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,300,20,20,163.8,43,300,0.09155623868979505,0.21739130434782608,0.06634394300263967,0.11848957345034405,0.23499999999999996,4.751135576344111,164.68978404622916,10.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,500,20,20,118.8,40,184,0.03189720598428158,0.09302325581395349,0.019587556366988758,0.04521918504659058,0.32589999999999997,2.8506813458064664,164.68978404622916,10.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,1000,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.4096,1.4253406729032332,164.68978404622916,10.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.2850681345806466,164.68978404622916,10.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,32.575710903415796,164.68978404622916,5.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,100,20,20,100.0,100,100,0.03,0.1,0.016000000000000004,0.044500000000000005,0.03,26.909388260656886,164.68978404622916,5.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,300,20,20,287.9,150,300,0.22558980504953657,0.35,0.20219020453819112,0.2513993288590604,0.23499999999999996,9.502271152688222,164.68978404622916,5.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,500,20,20,198.7,46,423,0.1345361990925361,0.32926829268292684,0.1004315327585108,0.170460640459659,0.32589999999999997,5.701362691612933,164.68978404622916,5.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,1000,20,20,118.8,40,184,0.03189720598428158,0.09302325581395349,0.019587556366988758,0.04521918504659058,0.4096,2.8506813458064664,164.68978404622916,5.0,0.9967715680954964,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.5701362691612932,164.68978404622916,5.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,8.136713773995819,164.5441668977051,20.0,0.9957677699403146,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,100,20,20,99.3,88,100,0.028490723562152133,0.08163265306122448,0.015579591836734696,0.04198144712430427,0.03,6.721537113781496,164.5441668977051,20.0,0.9957677699403146,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,300,20,20,111.5,40,174,0.026313853825642657,0.0873015873015873,0.015480316576454906,0.03768762658726421,0.23499999999999996,2.373523892054577,164.5441668977051,20.0,0.9957677699403146,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,500,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.32589999999999997,1.4241143352327463,164.5441668977051,20.0,0.9957677699403146,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,1000,20,2,12.75,0,131,0.0023547155872937703,0.024193548387096774,0.0,0.005919108593942379,0.4096,0.7120571676163732,164.5441668977051,20.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.14241143352327465,164.5441668977051,20.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,16.273427547991638,164.5441668977051,10.0,0.9957677699403146,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,100,20,20,100.0,100,100,0.03,0.1,0.016000000000000004,0.044500000000000005,0.03,13.443074227562992,164.5441668977051,10.0,0.9957677699403146,,strict_alpha010_materials_flagship_pass
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,300,20,20,163.8,43,300,0.09155623868979505,0.21739130434782608,0.06634394300263967,0.11848957345034405,0.23499999999999996,4.747047784109154,164.5441668977051,10.0,0.9957677699403146,,strict_alpha010_materials_flagship_pass
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,500,20,20,118.8,40,184,0.03189720598428158,0.09302325581395349,0.019587556366988758,0.04521918504659058,0.32589999999999997,2.8482286704654927,164.5441668977051,10.0,0.9957677699403146,,strict_alpha010_materials_flagship_pass
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,1000,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.4096,1.4241143352327463,164.5441668977051,10.0,0.9957677699403146,,materials_release_or_refusal_sensitivity
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.2848228670465493,164.5441668977051,10.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity
