proposal_source,block_definition,rho,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,dominant_empty_reason
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.004,0.04,0.0,0.009000000000000001,0.004,16.06279670539311,164.74684486074196,10.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.0465,0.12,0.031000000000000007,0.06300000000000001,0.0465,12.536597185359469,164.74684486074196,10.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,197.0,63,300,0.11342244253168243,0.1885245901639344,0.09503854944509257,0.13180673840594334,0.184,4.231007721004845,164.74684486074196,10.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,102.75,39,211,0.041313956033397145,0.11374407582938388,0.028060835616209513,0.055208662721732665,0.2209,2.5386046326029073,164.74684486074196,10.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,16,68.7,0,120,0.008809616477836528,0.07547169811320754,0.0015129870129870137,0.018605695365797075,0.2916,1.2693023163014536,164.74684486074196,10.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.2,50,20,20,50.0,50,50,0.004,0.04,0.0,0.009000000000000001,0.004,32.12559341078622,164.74684486074196,5.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.2,100,20,20,100.0,100,100,0.0465,0.12,0.031000000000000007,0.06300000000000001,0.0465,25.073194370718937,164.74684486074196,5.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.2,300,20,20,300.0,300,300,0.184,0.25,0.16983333333333334,0.198,0.184,8.46201544200969,164.74684486074196,5.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.2,500,20,20,404.45,157,500,0.20185358891873734,0.233502538071066,0.18872458991853064,0.21391232608746558,0.2209,5.0772092652058145,164.74684486074196,5.0,0.9971649484536081,
megnet_weak_learned_materials_model,composition_family_pair,0.1,0.2,1000,20,20,102.75,39,211,0.041313956033397145,0.11374407582938388,0.028060835616209513,0.055208662721732665,0.2916,2.5386046326029073,164.74684486074196,5.0,0.9971649484536081,
