variant,proposal_source,block_definition,rho,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,released_boundary_rate_25meV_mean,dominant_empty_reason,robustness_interpretation
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.009,0.08,0.0,0.021,0.009,15.902648194545392,164.79406777368217,10.0,0.9974905046120458,0.0,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.08549999999999999,0.22,0.05500000000000001,0.11750000000000001,0.08549999999999999,11.856871677644266,164.79406777368217,10.0,0.9974905046120458,0.0125,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,109.15,39,171,0.07774234562326364,0.1485148514851485,0.05796760745833143,0.09642347000226985,0.25316666666666665,3.9605287870530033,164.79406777368217,10.0,0.9974905046120458,0.009903661183211327,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,90.05,37,143,0.04733615330069889,0.12222222222222222,0.03168245821874691,0.06369989935309389,0.3269,2.376317272231802,164.79406777368217,10.0,0.9974905046120458,0.0011383426668593068,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,1000,20,15,60.8,0,103,0.005972493447761961,0.06896551724137931,0.0,0.013793103448275862,0.39099999999999996,1.188158636115901,164.79406777368217,10.0,0.9974905046120458,0.0,,sensitivity_or_refusal
conservative_clear_stable_observed_25meV,alignn_ff_modern_learned_materials_model,composition_family_pair,0.1,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.51548,0.23763172722318018,164.79406777368217,10.0,0.9974905046120458,0.0,insufficient_high_e_mass_for_uniform_scs,sensitivity_or_refusal
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,50,20,20,50.0,50,50,0.001,0.02,0.0,0.003,0.001,16.287859313929985,164.68978331639784,10.0,0.9967715680954965,0.0,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,100,20,20,100.0,100,100,0.03,0.1,0.016000000000000004,0.044500000000000005,0.03,13.454839682450729,164.68978331639784,10.0,0.9967715680954965,0.0165,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,300,20,20,152.3,43,300,0.07547356175427615,0.21,0.05315741418540658,0.09858169968822662,0.23499999999999996,4.751199834988349,164.68978331639784,10.0,0.9967715680954965,0.02814112700346577,,strict_alpha010_pass
conservative_clear_stable_observed_25meV,cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,0.1,500,20,20,115.15,40,174,0.027748262967745397,0.0873015873015873,0.017187831920954494,0.03919038649883242,0.32589999999999997,2.8507199009930098,164.68978331639784,10.0,0.9967715680954965,0.0115513686084931,,strict_alpha010_pass
