proposal_source,block_definition,rho,observed_positive_strategy,alpha,K,seeds,non_empty_seeds,mean_release,min_release,max_release,actual_FTR_mean,actual_FTR_max,actual_FTR_bootstrap95_low,actual_FTR_bootstrap95_high,raw_topK_actual_FTR_mean,best_mass_ratio_mean,max_observed_e_mean,required_e,block_coverage_mean,dominant_empty_reason,paper_status,high_volume_interpretation
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,1000,20,2,12.75,0,131,0.0023547155872937703,0.024193548387096774,0.0,0.005919108593942379,0.4096,0.7126703364516166,164.68978404622916,20.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.05,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.1425340672903233,164.68978404622916,20.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,1000,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.4096,1.4253406729032332,164.68978404622916,10.0,0.9967715680954964,,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.2850681345806466,164.68978404622916,10.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,1000,20,20,118.8,40,184,0.03189720598428158,0.09302325581395349,0.019587556366988758,0.04521918504659058,0.4096,2.8506813458064664,164.68978404622916,5.0,0.9967715680954964,,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.05,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.5701362691612932,164.68978404622916,5.0,0.9967715680954964,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,1000,20,2,12.75,0,131,0.0023547155872937703,0.024193548387096774,0.0,0.005919108593942379,0.4096,0.7120571676163732,164.5441668977051,20.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.05,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.14241143352327465,164.5441668977051,20.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,1000,20,16,83.05,0,150,0.0135530164863021,0.07563025210084033,0.006110393047532999,0.022490960894849043,0.4096,1.4241143352327463,164.5441668977051,10.0,0.9957677699403146,,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.1,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.2848228670465493,164.5441668977051,10.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.2,1000,20,20,118.8,40,184,0.03189720598428158,0.09302325581395349,0.019587556366988758,0.04521918504659058,0.4096,2.8482286704654927,164.5441668977051,5.0,0.9957677699403146,,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
cgcnn_ensemble_learned_materials_model,composition_family_pair,0.1,top_score,0.2,5000,20,0,0.0,0,0,0.0,0.0,0.0,0.0,0.40651000000000004,0.5696457340930986,164.5441668977051,5.0,0.9957677699403146,insufficient_high_e_mass_for_uniform_scs,materials_release_or_refusal_sensitivity,PARC_releases_small_certified_subset_of_unsafe_raw_volume
