dataset,protocol,method,alpha1,seed,candidate_budget_M,released,official_supported,unsupported,unsupported_actually_true,unsupported_actually_false,unsupported_uncertain,unsupported_unlabeled,utr,audited_ftr_supported_plus_labeled,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,tau_k,selected_e_min,selected_e_mean,selected_e_max,n_cal_total,n_covered,p_min_effective,emax_effective,max_observed_e,empty_reason,empty_diagnostic
OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,150,105,103,2,1.0,0.0,0.0,1.0,0.019047619047619,0.0,0.0095238095238095,0.9180776513198196,14.285714285714286,15.203791937034106,22.304934535929057,38.546439933685846,982.0,683.0,0.0014619883040935,38.546439933685846,38.546439933685846,,
OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,1,150,150,146,4,1.0,0.0,0.0,3.0,0.0266666666666666,0.0,0.02,4.691301762277799,10.0,14.6913017622778,23.262240544677287,37.20674236442314,982.0,655.0,0.0015243902439024,37.20674236442314,37.20674236442314,,
OVT-B,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,2,150,150,147,3,2.0,0.0,0.0,1.0,0.02,0.0,0.0066666666666666,10.83233802276235,10.0,20.83233802276235,33.68061821796893,37.44649344759844,982.0,660.0,0.0015128593040847,37.44649344759844,37.44649344759844,,
OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,0,150,150,148,2,1.0,0.0,0.0,1.0,0.0133333333333333,0.0,0.0066666666666666,4.864783778505613,5.0,9.864783778505611,18.6686405303884,38.546439933685846,982.0,683.0,0.0014619883040935,38.546439933685846,38.546439933685846,,
OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,1,150,150,146,4,1.0,0.0,0.0,3.0,0.0266666666666666,0.0,0.02,9.6913017622778,5.0,14.6913017622778,23.262240544677287,37.20674236442314,982.0,655.0,0.0015243902439024,37.20674236442314,37.20674236442314,,
OVT-B,fixed_M150_alpha0.2,parc_track_gamma_tuned_uniform_scs,0.2,2,150,150,147,3,2.0,0.0,0.0,1.0,0.02,0.0,0.0066666666666666,15.83233802276235,5.0,20.83233802276235,33.68061821796893,37.44649344759844,982.0,660.0,0.0015128593040847,37.44649344759844,37.44649344759844,,
OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,125,112,110,2,1.0,0.0,0.0,1.0,0.0178571428571428,0.0,0.0089285714285714,0.7558813860707971,11.160714285714285,11.916595671785082,21.65566335692006,38.546439933685846,982.0,683.0,0.0014619883040935,38.546439933685846,38.546439933685846,,
OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,1,250,241,234,7,1.0,0.0,0.0,6.0,0.0290456431535269,0.0,0.0248962655601659,1.1447370059184827,10.373443983402488,11.518180989320973,19.670416104560328,37.20674236442314,982.0,655.0,0.0015243902439024,37.20674236442314,37.20674236442314,,
OVT-B,best_M_diagnostic_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,2,250,224,218,6,5.0,0.0,0.0,1.0,0.0267857142857142,0.0,0.0044642857142857,0.4287902990591341,11.160714285714285,11.58950458477342,26.64901756465857,37.44649344759844,982.0,660.0,0.0015128593040847,37.44649344759844,37.44649344759844,,
TAO,fixed_M150_alpha0.1,parc_track_gamma_tuned_uniform_scs,0.1,0,150,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,708.0,588.0,0.0016977928692699,33.97091768583136,33.97091768583136,no_k_satisfies_uniform_self_consistency,insufficient_high_e_mass_for_uniform_scs
