dataset,stress_type,level,split_rule,status,released,UTR,audited_FTR,conservative_FTR,mass_ratio,emax,empty_reason,paper_interpretation
OVT-B,nonexchangeability,iid_baseline,existing_random_seed_splits,available_in_existing_tables,,,,,,,,main_iid_reference
OVT-B,nonexchangeability,mild_scene_shift,sort_videos_by_scene_or_video_family_then_cal_first_test_last,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
OVT-B,nonexchangeability,moderate_domain_shift,calibrate_on_head_queries_test_on_mid_tail_queries,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
OVT-B,nonexchangeability,severe_adversarial_shift,calibrate_on_supported_dense_domains_test_on_sparse_unmatched_domains,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
TAO,nonexchangeability,iid_baseline,existing_random_seed_splits,available_in_existing_tables,,,,,,,,main_iid_reference
TAO,nonexchangeability,mild_scene_shift,sort_videos_by_scene_or_video_family_then_cal_first_test_last,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
TAO,nonexchangeability,moderate_domain_shift,calibrate_on_head_queries_test_on_mid_tail_queries,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
TAO,nonexchangeability,severe_adversarial_shift,calibrate_on_supported_dense_domains_test_on_sparse_unmatched_domains,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
BURST,nonexchangeability,iid_baseline,existing_random_seed_splits,available_in_existing_tables,,,,,,,,main_iid_reference
BURST,nonexchangeability,mild_scene_shift,sort_videos_by_scene_or_video_family_then_cal_first_test_last,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
BURST,nonexchangeability,moderate_domain_shift,calibrate_on_head_queries_test_on_mid_tail_queries,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
BURST,nonexchangeability,severe_adversarial_shift,calibrate_on_supported_dense_domains_test_on_sparse_unmatched_domains,requires_custom_split_rerun,,,,,,,,assumption_boundary_not_main_certificate
