dataset,video_id,path_id,generator,query,category_id,score,score_bin,is_unmatched,matched_gt_id,matched_iou,temporal_overlap,frame_start,frame_end,path_length,candidate_rank,cell_id,audit_source,label_status,montage_path,clip_path,sampling_protocol,second_rater_label,second_rater_verified_positive_for_calibration,second_rater_reason,second_rater_confidence
OVT-B,130,ovtb_v130_p003147,GroundingDINO,person,669,0.766586646437645,high,True,2081.0,0.3809854001956855,0.0,0,24,8,637,cat:669,existing_labeled,existing_gold,<PARC_ROOT>/outputs/phase2_500/audit_viewer/montages/ovtb_v130_p003147.jpg,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,130,ovtb_v130_p003148,GroundingDINO,person,669,0.7361220195889473,high,True,2081.0,0.3077441035699435,0.0,0,24,8,855,cat:669,existing_labeled,existing_gold,<PARC_ROOT>/outputs/phase2_500/audit_viewer/montages/ovtb_v130_p003148.jpg,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,155,ovtb_v155_p003300,GroundingDINO,person,669,0.4100587628781795,mid,True,2216.0,0.4333099107463449,0.0,0,24,8,5704,cat:669,existing_labeled,existing_gold,,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,159,ovtb_v159_p003318,GroundingDINO,person,669,0.3985019326210022,mid,True,2231.0,0.0050822359270479,0.0,0,14,8,6034,cat:669,existing_labeled,existing_gold,,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,169,ovtb_v169_p003369,GroundingDINO,person,669,0.4036645054817199,mid,True,2283.0,0.415618671420795,0.0,0,34,5,5892,cat:669,existing_labeled,existing_gold,,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,173,ovtb_v173_p003385,GroundingDINO,person,669,0.3933604300022125,mid,True,2302.0,0.537374098839792,0.2,0,10,5,6178,cat:669,existing_labeled,existing_gold,,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,189,ovtb_v189_p003459,GroundingDINO,beaker,67,0.3356594890356064,low,True,,0.0,0.0,0,4,2,8098,cat:67,existing_labeled,existing_gold,,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,190,ovtb_v190_p003462,GroundingDINO,microphone,585,0.4135189950466156,mid,True,2376.0,0.4287212044061053,0.0,0,5,2,5614,cat:585,existing_labeled,existing_gold,<PARC_ROOT>/outputs/phase2_500/audit_viewer/montages/ovtb_v190_p003462.jpg,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,206,ovtb_v206_p003543,GroundingDINO,shirt,820,0.5777296721935272,high,True,2435.0,0.0351191818857097,0.0,0,39,8,2438,cat:820,existing_labeled,existing_gold,<PARC_ROOT>/outputs/phase2_500/audit_viewer/montages/ovtb_v206_p003543.jpg,,dataset_quota_score_bin_high_mid_low,,,,
OVT-B,216,ovtb_v216_p003611,GroundingDINO,frog,390,0.4068542165415628,mid,True,2510.0,0.0583470865025968,0.0,0,12,7,5801,cat:390,existing_labeled,existing_gold,<PARC_ROOT>/outputs/phase2_500/audit_viewer/montages/ovtb_v216_p003611.jpg,,dataset_quota_score_bin_high_mid_low,,,,
