dataset,video_id,path_id,split,query,category_id,score,objectness,semantic_margin,temporal_stability,association_score,frame_start,frame_end,path_length,candidate_rank,is_dummy,matched_gt_id,matched_iou,temporal_overlap,matched_frames,is_matched_to_gt,is_unmatched,audit_label,verified_positive_for_calibration,cell_id,novelty_bin,query_cluster,occ_bin,domain_bin,fallback_level,score_source,task,mask_type,conflict_policy
BURST,2306,ovtb_v2306_p002927,test,giraffe,502,0.9596033692359924,0.9596033692359924,0.9596033692359924,1,0.0,22,22,1,1,False,,0.0,0.0,0,False,True,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1928,ovtb_v1928_p002550,cal,giraffe,502,0.9588923454284668,0.9588923454284668,0.9588923454284668,1,0.0,0,0,1,2,False,1.0,0.9897837283849672,1.0,1,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1794,ovtb_v1794_p002340,cal,cow,81,0.9578427001833916,0.9578427001833916,0.9578427001833916,8,0.875,0,39,8,3,False,1.0,0.9878551397886824,1.0,8,True,False,,no,cat:81,unknown,cow,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1819,ovtb_v1819_p002372,cal,surfboard,1057,0.9481600522994996,0.9481600522994996,0.9481600522994996,1,0.0,28,28,1,4,False,3.0,0.7532039837134736,1.0,1,True,False,,no,cat:1057,unknown,surfboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1819,ovtb_v1819_p002368,cal,surfboard,1057,0.9447587132453918,0.9447587132453918,0.9447587132453918,1,0.0,6,6,1,5,False,3.0,0.6463023937502226,1.0,1,True,False,,no,cat:1057,unknown,surfboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1983,ovtb_v1983_p002583,cal,giraffe,502,0.9434853593508402,0.9434853593508402,0.9434853593508402,3,0.6666666666666666,11,22,3,6,False,1.0,0.9939700059016134,1.0,3,True,False,,no,cat:502,unknown,giraffe,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1819,ovtb_v1819_p002371,cal,surfboard,1057,0.9422268271446228,0.9422268271446228,0.9422268271446228,1,0.0,22,22,1,7,False,3.0,0.9256708434302328,1.0,1,True,False,,no,cat:1057,unknown,surfboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1784,ovtb_v1784_p002119,cal,skateboard,980,0.9419038891792296,0.9419038891792296,0.9419038891792296,2,0.5,11,22,2,8,False,1.0,0.9719212508917466,1.0,2,True,False,,no,cat:980,unknown,skateboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1947,ovtb_v1947_p002622,cal,skateboard,980,0.9337393641471864,0.9337393641471864,0.9337393641471864,1,0.0,6,6,1,9,False,2.0,0.9800273513929412,1.0,1,True,False,,no,cat:980,unknown,skateboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,2706,ovtb_v2706_p003462,test,bottle,133,0.9328984618186952,0.9328984618186952,0.9328984618186952,1,0.0,23,23,1,10,False,5.0,0.9604096849474548,1.0,1,True,False,,no,cat:133,unknown,bottle,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1785,ovtb_v1785_p002334,cal,surfboard,1057,0.9328478574752808,0.9328478574752808,0.9328478574752808,1,0.0,6,6,1,11,False,2.0,0.6871053113654613,1.0,1,True,False,,no,cat:1057,unknown,surfboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
BURST,1819,ovtb_v1819_p002374,cal,surfboard,1057,0.9317359328269958,0.9317359328269958,0.9317359328269958,1,0.0,39,39,1,12,False,3.0,0.6624847369349179,1.0,1,True,False,,no,cat:1057,unknown,surfboard,unknown,global,0,final_score_proxy,OVVIS_box_to_mask_scaffold,rectangle_mask_from_box,mask_iou_conflict_threshold_0p5
