dataset,method,alpha1,null_inflation_level,status,released_reference,projected_conservative_ftr,release_power_multiplier,paper_interpretation
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.0,projection_not_certificate,192.33333333333331,0.0127630409010076,1.0,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.25,projection_not_certificate,192.33333333333331,0.02366766078838165,0.9125,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.5,projection_not_certificate,192.33333333333331,0.0345722806757557,0.825,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.75,projection_not_certificate,192.33333333333331,0.045476900563129745,0.7375,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,1.0,projection_not_certificate,192.33333333333331,0.0563815204505038,0.65,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.0,projection_not_certificate,135.0,0.012063492063492,1.0,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.25,projection_not_certificate,135.0,0.023055555555555503,0.9125,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.5,projection_not_certificate,135.0,0.034047619047619,0.825,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,0.75,projection_not_certificate,135.0,0.045039682539682505,0.7375,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,1.0,projection_not_certificate,135.0,0.056031746031746,0.65,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,0.0,projection_not_certificate,150.0,0.011111111111111,1.0,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,0.25,projection_not_certificate,150.0,0.03472222222222213,0.9125,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,0.5,projection_not_certificate,150.0,0.05833333333333326,0.825,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,0.75,projection_not_certificate,150.0,0.08194444444444439,0.7375,missing-positive/null-contamination sensitivity projection
OVT-B,parc_track_gamma_tuned_uniform_scs,0.2,1.0,projection_not_certificate,150.0,0.10555555555555551,0.65,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.0,projection_not_certificate,99.0,0.0,1.0,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.25,projection_not_certificate,99.0,0.0125,0.9125,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.5,projection_not_certificate,99.0,0.025,0.825,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.75,projection_not_certificate,99.0,0.037500000000000006,0.7375,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,1.0,projection_not_certificate,99.0,0.05,0.65,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.0,projection_not_certificate,0.0,1.0,1.0,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.25,projection_not_certificate,0.0,1.0,0.9125,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.5,projection_not_certificate,0.0,1.0,0.825,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,0.75,projection_not_certificate,0.0,1.0,0.7375,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.1,1.0,projection_not_certificate,0.0,1.0,0.65,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.2,0.0,projection_not_certificate,147.33333333333334,0.0177777777777777,1.0,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.2,0.25,projection_not_certificate,147.33333333333334,0.04055555555555549,0.9125,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.2,0.5,projection_not_certificate,147.33333333333334,0.06333333333333328,0.825,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.2,0.75,projection_not_certificate,147.33333333333334,0.08611111111111107,0.7375,missing-positive/null-contamination sensitivity projection
TAO,parc_track_gamma_tuned_uniform_scs,0.2,1.0,projection_not_certificate,147.33333333333334,0.10888888888888885,0.65,missing-positive/null-contamination sensitivity projection
