K,alpha,audit_budget_fraction,audit_policy,claim_boundary,domain,manuscript_role,mean_FTR,mean_best_mass_ratio,mean_release,mean_verified_positive_yield,nonempty_seeds,policy_role,random_first_any_safe_budget_fraction,random_full_actual_FTR_mean,random_full_mean_release,random_full_safe_release_rate,safe_seeds,seeds,target_row,top_score_actual_FTR_mean,top_score_alpha_violation_rate,top_score_budget_fraction,top_score_mean_release,top_score_release_rate,top_score_safe_release_rate,top_score_verified_positive_yield_mean,total_false_releases,total_released
,,0.005,top_score,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,0.0,1.3321283238137231,100.0,1.0,20.0,efficient_targeted_audit,,,,,20.0,20,ctc_learned_strict_alpha010_K100,,,,,,,,0.0,2000.0
,,0.005,random,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,0.0,0.0459135041797087,0.0,0.202341836694269,0.0,matched_budget_random_control,,,,,0.0,20,ctc_learned_strict_alpha010_K100,,,,,,,,0.0,0.0
,,1.0,random,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,0.0,1.3321283238137231,100.0,0.2004312475394454,20.0,full_random_audit_transition_control,,,,,20.0,20,ctc_learned_strict_alpha010_K100,,,,,,,,0.0,2000.0
,,0.005,yield_delta,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,nan,nan,nan,0.7976581633057309,nan,top_score_minus_random_yield_delta,,,,,nan,20,ctc_learned_strict_alpha010_K100,,,,,,,,nan,nan
,,0.005,top_score,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,0.0,1.2721825492421055,275.5,1.0,19.0,efficient_targeted_audit,,,,,19.0,20,ctc_learned_strict_alpha010_K300,,,,,,,,0.0,5510.0
,,0.005,random,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,0.0,0.0364298340899211,0.0,0.202341836694269,0.0,matched_budget_random_control,,,,,0.0,20,ctc_learned_strict_alpha010_K300,,,,,,,,0.0,0.0
,,1.0,random,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,0.0,1.3321283238137231,300.0,0.2004312475394454,20.0,full_random_audit_transition_control,,,,,20.0,20,ctc_learned_strict_alpha010_K300,,,,,,,,0.0,6000.0
,,0.005,yield_delta,PARC_A_certificate_directed_active_verification;simulated_one_sided_audit_over_existing_labels;primary_CTC_only;materials_boundary_secondary;not_new_human_labels;not_new_DFT;not_prospective_materials_discovery,,,nan,nan,nan,0.7976581633057309,nan,top_score_minus_random_yield_delta,,,,,nan,20,ctc_learned_strict_alpha010_K300,,,,,,,,nan,nan
300,0.1,,,materials rows are simulated public-label active-audit boundary evidence; not prospective discovery,materials_discovery,materials_boundary_secondary_not_primary,,,,,,,0.5,0.0799088347903896,111.45,0.55,,,materials_alignn_exact_stable_alpha010_K300,0.0870024948491858,0.45,0.005,115.1,1.0,0.55,0.6348603063460654,,
500,0.1,,,materials rows are simulated public-label active-audit boundary evidence; not prospective discovery,materials_discovery,materials_boundary_secondary_not_primary,,,,,,,1.0,0.0464681213234558,90.65,0.85,,,materials_alignn_exact_stable_alpha010_K500,0.0482207668261013,0.15,0.005,90.75,1.0,0.85,0.6348603063460654,,
100,0.1,,,materials rows are simulated public-label active-audit boundary evidence; not prospective discovery,materials_discovery,calibration_check_not_headline,,,,,,,0.0,0.03,100.0,1.0,,,materials_cgcnn_exact_stable_alpha010_K100,0.03,0.0,0.005,100.0,1.0,1.0,0.6296690031222022,,
