K,arm,failure_explanation_class,n_candidates,false_denominator,fraction_of_false,assignment_policy,claim_boundary
300,PARC_release,near_hull_boundary,18,96,0.1875,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,PARC_release,MLIP_disagreement,96,96,1.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,PARC_release,stable_to_unstable_drift,56,96,0.5833333333333334,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,PARC_release,chemistry_family_cluster,6,96,0.0625,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,PARC_release,far_from_hull_consensus_negative,0,96,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,PARC_release,unexplained,0,96,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,raw_topK_only,near_hull_boundary,83,200,0.415,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,raw_topK_only,MLIP_disagreement,200,200,1.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,raw_topK_only,stable_to_unstable_drift,93,200,0.465,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,raw_topK_only,chemistry_family_cluster,19,200,0.095,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,raw_topK_only,far_from_hull_consensus_negative,0,200,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
300,raw_topK_only,unexplained,0,200,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,PARC_release,near_hull_boundary,7,67,0.1044776119402985,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,PARC_release,MLIP_disagreement,67,67,1.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,PARC_release,stable_to_unstable_drift,44,67,0.6567164179104478,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,PARC_release,chemistry_family_cluster,0,67,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,PARC_release,far_from_hull_consensus_negative,0,67,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,PARC_release,unexplained,0,67,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,raw_topK_only,near_hull_boundary,229,513,0.44639376218323584,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,raw_topK_only,MLIP_disagreement,513,513,1.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,raw_topK_only,stable_to_unstable_drift,220,513,0.42884990253411304,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,raw_topK_only,chemistry_family_cluster,91,513,0.17738791423001948,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,raw_topK_only,far_from_hull_consensus_negative,0,513,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
500,raw_topK_only,unexplained,0,513,0.0,overlapping_nonexclusive_diagnostic_categories,explains_t1_false_candidates_not_strict_t1_certificate
