K,primary_queue_status,chemical_system,n,false_n,stable_to_unstable_n,total_n,fraction_of_arm,single_chemsys_dominance_flag
300,PARC_release,Ac-K-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Ac-Li-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Ac-Na-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Ac-Pd-Pt,1,0,0,304,0.003289473684210526,False
300,PARC_release,Ac-Pt,2,0,0,304,0.006578947368421052,False
300,PARC_release,Ac-Se,1,0,0,304,0.003289473684210526,False
300,PARC_release,Ac-Te,1,0,0,304,0.003289473684210526,False
300,PARC_release,Ag-Pm-Te,1,1,1,304,0.003289473684210526,False
300,PARC_release,Al-F-Pa,2,2,2,304,0.006578947368421052,False
300,PARC_release,As-Br-Er,3,0,0,304,0.009868421052631578,False
300,PARC_release,As-Gd-I,1,0,0,304,0.003289473684210526,False
300,PARC_release,Au-Pm-Te,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ba-Br,3,0,0,304,0.009868421052631578,False
300,PARC_release,Ba-Br-Er,2,0,0,304,0.006578947368421052,False
300,PARC_release,Ba-Ca-F,2,2,0,304,0.006578947368421052,False
300,PARC_release,Ba-Cd-F,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-Cl,2,2,1,304,0.006578947368421052,False
300,PARC_release,Ba-F,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-F-Hg,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ba-F-Li-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ba-F-Mg,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-F-Pa,1,1,1,304,0.003289473684210526,False
300,PARC_release,Ba-F-Sc,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-F-Sr,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-F-Yb,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-F-Zn,1,1,0,304,0.003289473684210526,False
300,PARC_release,Ba-Gd-I,2,2,2,304,0.006578947368421052,False
300,PARC_release,Bi-Gd-I,2,2,2,304,0.006578947368421052,False
300,PARC_release,Br-Ce,3,0,0,304,0.009868421052631578,False
300,PARC_release,Br-Cl-Er,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Cu-Er,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Dy,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Er,14,0,0,304,0.046052631578947366,False
300,PARC_release,Br-Er-F,1,1,1,304,0.003289473684210526,False
300,PARC_release,Br-Er-Ga,2,0,0,304,0.006578947368421052,False
300,PARC_release,Br-Er-Ge,4,0,0,304,0.013157894736842105,False
300,PARC_release,Br-Er-H,4,0,0,304,0.013157894736842105,False
300,PARC_release,Br-Er-In,2,2,2,304,0.006578947368421052,False
300,PARC_release,Br-Er-K,4,0,0,304,0.013157894736842105,False
300,PARC_release,Br-Er-K-Rb,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Er-Li-Rb,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Er-N,6,0,0,304,0.019736842105263157,False
300,PARC_release,Br-Er-Na-Rb,1,0,0,304,0.003289473684210526,False
300,PARC_release,Br-Er-Ni,1,1,1,304,0.003289473684210526,False
300,PARC_release,Br-Er-P,3,0,0,304,0.009868421052631578,False
300,PARC_release,Br-Er-Pb,3,0,0,304,0.009868421052631578,False
