material_id,formula,chemical_system,composition_family_pair,K,primary_queue_status,parc_seed_count,raw_topK_seed_count,raw_topR_seed_count,raw_only_tail_seed_count,raw_topR_member,e_above_hull_t0,stable_exact_t0,e_above_hull_t1_current_mp,stable_exact_t1_current_mp,t1_label_status,drift_class,t1_false_conservative,near_hull_25mev_t0,near_hull_25mev_t1,near_hull_50mev_t0,near_hull_50mev_t1,alignn_score,alignn_predicted_e_above_hull,alignn_predicted_stable,alignn_disagrees_with_t1,cgcnn_ens10_pred_e_form,megnet_pred_e_form,available_model_score_count,mlip_consensus_status,mlip_disagreement_count,parc_e_value,required_e,best_mass_ratio,self_consistency_margin,raw_rank,source_uncertain_or_boundary_exact,source_discordant_exact,either_source_near_hull_25meV_exact,included_in_alex_exact_metrics,t1_false_explanation_class,far_from_hull_alignn_negative_parc_release,claim_boundary
wbm-1-10046,Cl6 Ho2,Cl-Ho,2|Cl-Ho,500,raw_only_requested_budget,0,1,0,1,False,-0.075567,True,0.6242622619999985,False,labelable_current_MP_hull,stable_to_unstable,True,False,False,False,False,0.5549629999999999,-0.5549629999999999,True,True,-2.71666,-3.1965,3,not_available_for_wbm_queue_chgnet_mace_missing,1,2.9621815726991896,10.0,1.2178016109894885,29.432650133714645,454,False,False,False,False,ALIGNN_FF_disagrees_with_current_MP_label,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10049,Cl6 Cs2 I2,Cl-Cs-I,3|Cl-Cs,500,raw_only_requested_budget,0,1,0,1,False,-0.054849,True,1.555560739999997,False,labelable_current_MP_hull,stable_to_unstable,True,False,False,False,False,0.5556030000000001,-0.5556030000000001,True,True,-1.2976499999999995,-1.5688,3,not_available_for_wbm_queue_chgnet_mace_missing,1,3.1968864633000584,10.0,1.3174868122990375,39.685851537379705,459,False,False,False,False,ALIGNN_FF_disagrees_with_current_MP_label,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10064,Cl6 In2,Cl-In,2|Cl-In,500,raw_only_requested_budget,0,1,0,1,False,-0.119464,True,43.67098935375,False,labelable_current_MP_hull,stable_to_unstable,True,False,False,False,False,0.5647820000000001,-0.5647820000000001,True,True,-1.41514,-1.9271,3,not_available_for_wbm_queue_chgnet_mace_missing,1,3.36340466755441,10.0,1.3174868122990375,39.685851537379705,434,False,False,False,False,ALIGNN_FF_disagrees_with_current_MP_label,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10065,Cl6 In2,Cl-In,2|Cl-In,500,raw_only_requested_budget,0,1,0,1,False,-0.119498,True,43.67095435374999,False,labelable_current_MP_hull,stable_to_unstable,True,False,False,False,False,0.5661809999999998,-0.5661809999999998,True,True,-1.5443000000000002,-1.9756,3,not_available_for_wbm_queue_chgnet_mace_missing,1,3.435340037634345,10.0,1.3174868122990375,39.685851537379705,431,False,False,False,False,ALIGNN_FF_disagrees_with_current_MP_label,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10137,Cl6 Lu2,Cl-Lu,2|Cl-Lu,500,raw_only_requested_budget,0,1,0,1,False,-0.08566,True,-2.743422999999998,True,labelable_current_MP_hull,stable_to_stable,False,False,False,False,False,0.555237,-0.555237,True,False,-2.6977100000000003,-3.1439,3,not_available_for_wbm_queue_chgnet_mace_missing,0,2.9621815726991896,10.0,1.2178016109894885,29.432650133714645,452,False,False,False,False,t1_stable_or_true_release,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10154,Cl6 Mn2,Cl-Mn,2|Cl-Mn,300,PARC_release,3,14,3,11,True,-0.145754,True,-1.2670470000000051,True,labelable_current_MP_hull,stable_to_stable,False,False,False,False,False,0.8370069999999998,-0.8370069999999998,True,False,-1.48196,-1.9042,3,not_available_for_wbm_queue_chgnet_mace_missing,0,18.566685755496703,10.0,5.157690443561848,16.36323504953147,10,False,False,False,False,t1_stable_or_true_release,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10154,Cl6 Mn2,Cl-Mn,2|Cl-Mn,500,raw_only_requested_budget,0,14,0,14,False,-0.145754,True,-1.2670470000000051,True,labelable_current_MP_hull,stable_to_stable,False,False,False,False,False,0.8370069999999998,-0.8370069999999998,True,False,-1.48196,-1.9042,3,not_available_for_wbm_queue_chgnet_mace_missing,0,18.566685755496703,10.0,3.094614266137109,33.106904168958664,16,False,False,False,False,t1_stable_or_true_release,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10155,Cl6 Mn2,Cl-Mn,2|Cl-Mn,300,PARC_release,3,14,3,11,True,-0.273431,True,-1.3947239999999963,True,labelable_current_MP_hull,stable_to_stable,False,False,False,False,False,0.8289069999999998,-0.8289069999999998,True,False,-1.4407500000000002,-1.9175,3,not_available_for_wbm_queue_chgnet_mace_missing,0,17.306411900418205,10.0,5.157690443561848,16.36323504953147,13,True,False,True,True,t1_stable_or_true_release,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10155,Cl6 Mn2,Cl-Mn,2|Cl-Mn,500,raw_only_requested_budget,0,14,0,14,False,-0.273431,True,-1.3947239999999963,True,labelable_current_MP_hull,stable_to_stable,False,False,False,False,False,0.8289069999999998,-0.8289069999999998,True,False,-1.4407500000000002,-1.9175,3,not_available_for_wbm_queue_chgnet_mace_missing,0,17.306411900418205,10.0,3.094614266137109,33.106904168958664,19,True,False,True,True,t1_stable_or_true_release,False,candidate_level_explanation_not_MLIP_consensus_validation
wbm-1-10156,Cl6 Mn2,Cl-Mn,2|Cl-Mn,300,raw_only_requested_budget,0,14,0,14,False,-0.246356,True,-1.367649,True,labelable_current_MP_hull,stable_to_stable,False,False,False,False,False,0.7233070000000001,-0.7233070000000001,True,False,-1.46157,-1.7566,3,not_available_for_wbm_queue_chgnet_mace_missing,0,9.114841960315776,10.0,5.157690443561848,16.36323504953147,63,True,True,False,True,t1_stable_or_true_release,False,candidate_level_explanation_not_MLIP_consensus_validation
