K,primary_queue_status,material_id,t1_label,alignn_score,alignn_predicted_e_above_hull,cgcnn_ens10_pred_e_form,megnet_pred_e_form,near_hull_50mev_t0_or_t1,t1_false_explanation_class
500,raw_only_requested_budget,wbm-1-10046,t1_false_or_unresolved,0.5549629999999999,-0.5549629999999999,-2.71666,-3.1965,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10049,t1_false_or_unresolved,0.5556030000000001,-0.5556030000000001,-1.2976499999999995,-1.5688,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10064,t1_false_or_unresolved,0.5647820000000001,-0.5647820000000001,-1.41514,-1.9271,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10065,t1_false_or_unresolved,0.5661809999999998,-0.5661809999999998,-1.5443000000000002,-1.9756,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10137,t1_stable,0.555237,-0.555237,-2.6977100000000003,-3.1439,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10154,t1_stable,0.8370069999999998,-0.8370069999999998,-1.48196,-1.9042,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10154,t1_stable,0.8370069999999998,-0.8370069999999998,-1.48196,-1.9042,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10155,t1_stable,0.8289069999999998,-0.8289069999999998,-1.4407500000000002,-1.9175,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10155,t1_stable,0.8289069999999998,-0.8289069999999998,-1.4407500000000002,-1.9175,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10156,t1_stable,0.7233070000000001,-0.7233070000000001,-1.46157,-1.7566,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10156,t1_stable,0.7233070000000001,-0.7233070000000001,-1.46157,-1.7566,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10169,t1_stable,0.73498,-0.73498,-0.9478100000000002,-1.3939,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10169,t1_stable,0.73498,-0.73498,-0.9478100000000002,-1.3939,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10175,t1_false_or_unresolved,0.75593,-0.75593,-0.96453,-1.3406,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10175,t1_false_or_unresolved,0.75593,-0.75593,-0.96453,-1.3406,False,ALIGNN_FF_disagrees_with_current_MP_label
300,PARC_release,wbm-1-10281,t1_stable,0.7980219999999996,-0.7980219999999996,-2.21868,-2.6522,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10281,t1_stable,0.7980219999999996,-0.7980219999999996,-2.21868,-2.6522,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10310,t1_stable,0.566071,-0.566071,-2.1074,-2.3493,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10360,t1_false_or_unresolved,0.7230719999999999,-0.7230719999999999,-1.5654000000000003,-1.9976,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10360,t1_false_or_unresolved,0.7230719999999999,-0.7230719999999999,-1.5654000000000003,-1.9976,False,ALIGNN_FF_disagrees_with_current_MP_label
300,raw_only_requested_budget,wbm-1-10361,t1_false_or_unresolved,0.7932720000000002,-0.7932720000000002,-1.55281,-1.9844,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10361,t1_false_or_unresolved,0.7932720000000002,-0.7932720000000002,-1.55281,-1.9844,False,ALIGNN_FF_disagrees_with_current_MP_label
300,PARC_release,wbm-1-10364,t1_stable,0.8598440000000003,-0.8598440000000003,-2.43405,-2.8894,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10364,t1_stable,0.8598440000000003,-0.8598440000000003,-2.43405,-2.8894,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10365,t1_stable,1.0078439999999995,-1.0078439999999995,-2.44038,-2.9508,False,t1_stable_or_true_release
500,PARC_release,wbm-1-10365,t1_stable,1.0078439999999995,-1.0078439999999995,-2.44038,-2.9508,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10366,t1_stable,1.029544,-1.029544,-2.44833,-2.9777,False,t1_stable_or_true_release
500,PARC_release,wbm-1-10366,t1_stable,1.029544,-1.029544,-2.44833,-2.9777,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10385,t1_false_or_unresolved,0.5833059999999999,-0.5833059999999999,-1.1735799999999998,-1.7446,False,ALIGNN_FF_disagrees_with_current_MP_label
300,PARC_release,wbm-1-10388,t1_false_or_unresolved,0.8879799999999998,-0.8879799999999998,-2.3876,-2.582,True,near_hull_50meV_boundary
500,PARC_release,wbm-1-10388,t1_false_or_unresolved,0.8879799999999998,-0.8879799999999998,-2.3876,-2.582,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10389,t1_false_or_unresolved,0.7568799999999998,-0.7568799999999998,-2.28385,-2.9353,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10389,t1_false_or_unresolved,0.7568799999999998,-0.7568799999999998,-2.28385,-2.9353,False,ALIGNN_FF_disagrees_with_current_MP_label
300,raw_only_requested_budget,wbm-1-10390,t1_false_or_unresolved,0.7056800000000001,-0.7056800000000001,-2.27722,-2.9718,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10390,t1_false_or_unresolved,0.7056800000000001,-0.7056800000000001,-2.27722,-2.9718,True,near_hull_50meV_boundary
300,PARC_release,wbm-1-10391,t1_stable,0.90173,-0.90173,-2.3769800000000005,-2.6406,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10391,t1_stable,0.90173,-0.90173,-2.3769800000000005,-2.6406,True,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10392,t1_stable,0.7706299999999997,-0.7706299999999997,-2.2513700000000005,-2.9359,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10392,t1_stable,0.7706299999999997,-0.7706299999999997,-2.2513700000000005,-2.9359,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10393,t1_stable,0.78383,-0.78383,-2.24282,-2.9812,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10393,t1_stable,0.78383,-0.78383,-2.24282,-2.9812,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10394,t1_stable,0.8206589999999998,-0.8206589999999998,-1.79242,-2.2005,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10394,t1_stable,0.8206589999999998,-0.8206589999999998,-1.79242,-2.2005,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10395,t1_stable,0.5695590000000001,-0.5695590000000001,-1.78854,-2.204,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10404,t1_stable,0.8557999999999999,-0.8557999999999999,-2.37555,-2.5961,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10404,t1_stable,0.8557999999999999,-0.8557999999999999,-2.37555,-2.5961,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10405,t1_stable,0.8515999999999999,-0.8515999999999999,-2.31553,-2.7562,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10405,t1_stable,0.8515999999999999,-0.8515999999999999,-2.31553,-2.7562,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10410,t1_false_or_unresolved,0.8988830000000001,-0.8988830000000001,-2.3769800000000005,-2.6107,True,near_hull_25meV_boundary
500,PARC_release,wbm-1-10410,t1_false_or_unresolved,0.8988830000000001,-0.8988830000000001,-2.3769800000000005,-2.6107,True,near_hull_25meV_boundary
300,raw_only_requested_budget,wbm-1-10411,t1_false_or_unresolved,0.7677829999999997,-0.7677829999999997,-2.2513700000000005,-2.9373,True,near_hull_50meV_boundary
500,raw_only_requested_budget,wbm-1-10411,t1_false_or_unresolved,0.7677829999999997,-0.7677829999999997,-2.2513700000000005,-2.9373,True,near_hull_50meV_boundary
300,raw_only_requested_budget,wbm-1-10412,t1_false_or_unresolved,0.780983,-0.780983,-2.24281,-2.9803,True,near_hull_25meV_boundary
500,raw_only_requested_budget,wbm-1-10412,t1_false_or_unresolved,0.780983,-0.780983,-2.24281,-2.9803,True,near_hull_25meV_boundary
300,PARC_release,wbm-1-10417,t1_false_or_unresolved,0.8003979999999999,-0.8003979999999999,-1.2575999999999998,-1.619,True,near_hull_25meV_boundary
500,raw_only_requested_budget,wbm-1-10417,t1_false_or_unresolved,0.8003979999999999,-0.8003979999999999,-1.2575999999999998,-1.619,True,near_hull_25meV_boundary
300,PARC_release,wbm-1-10442,t1_stable,0.879483,-0.879483,-2.44038,-2.7733,False,t1_stable_or_true_release
500,PARC_release,wbm-1-10442,t1_stable,0.879483,-0.879483,-2.44038,-2.7733,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10444,t1_stable,0.8417820000000003,-0.8417820000000003,-2.39138,-2.7161,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10444,t1_stable,0.8417820000000003,-0.8417820000000003,-2.39138,-2.7161,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10445,t1_stable,0.781682,-0.781682,-2.24009,-2.9251,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10445,t1_stable,0.781682,-0.781682,-2.24009,-2.9251,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10447,t1_stable,0.966859,-0.966859,-1.19111,-1.7805,False,t1_stable_or_true_release
500,PARC_release,wbm-1-10447,t1_stable,0.966859,-0.966859,-1.19111,-1.7805,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10450,t1_false_or_unresolved,0.8573069999999996,-0.8573069999999996,-2.33217,-2.7481,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10450,t1_false_or_unresolved,0.8573069999999996,-0.8573069999999996,-2.33217,-2.7481,False,ALIGNN_FF_disagrees_with_current_MP_label
300,PARC_release,wbm-1-10451,t1_false_or_unresolved,0.8672059999999999,-0.8672059999999999,-2.32763,-2.7369,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10451,t1_false_or_unresolved,0.8672059999999999,-0.8672059999999999,-2.32763,-2.7369,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10456,t1_stable,0.565245,-0.565245,-1.2318000000000002,-1.8149,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10467,t1_stable,0.8607739999999997,-0.8607739999999997,-2.33259,-2.6883,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10467,t1_stable,0.8607739999999997,-0.8607739999999997,-2.33259,-2.6883,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10472,t1_stable,0.903578,-0.903578,-2.4164900000000005,-2.6914,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10472,t1_stable,0.903578,-0.903578,-2.4164900000000005,-2.6914,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10489,t1_stable,0.7128030000000001,-0.7128030000000001,-2.19105,-2.5815,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10489,t1_stable,0.7128030000000001,-0.7128030000000001,-2.19105,-2.5815,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10490,t1_stable,0.8109030000000002,-0.8109030000000002,-1.81656,-2.5153,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10490,t1_stable,0.8109030000000002,-0.8109030000000002,-1.81656,-2.5153,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10491,t1_stable,0.669203,-0.669203,-1.80525,-2.5635,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10491,t1_stable,0.669203,-0.669203,-1.80525,-2.5635,False,t1_stable_or_true_release
300,PARC_release,wbm-1-10493,t1_false_or_unresolved,0.8841579999999998,-0.8841579999999998,-2.31553,-2.859,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10493,t1_false_or_unresolved,0.8841579999999998,-0.8841579999999998,-2.31553,-2.859,False,ALIGNN_FF_disagrees_with_current_MP_label
300,PARC_release,wbm-1-10494,t1_false_or_unresolved,0.902357,-0.902357,-2.30411,-2.854,True,near_hull_25meV_boundary
500,raw_only_requested_budget,wbm-1-10494,t1_false_or_unresolved,0.902357,-0.902357,-2.30411,-2.854,True,near_hull_25meV_boundary
300,raw_only_requested_budget,wbm-1-10503,t1_stable,0.7731109999999999,-0.7731109999999999,-1.6821100000000002,-1.8811,True,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10503,t1_stable,0.7731109999999999,-0.7731109999999999,-1.6821100000000002,-1.8811,True,t1_stable_or_true_release
300,PARC_release,wbm-1-10504,t1_stable,0.7956099999999999,-0.7956099999999999,-1.6721400000000002,-1.9253,False,t1_stable_or_true_release
500,raw_only_requested_budget,wbm-1-10504,t1_stable,0.7956099999999999,-0.7956099999999999,-1.6721400000000002,-1.9253,False,t1_stable_or_true_release
300,raw_only_requested_budget,wbm-1-10507,t1_false_or_unresolved,0.8312130000000004,-0.8312130000000004,-2.38147,-2.5958,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10507,t1_false_or_unresolved,0.8312130000000004,-0.8312130000000004,-2.38147,-2.5958,False,ALIGNN_FF_disagrees_with_current_MP_label
300,raw_only_requested_budget,wbm-1-10508,t1_false_or_unresolved,0.7104140000000005,-0.7104140000000005,-2.2724200000000003,-2.9126,False,ALIGNN_FF_disagrees_with_current_MP_label
500,raw_only_requested_budget,wbm-1-10508,t1_false_or_unresolved,0.7104140000000005,-0.7104140000000005,-2.2724200000000003,-2.9126,False,ALIGNN_FF_disagrees_with_current_MP_label
