dataset,method,alpha1,candidate_budget_M,released_mean,nonempty_rate,utr_mean,cons_ftr_mean,margin_mean
OVT-B,confidence_threshold,0.1,10,10.0,1.0,0.8666666666666667,0.8666666666666667,
OVT-B,confidence_threshold,0.1,25,25.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,confidence_threshold,0.1,50,50.0,1.0,0.8466666666666667,0.8466666666666667,
OVT-B,confidence_threshold,0.1,75,75.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,confidence_threshold,0.1,100,100.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,confidence_threshold,0.1,125,125.0,1.0,0.8346666666666667,0.8346666666666667,
OVT-B,confidence_threshold,0.1,150,150.0,1.0,0.8266666666666667,0.8266666666666667,
OVT-B,confidence_threshold,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,
OVT-B,confidence_threshold,0.2,25,25.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,confidence_threshold,0.2,50,50.0,1.0,0.8466666666666667,0.8466666666666667,
OVT-B,confidence_threshold,0.2,75,75.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,confidence_threshold,0.2,100,100.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,confidence_threshold,0.2,125,125.0,1.0,0.8346666666666667,0.8346666666666667,
OVT-B,confidence_threshold,0.2,150,150.0,1.0,0.8266666666666667,0.8266666666666667,
OVT-B,greedy_score_no_risk,0.1,10,10.0,1.0,0.8666666666666667,0.8666666666666667,
OVT-B,greedy_score_no_risk,0.1,25,25.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,greedy_score_no_risk,0.1,50,50.0,1.0,0.8466666666666667,0.8466666666666667,
OVT-B,greedy_score_no_risk,0.1,75,75.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,greedy_score_no_risk,0.1,100,100.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,greedy_score_no_risk,0.1,125,125.0,1.0,0.8346666666666667,0.8346666666666667,
OVT-B,greedy_score_no_risk,0.1,150,150.0,1.0,0.8266666666666667,0.8266666666666667,
OVT-B,greedy_score_no_risk,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,
OVT-B,greedy_score_no_risk,0.2,25,25.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,greedy_score_no_risk,0.2,50,50.0,1.0,0.8466666666666667,0.8466666666666667,
OVT-B,greedy_score_no_risk,0.2,75,75.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,greedy_score_no_risk,0.2,100,100.0,1.0,0.8133333333333334,0.8133333333333334,
OVT-B,greedy_score_no_risk,0.2,125,125.0,1.0,0.8346666666666667,0.8346666666666667,
OVT-B,greedy_score_no_risk,0.2,150,150.0,1.0,0.8266666666666667,0.8266666666666667,
OVT-B,null_superset_no_audit,0.1,10,4.666666666666667,0.6666666666666666,0.5555555555555555,0.8333333333333333,1.2316953542633273
OVT-B,null_superset_no_audit,0.1,25,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.1,50,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.1,75,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.1,100,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.1,125,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.1,150,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,3.6180943248437543
OVT-B,null_superset_no_audit,0.2,25,9.666666666666666,0.6666666666666666,0.5966183574879227,0.894927536231884,4.232323937629676
OVT-B,null_superset_no_audit,0.2,50,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.2,75,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.2,100,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.2,125,0.0,0.0,0.0,,
OVT-B,null_superset_no_audit,0.2,150,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,10,4.666666666666667,0.6666666666666666,0.5555555555555555,0.8333333333333333,1.2316953542633273
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,25,0.0,0.0,0.0,,
OVT-B,parc_track_gamma_tuned_uniform_scs,0.1,50,0.0,0.0,0.0,,
