dataset,variant,alpha1,candidate_budget_M,released_mean,nonempty_rate,utr_mean,cons_ftr_mean,margin_mean,best_margin_mean
OVT-B,owlv2_original_M150,0.1,150,0.0,0.0,0.0,,,-9.064678001914768
OVT-B,owlv2_original_M150,0.2,150,0.0,0.0,0.0,,,-4.064678001914768
OVT-B,owlv2_rerank_v1,0.1,50,0.0,0.0,0.0,,,-7.670624555409948
OVT-B,owlv2_rerank_v1,0.1,100,0.0,0.0,0.0,,,-8.794494211168143
OVT-B,owlv2_rerank_v1,0.1,150,0.0,0.0,0.0,,,-9.18346745400652
OVT-B,owlv2_rerank_v1,0.2,50,0.0,0.0,0.0,,,-2.670624555409949
OVT-B,owlv2_rerank_v1,0.2,100,0.0,0.0,0.0,,,-3.794494211168143
OVT-B,owlv2_rerank_v1,0.2,150,0.0,0.0,0.0,,,-4.1834674540065215
OVT-B,owlv2_smallM,0.1,10,4.666666666666667,0.6666666666666666,0.5555555555555555,0.8333333333333333,1.2316953542633273,4.539317835085543
OVT-B,owlv2_smallM,0.1,25,0.0,0.0,0.0,,,-5.812138632876745
OVT-B,owlv2_smallM,0.1,50,0.0,0.0,0.0,,,-7.886592370224693
OVT-B,owlv2_smallM,0.1,75,0.0,0.0,0.0,,,-8.438303554751075
OVT-B,owlv2_smallM,0.1,100,0.0,0.0,0.0,,,-8.674481058124087
OVT-B,owlv2_smallM,0.1,125,0.0,0.0,0.0,,,-8.89528220709496
OVT-B,owlv2_smallM,0.1,150,0.0,0.0,0.0,,,-9.064678001914768
OVT-B,owlv2_smallM,0.2,10,10.0,1.0,0.8666666666666667,0.8666666666666667,3.6180943248437543,18.42820672397443
OVT-B,owlv2_smallM,0.2,25,9.666666666666666,0.6666666666666666,0.5966183574879227,0.894927536231884,4.232323937629676,2.5757315302815136
OVT-B,owlv2_smallM,0.2,50,0.0,0.0,0.0,,,-2.886592370224692
OVT-B,owlv2_smallM,0.2,75,0.0,0.0,0.0,,,-3.4383035547510743
OVT-B,owlv2_smallM,0.2,100,0.0,0.0,0.0,,,-3.6744810581240865
OVT-B,owlv2_smallM,0.2,125,0.0,0.0,0.0,,,-3.8918894001877877
OVT-B,owlv2_smallM,0.2,150,0.0,0.0,0.0,,,-4.064678001914768
TAO,owlv2_original_M150,0.1,150,0.0,0.0,0.0,,,-8.960035112254106
TAO,owlv2_original_M150,0.2,150,0.0,0.0,0.0,,,-3.9600351122541064
TAO,owlv2_rerank_v1,0.1,50,0.0,0.0,0.0,,,-8.18891994583723
TAO,owlv2_rerank_v1,0.1,100,0.0,0.0,0.0,,,-8.957662573249221
TAO,owlv2_rerank_v1,0.1,150,0.0,0.0,0.0,,,-9.224103415927317
TAO,owlv2_rerank_v1,0.2,50,0.0,0.0,0.0,,,-3.1889199458372297
TAO,owlv2_rerank_v1,0.2,100,0.0,0.0,0.0,,,-3.938870650866939
TAO,owlv2_rerank_v1,0.2,150,0.0,0.0,0.0,,,-4.224103415927318
TAO,owlv2_smallM,0.1,10,3.3333333333333335,0.3333333333333333,0.19999999999999998,0.6,4.892998337989157,0.5830625903130361
TAO,owlv2_smallM,0.1,25,0.0,0.0,0.0,,,-6.652940611722298
TAO,owlv2_smallM,0.1,50,0.0,0.0,0.0,,,-7.762084107631131
TAO,owlv2_smallM,0.1,75,0.0,0.0,0.0,,,-8.147613277455443
TAO,owlv2_smallM,0.1,100,0.0,0.0,0.0,,,-8.555287452122835
TAO,owlv2_smallM,0.1,125,0.0,0.0,0.0,,,-8.785903354631541
TAO,owlv2_smallM,0.1,150,0.0,0.0,0.0,,,-8.960035112254106
TAO,owlv2_smallM,0.2,10,10.0,1.0,0.7333333333333334,0.7333333333333334,3.7161018626226916,12.096050908638707
TAO,owlv2_smallM,0.2,25,4.666666666666667,0.3333333333333333,0.2142857142857143,0.6428571428571429,0.7374849621838688,0.2657825849122091
TAO,owlv2_smallM,0.2,50,0.0,0.0,0.0,,,-2.762084107631132
TAO,owlv2_smallM,0.2,75,0.0,0.0,0.0,,,-3.147613277455443
TAO,owlv2_smallM,0.2,100,0.0,0.0,0.0,,,-3.5212738466806592
TAO,owlv2_smallM,0.2,125,0.0,0.0,0.0,,,-3.785903354631541
TAO,owlv2_smallM,0.2,150,0.0,0.0,0.0,,,-3.9600351122541064
