dataset,variant,M,candidate_rows,psr_at_m,unsupported_rate_at_m,score_mean_at_m,path_length_mean_at_m
OVT-B,owlv2_original,10,43155,0.2,0.8,0.9278434410691261,8.0
OVT-B,owlv2_original,25,43155,0.2,0.8,0.9131345480680466,6.88
OVT-B,owlv2_original,50,43155,0.28,0.72,0.8962748939692975,6.68
OVT-B,owlv2_original,75,43155,0.28,0.72,0.883169697980086,6.546666666666667
OVT-B,owlv2_original,100,43155,0.22,0.78,0.8722297234932581,6.32
OVT-B,owlv2_original,125,43155,0.216,0.784,0.8633167259187926,6.264
OVT-B,owlv2_original,150,43155,0.22666666666666666,0.7733333333333333,0.8546153084725616,6.026666666666666
OVT-B,owlv2_rerank_v1,10,43155,0.2,0.8,0.9317060646414758,8.0
OVT-B,owlv2_rerank_v1,25,43155,0.28,0.72,0.9218753111958503,8.0
OVT-B,owlv2_rerank_v1,50,43155,0.38,0.62,0.9093345462083816,8.0
OVT-B,owlv2_rerank_v1,75,43155,0.29333333333333333,0.7066666666666667,0.8986231341958046,8.0
OVT-B,owlv2_rerank_v1,100,43155,0.33,0.67,0.8894071039365873,7.98
OVT-B,owlv2_rerank_v1,125,43155,0.312,0.688,0.8813823423594237,7.968
OVT-B,owlv2_rerank_v1,150,43155,0.31333333333333335,0.6866666666666666,0.8746254977341447,7.953333333333333
TAO,owlv2_original,10,59360,0.3,0.7,0.9289833526810011,4.1
TAO,owlv2_original,25,59360,0.24,0.76,0.9011198095877966,2.64
TAO,owlv2_original,50,59360,0.12,0.88,0.8774558443952175,2.84
TAO,owlv2_original,75,59360,0.09333333333333334,0.9066666666666666,0.8601209507660261,2.52
TAO,owlv2_original,100,59360,0.08,0.92,0.8472365849745416,2.58
TAO,owlv2_original,125,59360,0.072,0.928,0.8371588016376609,2.384
TAO,owlv2_original,150,59360,0.06666666666666667,0.9333333333333333,0.8281866712227228,2.2733333333333334
TAO,owlv2_rerank_v1,10,59360,0.2,0.8,0.8908469672820397,7.9
TAO,owlv2_rerank_v1,25,59360,0.12,0.88,0.8499572381355932,7.6
TAO,owlv2_rerank_v1,50,59360,0.14,0.86,0.8172825613835738,7.3
TAO,owlv2_rerank_v1,75,59360,0.16,0.84,0.7971471828455017,7.08
TAO,owlv2_rerank_v1,100,59360,0.14,0.86,0.7814741241792837,6.92
TAO,owlv2_rerank_v1,125,59360,0.152,0.848,0.7674627869219014,6.808
TAO,owlv2_rerank_v1,150,59360,0.16,0.84,0.7554513094306111,6.653333333333333
