dataset,alpha1,seed,candidate_budget_M,released,utr,conservative_ftr_uncertain_and_unlabeled_false,self_consistency_margin,best_margin,best_margin_k,best_margin_tau,max_observed_e,emax_effective,empty_diagnostic
OVT-B,0.1,0,10,5,1.0,1.0,0.3610654803730568,2.069925759461306,2.0,50.0,52.069925759461306,52.069925759461306,
OVT-B,0.1,0,25,0,0.0,,,-5.054952804807368,23.0,10.869565217391305,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,0,50,0,0.0,,,-7.675251489527143,50.0,10.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,0,75,0,0.0,,,-8.250631984889921,75.0,10.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,0,100,0,0.0,,,-8.586237495400153,100.0,10.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,0,125,0,0.0,,,-8.769583467065997,125.0,10.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,0,150,0,0.0,,,-9.104358936424056,150.0,10.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,10,0,0.0,,,-0.7034569922424083,6.0,16.666666666666664,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,25,0,0.0,,,-5.966533246789611,25.0,10.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,50,0,0.0,,,-7.769643271055888,50.0,10.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,75,0,0.0,,,-8.400073449152162,75.0,10.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,100,0,0.0,,,-8.564845714907163,100.0,10.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,125,0,0.0,,,-8.895295949410883,125.0,10.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,1,150,0,0.0,,,-8.963101560969523,150.0,10.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,10,9,0.6666666666666666,0.6666666666666666,2.102325228153598,12.251484738037732,6.0,16.666666666666664,52.29831090625768,52.29831090625768,
OVT-B,0.1,2,25,0,0.0,,,-6.414929847033253,25.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,50,0,0.0,,,-8.214882350091045,50.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,75,0,0.0,,,-8.66420523021114,75.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,100,0,0.0,,,-8.872359964064943,100.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,125,0,0.0,,,-9.020967204808002,125.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.1,2,150,0,0.0,,,-9.126573508350724,150.0,10.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,0,10,10,1.0,1.0,2.961850942733672,27.069925759461302,2.0,25.0,52.069925759461306,52.069925759461306,
OVT-B,0.2,0,25,23,0.9565217391304348,0.9565217391304348,0.3798298038882839,0.6089097662630838,17.0,7.352941176470588,52.069925759461306,52.069925759461306,
OVT-B,0.2,0,50,0,0.0,,,-2.675251489527144,50.0,5.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,0,75,0,0.0,,,-3.250631984889922,75.0,5.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,0,100,0,0.0,,,-3.586237495400153,100.0,5.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,0,125,0,0.0,,,-3.769583467065997,125.0,5.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,0,150,0,0.0,,,-4.104358936424055,150.0,5.0,52.069925759461306,52.069925759461306,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,1,10,10,0.9,0.9,2.981667998753144,7.629876341090924,6.0,8.333333333333332,28.86850998351219,52.20697376439121,
OVT-B,0.2,1,25,0,0.0,,,-0.9665332467896112,25.0,5.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,1,50,0,0.0,,,-2.7696432710558883,50.0,5.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,1,75,0,0.0,,,-3.4000734491521607,75.0,5.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,1,100,0,0.0,,,-3.564845714907162,100.0,5.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,1,125,0,0.0,,,-3.8952959494108814,125.0,5.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,1,150,0,0.0,,,-3.9631015609695233,150.0,5.0,28.86850998351219,52.20697376439121,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,2,10,10,0.7,0.7,4.910764033044446,20.584818071371064,6.0,8.333333333333332,52.29831090625768,52.29831090625768,
OVT-B,0.2,2,25,6,0.8333333333333334,0.8333333333333334,8.084818071371068,8.084818071371068,6.0,20.83333333333333,52.29831090625768,52.29831090625768,
OVT-B,0.2,2,50,0,0.0,,,-3.2148823500910444,50.0,5.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,2,75,0,0.0,,,-3.6642052302111408,75.0,5.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,2,100,0,0.0,,,-3.872359964064944,100.0,5.0,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
OVT-B,0.2,2,125,0,0.0,,,-4.010788784086485,124.0,5.040322580645161,52.29831090625768,52.29831090625768,insufficient_high_e_mass_for_uniform_scs
