milestone,path,evidence_state,manifest,public_bundle_check
materials_temporal_validation,outputs/milestones/materials_temporal_validation/,protocol_only,outputs/milestones/materials_temporal_validation/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/materials_temporal_validation
materials_independent_dft_validation,outputs/milestones/materials_independent_dft_validation/,completed_low_coverage_independent_source_diagnostic,outputs/milestones/materials_independent_dft_validation/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/materials_independent_dft_validation
fixed_budget_downstream_utility,outputs/milestones/fixed_budget_downstream_utility/,completed_evidence,outputs/milestones/fixed_budget_downstream_utility/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/fixed_budget_downstream_utility
primary_statistics,outputs/milestones/primary_statistics/,completed_evidence,outputs/milestones/primary_statistics/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/primary_statistics
materials_robustness_triad,outputs/milestones/materials_robustness_triad/,completed_evidence_and_diagnostics,outputs/milestones/materials_robustness_triad/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/materials_robustness_triad
baseline_matrix_final,outputs/milestones/baseline_matrix_final/,completed_evidence_and_different_target_diagnostics,outputs/milestones/baseline_matrix_final/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/baseline_matrix_final
ctc_strict_anchor,outputs/milestones/ctc_strict_anchor/,completed_evidence_with_protocol_only_extra_controls,outputs/milestones/ctc_strict_anchor/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/ctc_strict_anchor
iwildcam_audit_final,outputs/milestones/iwildcam_audit_final/,completed_human_audit_operational,outputs/milestones/iwildcam_audit_final/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/iwildcam_audit_final
spacenet_real_audit_final,outputs/milestones/spacenet_real_audit_final/,completed_human_audit_diagnostic_and_refusal,outputs/milestones/spacenet_real_audit_final/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/spacenet_real_audit_final
reproducibility_freeze,outputs/milestones/reproducibility_freeze/,index,outputs/milestones/reproducibility_freeze/MANIFEST_SHA256.txt,python scripts/validate_public_bundle.py outputs/milestones/reproducibility_freeze
